wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,actual_o2d_le_5,del_rel,delivered_vol,order_bucket
other,30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,2026-07-19,post,1.0,301.0,0.006644518272425249,0.0,0.0,0.0,0.973421926910299,7.999999999999986,1.7973421926910298,0.7109634551495017,5.278985507246377,5.026578073089701,1.239202657807309,0.5049833887043189,0.5415282392026578,0.8093645484949833,299.0,all
other,30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,2026-07-19,pre,1.0,539.0,0.0018552875695732839,0.0018552875695732839,0.0018552875695732839,0.0,0.9628942486085343,19.99999999999999,1.888682745825603,0.6233766233766234,6.006109979633401,5.714285714285714,1.4916512059369202,0.45083487940630795,0.47866419294990725,0.7925233644859813,535.0,all
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,post,1.0,18497.0,0.2643131318592204,0.23928204573714656,0.006327402520144935,0.23303228597696177,0.9112829107422825,1641.0000000000002,1.000054062820998,0.6627020597934801,4.342628382109332,3.5085544125609096,0.8415445351792764,0.8507325512245228,0.9040384927285505,0.8877412340309867,18395.0,all
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,pre,1.0,16978.0,0.00017669925786311698,0.22052067381316998,0.0008251311369128308,0.2198385100489185,0.9676051360584286,549.9999999999997,1.2952055601366474,0.5534809753799034,4.437953577640497,3.441580654674137,0.8344433311722756,0.8574036989044646,0.9196018376722818,0.929764504515139,16943.0,all
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,post,1.0,4132.0,0.25435624394966116,0.22362052274927396,0.0033890099249576375,0.22028564512224644,0.9002904162633107,412.0,1.2054695062923524,0.8540658276863504,5.388282025819265,4.987148399612027,1.2205277172597433,0.6248789932236205,0.6289932236205228,0.8233722060252673,4116.0,all
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,pre,1.0,5415.0,0.0007386888273314866,0.2301015697137581,0.0009238728750923873,0.22930524759793053,0.9436749769159741,305.0000000000001,1.630101569713758,0.650230840258541,5.922886989553656,5.398077989281094,1.2570689336536685,0.5303785780240073,0.5902123730378578,0.8883746760459089,5402.0,all
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,post,1.0,6349.0,0.24586549062844543,0.25043313907702003,0.0034667507091080997,0.24708477781279548,0.8330445739486533,1060.0000000000005,1.1932587809103796,0.8484800756024571,5.920452708164915,5.456137582833701,1.2953041285849354,0.5339423531264766,0.5359899196723894,0.7957568081063965,6316.0,all
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,pre,1.0,7677.0,0.0011723329425556857,0.1981242672919109,0.0036496350364963502,0.19460375391032325,0.8113846554643741,1448.0,1.6463001563314226,0.6631496678389996,6.34065934065934,6.003131932663448,1.3817778936392076,0.4367591507099127,0.4693239546697929,0.80893883951908,7652.0,all
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,post,1.0,10281.0,0.23869273416982784,0.147456473105729,0.00038929440389294404,0.14715328467153285,0.8429141134130921,1615.0000000000002,0.8235580196478942,0.6301916156015952,4.048215528382543,3.552113773621664,0.9098783454987834,0.8961190545666764,0.9034140647796907,0.8577156268335615,10226.0,all
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,pre,1.0,9508.0,0.0,0.16375683634833824,0.00010519671786240269,0.16368609299389858,0.8867269667648296,1076.9999999999998,1.2580984434160707,0.49326882625157764,4.4005794613155915,3.807728756449405,1.0369279326670173,0.8679007151872108,0.8734749684476231,0.8522811084185017,9491.0,all
