period,order_bucket,n_suppliers,vol,weekend_msbd,weekend_ship_adj,sat_ship_adj,sun_ship_adj,ifr,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,o2d_actual_less5,del_rel,det_o2d,det_del_rel
post,fri_sat,1192,245615,0.0,0.24825845327036214,0.04902387883476172,0.19923457443560044,0.9041223052337999,2.493364714696994,0.0,5.065773870631178,4.785691308508257,2.015572885911512,0.7010198888504354,0.713551696761193,0.8188017832787087,5.044025896598334,0.788156260814692
pre,fri_sat,1192,250099,0.0002998812470261776,0.231220436707064,0.04940443584340601,0.18181600086365798,0.9151895849243694,2.613085218253567,0.0,5.216311544728866,4.914961675176632,2.0512105661041518,0.6630694245078951,0.6997748891439003,0.8233579502517012,5.247358214768874,0.7830219233183664
post,sunday,1192,159001,0.00040251319174093244,0.03177967434167081,0.0002075458644914183,0.03157212847717939,0.8436550713517522,1.199143401613824,0.9040320501128943,4.115270095101197,3.7917245803485504,1.2217616906191973,0.9191262948031781,0.9131955144936191,0.8511707473537902,3.7959667700001907,0.7329639436229959
pre,sunday,1192,153048,0.0003985677695886258,0.028925565835554858,9.800846793162929e-05,0.02882755736762323,0.850131984736814,1.265766295541268,0.8676820343944411,4.223844818376046,3.893125032669489,1.2388583528858133,0.9029454811562376,0.8943664732632897,0.8525691286393835,3.901281998602951,0.7193364173331246
post,weekday,1192,479860,0.00044596340599341474,0.009092235235276956,0.006810319676572333,0.0022819155587046223,0.9203746926186808,1.118117669614798,0.8201579627391326,3.996873667756146,3.615789385938222,0.9534902138958303,0.8155670403867785,0.8540741049472756,0.8633330554745147,3.82914864414338,0.7903680240070033
pre,weekday,1192,509616,0.0004493579479451195,0.013779002229129384,0.009542479043044174,0.00423652318608521,0.9162330068129726,1.265841463701798,0.8074020438918714,4.337534729968156,3.9241108922081875,1.0105465644659504,0.755702332736804,0.8010168440551317,0.8481091645474237,4.257121685981403,0.7763237417977455
