wave,order_bucket,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,o2d_actual_less5,o2d_det,det_del_rel,del_rel,delivered_vol,det_vol
other,fri_sat,post,1.0,62.0,0.03225806451612903,0.0,0.0,0.0,1.0,0.0,3.1129032258064515,0.0,5.30188679245283,5.483870967741935,2.2096774193548385,0.3870967741935484,0.45161290322580644,4.927272727272728,0.8181818181818182,0.7868852459016393,61.0,55.0
other,fri_sat,pre,1.0,130.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.9692307692307692,4.0,2.9846153846153847,0.0,6.851239669421488,6.107692307692307,2.4692307692307693,0.3,0.33076923076923076,5.95,0.7166666666666667,0.8359375,128.0,120.0
other,sunday,post,1.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3428571428571427,0.9857142857142858,4.656716417910448,4.014285714285714,1.0,0.8428571428571429,0.8285714285714286,4.214285714285714,0.8142857142857143,0.8142857142857143,70.0,70.0
other,sunday,pre,1.0,116.0,0.0,0.0,0.0,0.0,0.9913793103448276,0.9999999999999956,1.6293103448275863,0.9741379310344828,4.935185185185185,5.129310344827586,1.1551724137931034,0.8448275862068966,0.7241379310344828,4.4672897196261685,0.7009345794392523,0.7931034482758621,116.0,107.0
other,weekday,post,1.0,169.0,0.0,0.0,0.0,0.0,0.9526627218934911,8.000000000000004,1.5029585798816567,0.8579881656804734,5.538461538461538,5.27810650887574,0.9822485207100592,0.40828402366863903,0.4556213017751479,5.173076923076923,0.8141025641025641,0.8154761904761905,168.0,156.0
other,weekday,pre,1.0,293.0,0.0,0.0,0.0,0.0,0.9488054607508533,14.999999999999995,1.5051194539249146,0.7610921501706485,6.057251908396947,5.771331058020478,1.1911262798634812,0.36177474402730375,0.447098976109215,5.314516129032258,0.657258064516129,0.7731958762886598,291.0,248.0
wave1_jun_jul,fri_sat,post,12.0,33005.0,0.7338282078472959,0.6670201484623541,0.019551379205819945,0.6477720521370112,0.8063626723223754,6391.000000000002,1.3274148588049934,0.4576882290562036,4.7105834211668425,4.328345524630467,1.3270991209457412,0.8030904408422966,0.8046053628238146,4.212574664011946,0.76387506222001,0.7925883104633827,32867.0,32144.0
wave1_jun_jul,fri_sat,pre,12.0,35842.0,0.00036270297416438817,0.6886055465654818,0.025566595958468236,0.6633080272412638,0.9554712348641259,1596.0,2.2920119416310927,0.0,5.162656098534527,4.564463433023373,1.4125101180673794,0.7530829752803972,0.7827967189330952,4.484346596647142,0.7871137144011311,0.8595863610955842,35780.0,34657.0
wave1_jun_jul,sunday,post,12.0,24072.0,0.16218012628780326,0.09388501163177135,0.0,0.09395917349187212,0.75652210036557,5860.999999999999,0.9634430043203722,0.7822781655034895,4.1655972984381595,3.678180531857339,1.0799900220346734,0.9003821867730143,0.9100614822200066,3.2323046674645237,0.6586168575824928,0.8707832331329325,23952.0,23396.0
wave1_jun_jul,sunday,pre,12.0,23742.0,0.0003369556060988965,0.08739786033190128,0.0,0.08743837175003161,0.9144553955016427,2030.9999999999995,1.3185628238069163,0.7549911549153399,4.479981198991582,3.844706874736398,1.0627027938139986,0.8848033021649397,0.892384803302165,3.5180596296134143,0.7276826758898473,0.8971923158116951,23685.0,22841.0
