wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,pre_vol_overall,post_vol_overall,pre_vol_fri_sat,post_vol_fri_sat,pre_vol_weekday,post_vol_weekday,post_fri_sat_vol_share,post_weekday_vol_share,pre_ifr_overall,post_ifr_overall,delta_ifr_overall,pre_ifr_fri_sat,post_ifr_fri_sat,delta_ifr_fri_sat,pre_ifr_weekday,post_ifr_weekday,delta_ifr_weekday,overall_ifr_if_frisat_held,weekend_ifr_hit_on_overall,weekday_ifr_hit_on_overall,extra_late_fri_sat,extra_late_weekday,post_late_orders_overall,post_late_orders_fri_sat,post_late_orders_weekday,post_late_share_fri_sat,pre_del_rel_overall,post_del_rel_overall,delta_del_rel_overall,pre_del_rel_fri_sat,post_del_rel_fri_sat,delta_del_rel_fri_sat,pre_del_rel_weekday,post_del_rel_weekday,delta_del_rel_weekday,overall_del_rel_if_frisat_held,weekend_del_rel_hit_on_overall,weekday_del_rel_hit_on_overall,pre_o2d_det_overall,post_o2d_det_overall,delta_o2d_det_overall,pre_o2d_det_fri_sat,post_o2d_det_fri_sat,delta_o2d_det_fri_sat,pre_o2d_det_weekday,post_o2d_det_weekday,delta_o2d_det_weekday,pre_det_del_rel_overall,post_det_del_rel_overall,delta_det_del_rel_overall,pre_det_del_rel_fri_sat,post_det_del_rel_fri_sat,delta_det_del_rel_fri_sat,pre_det_del_rel_weekday,post_det_del_rel_weekday,delta_det_del_rel_weekday,pre_o2d_actual_less5_overall,post_o2d_actual_less5_overall,delta_o2d_actual_less5_overall,pre_o2d_actual_less5_fri_sat,post_o2d_actual_less5_fri_sat,delta_o2d_actual_less5_fri_sat,pre_o2d_actual_less5_weekday,post_o2d_actual_less5_weekday,delta_o2d_actual_less5_weekday
wave1_jun_jul,93132,Safavieh IN46075,Safavieh,Rugs,Alex Resnick,2026-07-05,20218.0,20089.0,5295.0,5332.0,11494.0,10902.0,0.2654188859574892,0.5426850515207328,0.8828271836976951,0.7970033351585445,-0.0858238485391506,0.9325779036827195,0.6209677419354839,-0.31161016174723566,0.8763702801461632,0.9418455329297377,0.06547525278357447,0.8797105571425288,-0.08270722198398431,0.03553244093018711,1661.5053824362606,-713.8112058465289,4077.9999999999995,2021.0,633.9999999999994,0.49558607160372736,0.8252638882006046,0.8356589147286821,0.010395026528077556,0.7662190278040477,0.7197368421052631,-0.046482185698784595,0.835992675908972,0.8871965291239731,0.051203853215001094,0.8480262679628674,-0.01236735323418525,0.027741502469522724,3.376407422852377,3.0001555129334925,-0.3762519099188846,4.182874015748031,3.7672833495618305,-0.4155906661862008,3.011879546919606,2.683085147002673,-0.32879439991693316,0.6901584653878232,0.7183660774454409,0.02820761205761768,0.7206692913385827,0.7069133398247323,-0.01375595151385045,0.6721613408232803,0.7749140893470791,0.10275274852379879,0.8822336531803343,0.9038777440390263,0.02164409085869201,0.8417374881964117,0.8675918979744937,0.025854409778081955,0.8884635461980164,0.9068978169143277,0.01843427071631132
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,9508.0,10281.0,2455.0,2738.0,5458.0,5487.0,0.266316506176442,0.533702947184126,0.8867269667648296,0.8429141134130921,-0.04381285335173757,0.9910386965376782,0.7154857560262966,-0.27555294051138157,0.8451813851227555,0.928922908693275,0.08374152357051945,0.9162984097967282,-0.0733842963836361,0.04469309793127519,754.4639511201627,-459.4897398314402,1615.0000000000002,778.9999999999999,390.00000000000017,0.48235294117647043,0.8522811084185017,0.8577156268335615,0.005434518415059819,0.8140293637846656,0.8400439238653001,0.02601456008063452,0.8590308370044053,0.8508997429305912,-0.008131094073814071,0.8507655214022791,0.006950105431282368,-0.0043303284105213604,3.4970493263556395,3.119507020911203,-0.37754230544443645,4.3013582342954155,3.883834586466165,-0.41752364782925033,3.1237816764132553,2.7834855403348553,-0.34029613607840004,0.6175258879857477,0.6210728356399636,0.003546947654215926,0.7470288624787776,0.7834586466165413,0.036429784137763654,0.5736842105263158,0.5776255707762558,0.0039413602499399625,0.8734749684476231,0.9034140647796907,0.029939096332067594,0.8276985743380856,0.8849525200876552,0.05725394574956966,0.8831073653352877,0.9008565700747221,0.01774920473943442
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,11670.0,11643.0,3222.0,3160.0,6541.0,6131.0,0.27140771278880016,0.5265824959202955,0.9850899742930591,0.8536459675341407,-0.13144400675891843,0.9878957169459963,0.7199367088607594,-0.26795900808523687,0.9804311267390308,0.9760234871962159,-0.004407639542814867,0.9263721090397105,-0.07272614150556975,-0.002320985831572443,846.7504655493485,27.023238036997952,1704.0,885.0000000000001,147.0000000000003,0.5193661971830986,0.8450643776824034,0.8575125064688632,0.012448128786459844,0.8624223602484472,0.805087440381558,-0.05733491986688921,0.8289655172413793,0.8831423895253683,0.05417687228398893,0.8730652339987379,-0.015552727529874638,0.028551034125855818,3.942095340694856,3.850195938724617,-0.09189940197023905,4.637596899224806,4.469023678235485,-0.16857322098932137,3.6049143226640803,3.5933390264731,-0.0115752961909803,0.7065266181883473,0.7709298183113644,0.06440320012301715,0.7635658914728682,0.7917612714888096,0.02819538001594135,0.6647268024571613,0.7644748078565329,0.09974800539937156,0.7222793487574979,0.74491110538521,0.022631756627712107,0.6654252017380509,0.6835443037974683,0.01811910205941747,0.7232839015441064,0.7329962485728266,0.009712347028720258
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,5415.0,4132.0,1388.0,1127.0,3003.0,2162.0,0.27274927395934173,0.5232333010648597,0.9436749769159741,0.9002904162633107,-0.043384560652663384,0.9920749279538905,0.7391304347826086,-0.25294449317128187,0.9100899100899101,0.969472710453284,0.059382800363373844,0.9692808431277915,-0.0689904268644808,0.031071058660603643,285.06844380403464,-128.38561438561425,412.0,294.00000000000006,66.00000000000003,0.7135922330097089,0.8883746760459089,0.8233722060252673,-0.06500247002064163,0.9090252707581228,0.7976929902395741,-0.11133228051854871,0.8731218697829716,0.8149697814969782,-0.058152088285993386,0.8538560447386794,-0.030483838713412148,-0.030389976166951355,4.851945525291828,4.769346733668342,-0.08259879162348671,5.404977375565611,5.54140127388535,0.13642389831973922,4.769475920679887,4.655038759689923,-0.11443716098996415,0.7560311284046692,0.7899497487437186,0.033918620339049355,0.8197586726998491,0.824385805277525,0.004627132577675885,0.7170679886685553,0.7664728682170543,0.04940487954849904,0.5902123730378578,0.6289932236205228,0.038780850582665005,0.5194524495677233,0.5173025732031943,-0.002149876364529013,0.5644355644355644,0.5999074930619797,0.03547192862641524
wave1_jun_jul,325564,SLM GA3,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-07-05,12174.0,6222.0,3383.0,1722.0,6644.0,3220.0,0.2767598842815815,0.5175184828029572,0.9340397568588796,0.9278367084538733,-0.006203048405006295,0.9902453443689033,0.8681765389082462,-0.12206880546065713,0.9333232992173389,0.9568322981366459,0.023508998919307023,0.9616204569275557,-0.033783748473682346,0.01216634145293613,210.20248300325156,-75.69897652016861,449.0000000000001,227.00000000000006,139.00000000000006,0.5055679287305123,0.8858695652173914,0.8960828747167368,0.010213309499345402,0.9136754672204094,0.9025670945157527,-0.0111083727046567,0.8641714458194989,0.8770337922403004,0.01286234642080153,0.8991647379112627,-0.0030818631945259928,0.006653942887808626,3.7683242791475138,3.4105332024860973,-0.3577910766614165,4.585234093637455,4.3872491145218415,-0.1979849791156134,3.4998463901689707,3.062163019346654,-0.4376833708223167,0.5699122440451316,0.6511285574092247,0.08121631336409307,0.7466986794717887,0.8234946871310508,0.07679600765926209,0.5096774193548387,0.59720900729464,0.08753158793980131,0.8186298669295219,0.8784956605593057,0.05986579362978384,0.787171149866982,0.8670150987224158,0.07984394885543378,0.813515954244431,0.8760869565217392,0.06257100227730816
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,7677.0,6349.0,1902.0,1690.0,4369.0,3336.0,0.2661836509686565,0.525437076704993,0.8113846554643741,0.8330445739486533,0.021659918484279173,0.9752891692954785,0.8763313609467456,-0.09895780834873291,0.7317463950560769,0.8914868105515588,0.1597404154954819,0.8593855246667756,-0.02634095071812232,0.08393353694958697,167.2386961093586,-532.8940260929277,1060.0000000000005,208.99999999999997,362.0,0.19716981132075462,0.80893883951908,0.7957568081063965,-0.013182031412683481,0.8509741969457609,0.8096371207614516,-0.041337076184309374,0.7904893177119228,0.8094663852879108,0.01897706757598805,0.8067586486804662,-0.011001840574069673,0.009966265539827796,5.3152323343414904,5.027850589777195,-0.28738174456429544,5.71609006040637,5.678921568627451,-0.03716849177891923,5.261165048543689,4.982720703738611,-0.2784443448050782,0.624003299422601,0.6322083879423329,0.008205088519731896,0.7721032399780341,0.7763480392156863,0.004244799237652197,0.5529126213592233,0.6182846371347785,0.06537201577555529,0.4693239546697929,0.5359899196723894,0.06666596500259653,0.4127234490010515,0.4526627218934911,0.03993927289243959,0.4417486839093614,0.5191846522781774,0.07743596836881605
wave1_jun_jul,85184,Aosom LLC GA30294,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,10290.0,6651.0,2756.0,1775.0,5675.0,3550.0,0.2668771613291234,0.5337543226582468,0.9792031098153547,0.9479777477071117,-0.031225362108243004,0.9934687953555879,0.900281690140845,-0.09318710521474283,0.9770925110132158,0.9766197183098592,-0.00047279270335665036,0.9728472578193007,-0.02486951011218892,-0.00025235514913789036,165.40711175616852,1.6784140969161088,345.99999999999983,177.00000000000009,82.99999999999997,0.511560693641619,0.8866160140268848,0.8598851269649335,-0.02673088706195137,0.9396363636363636,0.7969457013574661,-0.14269066227889748,0.8631950573698146,0.871031746031746,0.007836688661931435,0.8980164889524018,-0.03813136198746837,0.004178935550074683,3.6471583557280782,3.569115625477318,-0.07804273025076025,4.526666666666666,4.565068493150685,0.038401826484018464,3.3323065772784926,3.2466303412675654,-0.08567623601092711,0.8535881357619189,0.8579502062013136,0.0043620704393946275,0.9292592592592592,0.9178082191780822,-0.011451040081177033,0.8240623301322704,0.8428448523085748,0.018782522176304384,0.9407191448007775,0.9198616749360998,-0.020857469864677625,0.9296081277213353,0.8952112676056339,-0.03439686011570142,0.9404405286343612,0.9185915492957747,-0.02184897933858654
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,16978.0,18497.0,4446.0,5056.0,9372.0,9866.0,0.2733416229658864,0.5333837919662648,0.9676051360584286,0.9112829107422825,-0.05632222531614606,0.9871794871794872,0.9078322784810127,-0.07934720869847456,0.9512377294067434,0.9326981552807622,-0.018539574125981284,0.9329718055457364,-0.021688894803453932,-0.009888708348755548,401.17948717948735,182.91143832693135,1641.0000000000002,465.99999999999994,664.0000000000005,0.2839731870810481,0.929764504515139,0.8877412340309867,-0.04202327048415233,0.9218468468468468,0.8565182829888712,-0.06532856385797559,0.9223778466802096,0.8801223241590214,-0.04225552252118825,0.9056120322551418,-0.017870798224155104,-0.02253474726462934,3.3091664599354997,3.2875013899699765,-0.021665069965523198,4.256618671620994,3.889068172650262,-0.3675504989707319,2.893949694085656,3.060907851976098,0.16695815789044177,0.784854874720913,0.6968753474924941,-0.08797952722841884,0.8309335810496981,0.6099233561920129,-0.22101022485768518,0.751869476546567,0.7327812139637279,-0.019088262582839133,0.9196018376722818,0.9040384927285505,-0.015563344943731239,0.8760683760683761,0.8520569620253164,-0.02401141404305962,0.9233888177550149,0.91293330630448,-0.010455511450534916
wave1_jun_jul,70707,Aosom LLC NJ 08022,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,8998.0,5170.0,2309.0,1329.0,5073.0,2776.0,0.25705996131528047,0.5369439071566731,0.9858857523894199,0.981237911025145,-0.004647841364274874,0.9952360329146817,0.9390519187358917,-0.05618411417878999,0.9789079440173467,0.9949567723342939,0.016048828316947206,0.995680597242478,-0.014442686217333056,0.008617320581788285,74.6686877436119,-44.55154740784544,97.00000000000027,80.99999999999997,14.000000000000092,0.8350515463917499,0.9397952370353884,0.8538341767224601,-0.08596106031292827,0.9367691641403205,0.6971990915972748,-0.23957007254304574,0.9324511159391665,0.8900580551523948,-0.04239306078677174,0.9154285842408258,-0.06159440751836579,-0.022739446385430698,3.214722536806342,3.1147186147186146,-0.10000392208772757,4.136583223539745,4.118411000763942,-0.018172222775802993,2.878348439073515,2.7978762358110583,-0.08047220326245652,0.8993204983012457,0.8685556867375049,-0.03076481156374078,0.9161176987263944,0.8831168831168831,-0.03300081560951129,0.8876132930513595,0.863786158916148,-0.023827134135211536,0.9360969104245388,0.9158607350096711,-0.020236175414867663,0.9094846253789519,0.8765989465763732,-0.032885678802578755,0.9394835403114528,0.9203890489913544,-0.019094491320098328
wave1_jun_jul,288109,WINADO INC NJ 08505(3),WINADO INC,APS Outdoor,Melody Lu,2026-07-05,7732.0,8184.0,1926.0,2291.0,4430.0,4281.0,0.27993646138807426,0.5230938416422287,0.9035178479048112,0.9607771260997068,0.057259278194895624,0.9896157840083074,0.9463116542994325,-0.04330412970887487,0.8880361173814898,0.9761737911702874,0.08813767378879755,0.9728995309338994,-0.01212240483419261,0.04610427437559168,99.20976116303233,-377.3173814898423,320.9999999999997,123.00000000000006,101.99999999999984,0.3831775700934585,0.8858032701790812,0.9000860267912006,0.014282756612119418,0.927159209157128,0.8762071992976295,-0.05095200985949855,0.8534209333937471,0.8958382318363508,0.04241729844260367,0.914350335315219,-0.014264308524018398,0.022170427710015164,3.3857200375788485,3.9606034160329138,0.5748833784540652,4.268943436499466,4.2912234042553195,0.02227996775585339,3.07962308598351,3.958930276981853,0.8793071909983432,0.7589585290565025,0.8095000623363671,0.05054153327986455,0.8516542155816436,0.81072695035461,-0.040927265227033605,0.7328621908127209,0.8202005730659025,0.08733838225318169,0.8784273150543197,0.8703567937438905,-0.00807052131042918,0.8639667705088265,0.8371890004364906,-0.02677777007233595,0.8767494356659142,0.8722261153935996,-0.004523320272314613
