wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,pre_vol,post_vol,delta_vol,pre_o2s_stated,post_o2s_stated,delta_o2s_stated,pre_o2s_stated_1,post_o2s_stated_1,delta_o2s_stated_1,pre_o2d_stated,post_o2d_stated,delta_o2d_stated,pre_fast_badge,post_fast_badge,delta_fast_badge,pre_o2d_actual_less5,post_o2d_actual_less5,delta_o2d_actual_less5,pre_o2s_actual,post_o2s_actual,delta_o2s_actual,pre_o2d_actual,post_o2d_actual,delta_o2d_actual,pre_det_o2d,post_det_o2d,delta_det_o2d,pre_ifr,post_ifr,delta_ifr,pre_del_rel,post_del_rel,delta_del_rel,pre_det_del_rel,post_det_del_rel,delta_det_del_rel,pre_late_orders,post_late_orders,delta_late_orders,pre_delivered_vol,post_delivered_vol,delta_delivered_vol,pre_weekend_msbd,post_weekend_msbd,delta_weekend_msbd,pre_weekend_ship,post_weekend_ship,delta_weekend_ship,pre_sat_ship,post_sat_ship,delta_sat_ship,pre_sun_ship,post_sun_ship,delta_sun_ship
wave1_jun_jul,223799,Safavieh Texas,Safavieh,Rugs,Alex Resnick,2026-07-05,6163.0,6616.0,453.0,0.7663475580074639,0.692214663643235,-0.07413289436422887,0.5386986857050138,0.539752116082225,0.001053430377211173,3.4894621480357446,3.3088988973443083,-0.1805632506914363,0.9217913353886095,0.9537484885126964,0.03195715312408698,0.9531072529612202,0.9690145102781137,0.015907257316893464,0.650657147493104,0.7068783068783069,0.05622115938520289,3.1413272756774298,3.0444377267230953,-0.09688954895433444,3.1393129770992365,2.7815929758544997,-0.3577200012447368,0.9191951971442479,0.8786275695284159,-0.04056762761583199,0.8490994645464871,0.8827085852478839,0.033609120701396766,0.7042024987830602,0.7111547762998791,0.006952277516818928,498.0000000000001,803.0000000000002,305.0000000000001,6163.0,6616.0,453.0,0.0009735518416355671,0.0010580411124546554,8.448927081908828e-05,0.004543241927632647,0.002116082224909311,-0.002427159702723336,0.003407431445724485,0.00045344619105199517,-0.00295398525467249,0.0011358104819081617,0.0016626360338573155,0.0005268255519491538
wave1_jun_jul,93132,Safavieh IN46075,Safavieh,Rugs,Alex Resnick,2026-07-05,6504.0,6604.0,100.0,0.8594710947109471,0.7178982434887947,-0.14157285122215235,0.6958794587945879,0.6062992125984252,-0.08958024619616267,3.1465803190649186,3.0332763178354845,-0.11330400122943418,0.9145141451414515,0.9271653543307087,0.012651209189257218,0.9283517835178352,0.9544215626892792,0.02606977917144404,0.6794280442804428,0.681556632344034,0.0021285880635911747,2.9046740467404675,2.6867050272562083,-0.21796901948425917,2.9863459037711313,2.500390563974379,-0.4859553397967522,0.959409594095941,0.9089945487583283,-0.05041504533761265,0.8523985239852399,0.8958207147183526,0.04342219073311271,0.7404674046740467,0.7602967898243489,0.019829385150302192,264.00000000000006,600.9999999999999,336.99999999999983,6504.0,6604.0,100.0,0.0003075030750307503,0.0015142337976983646,0.0012067307226676144,0.001998769987699877,0.0003028467595396729,-0.0016959232281602038,0.00046125461254612545,0.0,-0.00046125461254612545,0.0015375153751537515,0.0003028467595396729,-0.0012346686156140786
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,5025.0,4113.0,-912.0,0.7962189054726369,0.8769754437150499,0.08075653824241302,0.7237810945273632,0.7323121808898614,0.00853108636249822,3.3675543809717423,4.2,0.8324456190282579,0.939502487562189,0.9180646729880866,-0.021437814574102432,0.9641791044776119,0.9637734014101629,-0.00040570306744902584,0.5848267622461171,0.7075127644055434,0.12268600215942638,2.8602985074626868,2.9946511062484804,0.13435259878579364,2.899494310998736,2.8366840407048897,-0.06281027029384623,0.9635820895522388,0.9448091417456844,-0.018772947806554363,0.9116417910447762,0.9316800389010454,0.020038247856269287,0.7795024875621891,0.7811816192560175,0.001679131693828384,183.0000000000001,226.99999999999997,43.99999999999986,5025.0,4113.0,-912.0,0.0,0.0029175784099197666,0.0029175784099197666,0.0031840796019900496,0.0019450522732798443,-0.0012390273287102053,0.0,0.0,0.0,0.0031859816806053365,0.0019450522732798443,-0.0012409294073254921
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,3642.0,3094.0,-548.0,0.7484898407468424,0.6444731738849386,-0.1040166668619038,0.4961559582646897,0.491273432449903,-0.004882525814786709,4.132455894707365,3.9554161162483488,-0.17703977845901653,0.7696320702910489,0.7744020685197156,0.00476999822866675,0.7789676002196595,0.8396897220426632,0.06072212182300374,0.5468277945619335,0.5404007756948933,-0.006427018867040224,3.685337726523888,3.3739495798319328,-0.311388146691955,3.559953434225844,3.320723133578842,-0.23923030064700201,0.9824272377814388,0.9806076276664512,-0.0018196101149876576,0.8176825919824272,0.9179056237879767,0.10022303180554948,0.6798462383305875,0.819327731092437,0.1394814927618494,63.99999999999985,60.00000000000013,-3.999999999999723,3642.0,3094.0,-548.0,0.0002745744096650192,0.001292824822236587,0.0010182504125715677,0.0008237232289950577,0.0019392372333548805,0.0011155140043598228,0.00027464982147761604,0.001292824822236587,0.0010181750007589709,0.0005492996429552321,0.0006464124111182935,9.711276816306137e-05
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,3084.0,2933.0,-151.0,0.7020103761348897,0.7136038186157518,0.011593442480862137,0.643644617380026,0.5826798499829526,-0.06096476739707335,3.7478405315614616,3.4771697455559427,-0.27067078600551886,0.9098573281452659,0.9297647459938629,0.019907417848597064,0.9225032425421531,0.9604500511421753,0.0379468086000222,0.6345654993514915,0.5789294237981589,-0.05563607555333261,3.175421530479896,2.9389703375383567,-0.23645119294153938,3.061634349030471,2.583040112596763,-0.4785942364337079,0.9659533073929961,0.9611319468121378,-0.004821360580858358,0.877431906614786,0.9045346062052506,0.02710269959046463,0.6410505836575876,0.6058643027616775,-0.03518628089591014,104.99999999999997,113.99999999999994,8.999999999999972,3084.0,2933.0,-151.0,0.0,0.0006818956699624957,0.0006818956699624957,0.0009727626459143969,0.002045687009887487,0.0010729243639730902,0.00032425421530479895,0.0010228435049437436,0.0006985892896389447,0.0006485084306095979,0.0010228435049437436,0.00037433507433414566
wave1_jun_jul,288109,WINADO INC NJ 08505(3),WINADO INC,APS Outdoor,Melody Lu,2026-07-05,2314.0,2765.0,451.0,1.0933448573898013,1.9410488245931283,0.8477039672033271,0.9818496110630942,0.2759493670886076,-0.7059002439744866,2.9209468512728898,3.298407997038134,0.37746114576524414,0.9442523768366465,0.9435804701627486,-0.0006719066738979373,0.9515989628349178,0.952622061482821,0.0010230986479031756,1.033275713050994,0.9428571428571428,-0.09041857019385113,2.895419187554019,2.803616636528029,-0.09180255102599011,3.087230215827338,3.8806080830552467,0.7933778672279086,0.8915298184961107,0.9844484629294756,0.09291864443336495,0.8284356093344858,0.9001808318264014,0.07174522249191562,0.8206568712186689,0.9189873417721519,0.09833047055348298,250.9999999999999,42.99999999999988,-208.0,2314.0,2765.0,451.0,0.0,0.16238698010849908,0.16238698010849908,0.0449438202247191,0.019168173598553346,-0.025775646626165754,0.007346585998271392,0.0,-0.007346585998271392,0.03759723422644771,0.019168173598553346,-0.018429060627894362
wave1_jun_jul,85184,Aosom LLC GA30294,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,3393.0,1924.0,-1469.0,1.0660182729148246,1.08991683991684,0.023898567002015314,0.9761273209549072,0.974012474012474,-0.002114846942433135,3.2138345864661653,3.2325211864406778,0.018686599974512497,0.9354553492484527,0.9298336798336798,-0.005621669414772934,0.9496021220159151,0.9532224532224532,0.003620331206538152,0.7966401414677277,0.7427234927234927,-0.05391664874423496,3.109342764515178,2.9579002079002077,-0.1514425566149704,3.2315151515151515,3.178779840848806,-0.05273531066634529,0.9781903919834954,0.9937629937629938,0.015572601779498374,0.8426171529619806,0.8892931392931392,0.04667598633115866,0.8243442381373416,0.8653846153846154,0.04104037724727383,73.99999999999996,11.999999999999893,-62.000000000000064,3393.0,1924.0,-1469.0,0.0002947244326554671,0.005197505197505198,0.004902780764849731,0.005599764220453876,0.0010395010395010396,-0.004560263180952836,0.0,0.0,0.0,0.005599764220453876,0.0010395010395010396,-0.004560263180952836
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,2249.0,1768.0,-481.0,1.136505113383726,1.1566742081447965,0.020169094761070427,0.9724321920853712,0.9688914027149321,-0.0035407893704391125,5.519213174748399,5.3341148886283705,-0.1850982861200281,0.46153846153846156,0.5972850678733032,0.1357466063348416,0.5006669630947087,0.6623303167420814,0.16166335364737272,1.244553134726545,1.0774886877828054,-0.16706444694373968,5.443308136949756,4.552601809954751,-0.8907063269950042,5.209335219236209,4.766587677725118,-0.44274754151109086,0.7950200088928413,0.9276018099547512,0.13258180106190987,0.7536682970208982,0.8529411764705882,0.09927287944968999,0.604268563806136,0.7138009049773756,0.10953234117123956,460.9999999999999,127.99999999999994,-332.99999999999994,2249.0,1768.0,-481.0,0.0,0.004524886877828055,0.004524886877828055,0.020898176967541128,0.009615384615384616,-0.011282792352156512,0.012449977767896843,0.007918552036199095,-0.004531425731697748,0.008448199199644287,0.0016968325791855204,-0.006751366620458767
wave1_jun_jul,325564,SLM GA3,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-07-05,3898.0,1727.0,-2171.0,1.082093381221139,1.0312680949623625,-0.05082528625877658,0.9715238583889174,0.9855240301100173,0.014000171721099908,3.9756735547998954,3.759433962264151,-0.21623959253574432,0.9343252950230888,0.9600463231036479,0.025721028080559094,0.9025141097998974,0.9693109438332368,0.06679683403333936,1.0338722093918398,0.9270411117544876,-0.10683109763735221,3.662904053360698,3.1123335263462653,-0.5505705270144325,3.315294117647059,2.905349794238683,-0.40994432340837594,0.926629040533607,0.9652576722640417,0.03862863173043474,0.8455618265777322,0.9229878401852925,0.0774260136075603,0.5631092868137506,0.6485234510712218,0.08541416425747117,286.0000000000001,60.00000000000001,-226.0000000000001,3898.0,1727.0,-2171.0,0.0002565418163160595,0.003474232773595831,0.0032176909572797716,0.033350436121087734,0.010422698320787493,-0.02292773780030024,0.022319138019497177,0.0023161551823972205,-0.020002982837099958,0.011031298101590559,0.008106543138390272,-0.002924754963200287
wave1_jun_jul,70707,Aosom LLC NJ 08022,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,3109.0,1619.0,-1490.0,1.106465101318752,1.1525633106856084,0.04609820936685627,0.9794146027661628,0.9814700432365658,0.0020554404704030693,2.8389196225187114,2.702753441802253,-0.13616618071645847,0.9575426182052107,0.9629400864731316,0.0053974682679208685,0.96268896751367,0.9765287214329833,0.013839753919313358,0.7778493238892467,0.6800494132180358,-0.09779991067121085,2.5976198134448376,2.470043236565781,-0.12757657687905644,2.835509138381201,2.7550125313283207,-0.08049660705288053,0.9697651978128016,0.9969116738727609,0.027146476059959346,0.9211965262142168,0.8937615812229771,-0.027434944991239663,0.9022193631392731,0.9116738727609636,0.009454509621690477,93.99999999999991,5.000000000000075,-88.99999999999984,3109.0,1619.0,-1490.0,0.000643293663557414,0.004323656578134651,0.003680362914577237,0.02669668703763268,0.0012353304508956147,-0.025461356586737063,0.0,0.0,0.0,0.026722472633612365,0.0012353304508956147,-0.02548714218271675
