wave,order_slice,n_suppliers,pre_vol,post_vol,pre_ifr,post_ifr,delta_ifr,pre_del_rel,post_del_rel,delta_del_rel,pre_o2d_stated,post_o2d_stated,delta_o2d_stated,pre_det_o2d,post_det_o2d,delta_det_o2d,pre_det_del_rel,post_det_del_rel,delta_det_del_rel,pre_o2d_actual,post_o2d_actual,delta_o2d_actual,weekend_ifr_hit_on_overall,weekday_ifr_hit_on_overall,overall_ifr_if_frisat_held,ifr_dip_source
wave1_jun_jul,Mon-Thu,12,42970.0,35888.0,0.9431231091459158,0.938865358894338,-0.004257750251577819,0.8554572957877589,0.8966506910387874,0.0411933952510285,3.6269369433899197,3.57714824228232,-0.049788701107599476,3.317179324172331,3.0505830987533753,-0.2665962254189558,0.7310449150570165,0.7653254569772626,0.0342805419202461,3.3185710961135677,3.0880820352773983,-0.23048906083616938,,,,
wave1_jun_jul,Fri/Sat,12,22344.0,18719.0,0.9871553884711779,0.8931566857203911,-0.09399870275078681,0.9008234872896527,0.8160158128105134,-0.08480767447913928,4.611631841250972,4.3786529742721365,-0.23297886697883552,4.398729481591394,4.15674049767569,-0.24198898391570367,0.8471625492302184,0.7936855601260752,-0.053476989104143224,4.188686000716076,4.103969653256398,-0.08471634745967815,,,,
wave1_jun_jul,Overall,12,78856.0,66047.0,0.9495282540326672,0.8933183944766605,-0.05620985955600666,0.8733767880693923,0.8747104334791891,0.0013336454097967465,3.924180513938073,3.8591246187431296,-0.06505589519494359,3.607225303154934,3.3990081154192966,-0.20821718773563758,0.7559982753373238,0.7672415098339062,0.011243234496582377,3.5839251293497005,3.42709405850645,-0.15683107084325032,-0.02664105435208228,-0.0023135364366076395,0.9199594488287428,Overall IFR dip is from weekend orders; Mon–Thu held or improved
wave2_aug,Mon-Thu,72,49555.0,41905.0,0.934678639895066,0.9471184822813506,0.012439842386284594,0.8660881848451216,0.878988187567116,0.01290000272199443,4.114983733604094,3.599872726827716,-0.5151110067763782,3.908360907960461,3.257601060955843,-0.6507598470046183,0.7761275350620522,0.7970170624030545,0.020889527341002245,3.608068291895383,3.1989500059658753,-0.4091182859295075,,,,
wave2_aug,Fri/Sat,72,25037.0,21409.0,0.9775132803450892,0.9101312532112663,-0.06738202713382291,0.9043415744697847,0.843944135643888,-0.060397438825896654,4.987906520673312,4.509604357798165,-0.4783021628751474,4.952325773878497,4.505775105001909,-0.4465506688765881,0.8600071893597476,0.8681862767994769,0.008179087439729282,4.31756999640532,4.134055770937456,-0.18351422546786367,,,,
wave2_aug,Overall,72,90338.0,77048.0,0.9447740707122141,0.926876752154501,-0.017897318557713038,0.8815005866855586,0.8727286886096979,-0.008771898075860762,4.353511993833038,3.8910077766276507,-0.4625042172053875,4.155779300163772,3.6181692444775444,-0.5376100556862276,0.7917487657464191,0.809365590281383,0.017616824534963937,3.8020568113888458,3.4881372650815075,-0.3139195463073383,-0.018723157238448952,0.006765803073373169,0.94559990939295,Overall IFR dip is from weekend orders; Mon–Thu held or improved
