wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,pre_vol,post_vol,delta_vol,pre_o2s_stated,post_o2s_stated,delta_o2s_stated,pre_o2s_stated_1,post_o2s_stated_1,delta_o2s_stated_1,pre_o2d_stated,post_o2d_stated,delta_o2d_stated,pre_fast_badge,post_fast_badge,delta_fast_badge,pre_actual_o2d_le_5,post_actual_o2d_le_5,delta_actual_o2d_le_5,pre_o2s_actual,post_o2s_actual,delta_o2s_actual,pre_o2d_actual,post_o2d_actual,delta_o2d_actual,pre_ifr,post_ifr,delta_ifr,pre_del_rel,post_del_rel,delta_del_rel,pre_late_orders,post_late_orders,delta_late_orders,pre_weekend_msbd,post_weekend_msbd,delta_weekend_msbd,pre_weekend_ship,post_weekend_ship,delta_weekend_ship,pre_sat_ship,post_sat_ship,delta_sat_ship,pre_sun_ship,post_sun_ship,delta_sun_ship
wave1_jun_jul,223799,Safavieh Texas,Safavieh,Rugs,Alex Resnick,2026-07-05,5076.0,5627.0,551.0,1.9830541871921181,1.025768615603341,-0.9572855715887771,0.0,0.46312422249866714,0.46312422249866714,4.708747716663284,4.287992667277726,-0.42075504938555763,0.7951142631993696,0.9063444108761329,0.11123014767676331,0.7568951930654059,0.8276168473431669,0.070721654277761,1.6059113300492611,1.2356393384314424,-0.37027199161781876,4.578356002365465,4.181559273762905,-0.39679672860255977,0.8081166272655634,0.8027368046916652,-0.005379822573898241,0.7491612393921453,0.7184986595174263,-0.030662579874718987,974.0,1110.0,136.0,0.0003940110323089047,0.6950417629287364,0.6946477518964276,0.6101260835303388,0.6115159054558379,0.0013898219254990796,0.02108374384236453,0.0,-0.02108374384236453,0.5891625615763547,0.6119509158812022,0.02278835430484749
wave1_jun_jul,93132,Safavieh IN46075,Safavieh,Rugs,Alex Resnick,2026-07-05,5295.0,5332.0,37.0,2.2404154863078376,1.1956114028507128,-1.0448040834571248,0.0,0.48424606151537886,0.48424606151537886,4.689157566302652,4.22894838960031,-0.4602091767023415,0.856657223796034,0.8790322580645161,0.022375034268482086,0.8417374881964117,0.8675918979744937,0.025854409778081955,1.6276917264828108,1.6128306133933596,-0.01486111308945115,4.398676748582231,4.143768768768769,-0.2549079798134617,0.9325779036827195,0.6209677419354839,-0.31161016174723566,0.7662190278040477,0.7197368421052631,-0.046482185698784595,357.00000000000006,2021.0,1664.0,0.0005665722379603399,0.7674418604651163,0.766875288227156,0.5831916902738432,0.48424606151537886,-0.09894562875846435,0.0,0.0022509848058525606,0.0022509848058525606,0.5831916902738432,0.4820859125867567,-0.1011057776870865
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,4446.0,5056.0,610.0,2.290148448043185,1.3742088607594938,-0.9159395872836913,0.0,0.4606408227848101,0.4606408227848101,5.136842105263158,4.809475806451613,-0.3273662988115449,0.7678812415654521,0.7931170886075949,0.025235847042142767,0.8760683760683761,0.8520569620253164,-0.02401141404305962,1.131892865181184,1.206371191135734,0.07447832595455006,4.0792614276063945,4.114896988906498,0.03563556130010337,0.9871794871794872,0.9078322784810127,-0.07934720869847456,0.9218468468468468,0.8565182829888712,-0.06532856385797559,56.9999999999998,465.99999999999994,409.0000000000001,0.0002249212775528565,0.7935126582278481,0.7932877369502953,0.7233468286099866,0.714003164556962,-0.009343664053024558,0.0031510240828269186,0.022556390977443608,0.01940536689461669,0.720684222372271,0.6917293233082706,-0.028954899064000394
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,3222.0,3160.0,-62.0,2.004345127250155,1.0189933523266856,-0.9853517749234695,0.0,0.4651898734177215,0.4651898734177215,5.431459254579911,5.042512077294686,-0.38894717728522554,0.6052141527001862,0.6560126582278482,0.050798505527661963,0.6654252017380509,0.6835443037974683,0.01811910205941747,1.3795779019242707,1.2200759974667512,-0.15950190445751944,4.89137181874612,4.579080824088748,-0.3122909946573724,0.9878957169459963,0.7199367088607594,-0.26795900808523687,0.8624223602484472,0.805087440381558,-0.05733491986688921,38.99999999999987,885.0000000000001,846.0000000000002,0.0006207324643078833,0.6762658227848102,0.6756450903205022,0.585350713842334,0.5281645569620254,-0.05718615688030859,0.000931098696461825,0.001266624445851805,0.00033552574938998,0.5844196151458722,0.5272324255858138,-0.057187189560058305
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,2455.0,2738.0,283.0,2.1209775967413442,1.1168736303871438,-1.0041039663542004,0.0,0.47552958363769177,0.47552958363769177,4.902823920265781,4.496641791044776,-0.40618212922100483,0.8374745417515275,0.8842220598977356,0.046747518146208145,0.8276985743380856,0.8849525200876552,0.05725394574956966,1.3637474541751526,1.3028863719400803,-0.06086108223507236,4.359413202933985,3.99743964886613,-0.36197355406785503,0.9910386965376782,0.7154857560262966,-0.27555294051138157,0.8140293637846656,0.8400439238653001,0.02601456008063452,22.000000000000078,778.9999999999999,756.9999999999998,0.0,0.7399561723886048,0.7399561723886048,0.6089613034623218,0.5383491599707816,-0.07061214349154021,0.0,0.0,0.0,0.6089613034623218,0.5385458531238583,-0.07041545033846353
wave1_jun_jul,288109,WINADO INC NJ 08505(3),WINADO INC,APS Outdoor,Melody Lu,2026-07-05,1926.0,2291.0,365.0,2.543613707165109,2.436490615451768,-0.107123091713341,0.0,0.07420340462680053,0.07420340462680053,5.069185737094199,4.967670504871568,-0.10151523222263137,0.8130841121495327,0.8013967699694456,-0.011687342180087046,0.8639667705088265,0.8371890004364906,-0.02677777007233595,1.4802494802494803,1.3572052401746726,-0.12304424007480774,4.093555093555094,4.207968476357268,0.11441338280217384,0.9896157840083074,0.9463116542994325,-0.04330412970887487,0.927159209157128,0.8762071992976295,-0.05095200985949855,19.999999999999932,123.00000000000006,103.00000000000013,0.0,0.07507638585770406,0.07507638585770406,0.7206645898234684,0.8258402444347447,0.10517565461127631,0.035343035343035345,0.0004366812227074236,-0.03490635412032792,0.6860706860706861,0.825764192139738,0.13969350606905184
wave1_jun_jul,85184,Aosom LLC GA30294,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,2756.0,1775.0,-981.0,2.5330188679245285,1.5543661971830987,-0.9786526707414298,0.0,0.5245070422535211,0.5245070422535211,4.696579624862082,4.3553907586993725,-0.3411888661627094,0.9049346879535559,0.9132394366197183,0.008304748666162376,0.9296081277213353,0.8952112676056339,-0.03439686011570142,1.2395492548164304,1.3489289740698986,0.10937971925346823,4.011627906976744,4.126482213438735,0.11485430646199113,0.9934687953555879,0.900281690140845,-0.09318710521474283,0.9396363636363636,0.7969457013574661,-0.14269066227889748,17.99999999999988,177.00000000000009,159.0000000000002,0.000725689404934688,0.9138028169014084,0.9130771274964737,0.7866473149492017,0.8276056338028169,0.04095831885361523,0.0,0.0,0.0,0.7880770628862231,0.8280721533258174,0.03999509043959426
wave1_jun_jul,325564,SLM GA3,YISHANG TRADE INC,APS Outdoor,Melody Lu,2026-07-05,3383.0,1722.0,-1661.0,2.4847768253029856,1.48664343786295,-0.9981333874400355,0.0,0.5156794425087108,0.5156794425087108,5.859197124026363,4.932464454976303,-0.9267326690500601,0.7865799586166125,0.8501742160278746,0.06359425741126212,0.787171149866982,0.8670150987224158,0.07984394885543378,1.4887640449438202,1.422428820453225,-0.06633522449059526,4.901984009475866,4.515415939499709,-0.3865680699761569,0.9902453443689033,0.8681765389082462,-0.12206880546065713,0.9136754672204094,0.9025670945157527,-0.0111083727046567,33.00000000000006,227.00000000000006,194.0,0.0,0.9204413472706156,0.9204413472706156,0.808158439255099,0.8524970963995354,0.04433865714443641,0.016262566528681254,0.002324230098779779,-0.013938336429901475,0.7921348314606742,0.8506682161533992,0.058533384692724955
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,1902.0,1690.0,-212.0,2.5946372239747633,1.5621301775147929,-1.0325070464599704,0.0,0.5254437869822485,0.5254437869822485,6.4514038876889845,6.09399636143117,-0.35740752625781447,0.33543638275499477,0.4396449704142012,0.10420858765920643,0.4127234490010515,0.4526627218934911,0.03993927289243959,1.7313354363827549,1.5725281231497927,-0.15880731323296216,6.208311415044713,5.748367952522255,-0.45994346252245855,0.9752891692954785,0.8763313609467456,-0.09895780834873291,0.8509741969457609,0.8096371207614516,-0.041337076184309374,46.99999999999992,208.99999999999997,162.00000000000006,0.0010515247108307045,0.906508875739645,0.9054573510288143,0.7644584647739222,0.9088757396449704,0.14441727487104816,0.0,0.0,0.0,0.7644584647739222,0.9094138543516874,0.14495538957776521
wave1_jun_jul,70707,Aosom LLC NJ 08022,Aosom LLC,APS Outdoor,Amber Xiang,2026-07-05,2309.0,1329.0,-980.0,2.5075790385448244,1.4823175319789315,-1.025261506565893,0.0,0.5349887133182845,0.5349887133182845,4.493881118881119,4.213139801375095,-0.28074131750602405,0.8895625812039845,0.8743416102332581,-0.015220970970726388,0.9094846253789519,0.8765989465763732,-0.032885678802578755,1.2192374350086654,1.217456734386757,-0.001780700621908382,3.912083152880035,4.024943310657596,0.1128601577775612,0.9952360329146817,0.9390519187358917,-0.05618411417878999,0.9367691641403205,0.6971990915972748,-0.23957007254304574,11.000000000000055,80.99999999999997,69.99999999999991,0.0,0.9187358916478555,0.9187358916478555,0.8406236466002599,0.8502633559066968,0.009639709306436872,0.0,0.0,0.0,0.8409878682842288,0.8502633559066968,0.009275487622467993
