wave,order_bucket,weeks_from_enable,week_start,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,o2d_actual_less5,det_o2d,det_del_rel,del_rel,delivered_vol,det_vol
wave1_jun_jul,fri_sat,-3,2026-05-31,1.0,566.0,0.0,0.5795053003533569,0.0017667844522968198,0.5777385159010601,0.9982332155477032,1.000000000000007,2.2879858657243815,0.0,4.403284671532846,4.03886925795053,1.3710247349823321,0.8445229681978799,0.8763250883392226,4.089887640449438,0.7879858657243817,0.8763250883392226,566.0,534.0
wave1_jun_jul,fri_sat,-3,2026-06-14,10.0,5274.0,0.0003792188092529389,0.8100113765642776,0.00018960940462646946,0.8098217671596512,0.9937428896473265,33.0000000000001,2.2901023890784984,0.0,4.647922705314009,4.136897990140311,1.280242700037922,0.8065984072810012,0.8600682593856656,4.376905041031653,0.878839590443686,0.9230185817216534,5274.0,5118.0
wave1_jun_jul,fri_sat,-3,2026-06-21,1.0,233.0,0.0,0.7167381974248928,0.48497854077253216,0.2317596566523605,0.9957081545064378,0.9999999999999943,2.1459227467811157,0.0,5.290178571428571,4.394849785407725,0.49356223175965663,0.6351931330472103,0.7167381974248928,5.146118721461187,0.8583690987124464,0.8884120171673819,233.0,219.0
wave1_jun_jul,fri_sat,-2,2026-06-07,1.0,634.0,0.0,0.5930599369085173,0.00473186119873817,0.5883280757097792,0.998422712933754,0.9999999999999938,2.029968454258675,0.0,4.341269841269841,3.6813880126182967,0.9763406940063092,0.889589905362776,0.9495268138801262,3.995145631067961,0.8280757097791798,0.9211356466876972,634.0,618.0
wave1_jun_jul,fri_sat,-2,2026-06-21,10.0,4032.0,0.000744047619047619,0.8425099206349206,0.017861572810716944,0.8248573554949145,0.9756944444444444,98.0000000000001,2.3582237658149343,0.0,4.618029029793735,4.201884920634921,1.3158025303894816,0.808531746031746,0.8541666666666666,4.543143297380586,0.878968253968254,0.8950892857142857,4032.0,3894.0
wave1_jun_jul,fri_sat,-1,2026-06-14,1.0,753.0,0.0,0.7556440903054449,0.0013280212483399733,0.7543160690571049,0.9920318725099602,5.999999999999995,2.2045152722443557,0.0,4.412955465587045,3.7795484727755646,1.0863213811420982,0.8658698539176627,0.9322709163346613,4.208219178082191,0.8791500664010624,0.9415670650730412,753.0,730.0
wave1_jun_jul,fri_sat,0,2026-06-21,1.0,522.0,0.0,0.8180076628352491,0.003838771593090211,0.8157389635316699,0.9827586206896551,9.000000000000018,2.0517241379310347,0.0,4.1898238747553815,4.003831417624521,1.2188099808061421,0.9386973180076629,0.9042145593869731,4.088408644400785,0.842911877394636,0.8065134099616859,522.0,509.0
wave1_jun_jul,fri_sat,3,2026-08-02,1.0,177.0,0.7231638418079096,0.6892655367231638,0.3672316384180791,0.3220338983050847,0.9887005649717514,2.0000000000000013,0.9096045197740112,0.5536723163841808,4.451428571428571,3.8757062146892656,0.4915254237288136,0.7909604519774012,0.8418079096045198,4.443181818181818,0.8926553672316384,0.7909604519774012,177.0,176.0
wave1_jun_jul,fri_sat,4,2026-08-02,10.0,4016.0,0.7574701195219123,0.7512450199203188,0.00099601593625498,0.7502490039840638,0.897410358565737,412.00000000000006,1.5219123505976095,0.4375,4.366114649681529,4.1414342629482075,1.346613545816733,0.8545816733067729,0.8481075697211156,4.240325865580448,0.8326693227091634,0.8102589641434262,4016.0,3928.0
wave1_jun_jul,fri_sat,4,2026-08-09,1.0,217.0,0.8018433179723502,0.8064516129032258,0.41935483870967744,0.3870967741935484,0.9723502304147466,5.999999999999998,1.096774193548387,0.5483870967741935,4.837209302325581,4.253456221198157,0.6912442396313364,0.728110599078341,0.7465437788018433,4.888888888888889,0.9170506912442397,0.8433179723502304,217.0,216.0
