supplier_id,su_name,parent_su_name,sto,srm,sp_lt,enable_week,wave,pre6w_weekend_msbd_rate,pre6w_fri_sat_vol
406363,GA.,SHENZHENSHIMINGXIAOSHANGMAOYOUXIANGONGSI,APS Bedroom,Lydia Liu,24,2026-08-02,wave2_aug,0.0,475
407374,"Shenzhen Litian Technology Co., Ltd CA 92324","Shenzhen Litian Technology Co., Ltd",APS Home Improvement,Nicole Sun,24,2026-08-02,wave2_aug,0.0,468
58218,"VM MP, LLC IN 46143",Spreetail,Storage & Org - Frequency,Claire Przybocki,24,2026-08-02,wave2_aug,0.0,461
322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ","Hangzhou Mengfeisi Home Furnishings Co., Ltd",APS Outdoor,Moti Mao,24,2026-08-02,wave2_aug,0.0,461
12396,Ashley Furniture MS 38841,Ashley Furniture,Upholstery,Anne Marie Conde,24,2026-08-02,wave2_aug,0.0,454
59554,EC EXPORT INC. NJ 08505,EC EXPORT INC. NJ 08831,APS,Ida Li,24,2026-08-02,wave2_aug,0.0,450
414154,"NINGBO JOYS IMP. EXP. CO.,LTD NJ 08505",Gymax LLC,APS Outdoor,David Liu,24,2026-08-02,wave2_aug,0.0029,450
349462,YESURE INC. CA 92571,YESURE INC.,APS Decor,Qiwen Fan,24,2026-08-02,wave2_aug,0.0,432
125733,Shenzhen Zhichen Trading Co. LTD. CA 91748,Shenzhen Zhichen Trading Co. LTD.,APS K&D,Stella Yin,24,2026-08-02,wave2_aug,0.0,423
372043,shenzhenshilijinchengmaoyiyouxiangongsi GA 30331,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,24,2026-08-02,wave2_aug,0.0,413
100349,Shenzhenshi hongyanzhiji keji CA 91761(6),HK DANSHUO TRADING LIMITED,APS,Yolanda GUI,24,2026-08-02,wave2_aug,0.0042,407
225771,Shenzhenshixiangde CA91761(12),"HONG KONG LIUXIN TECHNOLOGY CO., LIMITED",APS,Yolanda GUI,24,2026-08-02,wave2_aug,0.0026,405
406808,Yii Lighting CA  92324,Eternadecor INC_1,APS Home Improvement,Aria LI,24,2026-08-02,wave2_aug,0.0023,399
153347,Alphamarts TX 77521(2),Alphamarts,APS Outdoor,Melody Lu,24,2026-08-02,wave2_aug,0.0,381
346062,"FUFU and GAGA Trade Co., Ltd. CA 91761 (3)","FUFU and GAGA Trade Co., Ltd.",APS Bedroom,Christal Ding,24,2026-08-02,wave2_aug,0.0,381
356699,shanghaihuzidianzishangwuyouxiangongsi NJ 08016,Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,24,2026-08-02,wave2_aug,0.0025,368
58219,"VM MP, LLC GA 31308",Spreetail,Storage & Org - Frequency,Claire Przybocki,24,2026-08-02,wave2_aug,0.0,363
313006,"Hangzhou Skytech Outdoor Co., LTD CA 92880","Hangzhou Skytech Outdoor Co., LTD",APS,Danica Guo,24,2026-08-02,wave2_aug,0.0,356
266873,Hong Kong Linsy International Trading NJ 08016(2),HONG KONG LINSYHOME INTERNATIONAL TRADING LIMITED,APS Bedroom,Wendy Wang,24,2026-08-02,wave2_aug,0.0,350
324716,Stellweilan Tessberg LLC CA 91789,Stellweilan Tessberg LLC,Storage & Org,Supplier Service Desk,24,2026-08-02,wave2_aug,0.0,334
344657,Shenzhenshi Daman Shiye Youxiangongsi GA 31407,Shenzhenshi Daman Shiye Youxiangongsi,APS K&D,Stella Yin,24,2026-08-02,wave2_aug,0.0,327
409174,zhengzhoushijianxingwangluokejiyouxiangongsi GA 31407,zhengzhoushijianxingwangluokejiyouxiangongsi,APS Bedroom,Lydia Liu,24,2026-08-02,wave2_aug,0.0,320
353664,shenzhenzhijingdianzishangwuyouxiangong WPPA2,shenzhenzhijingdianzishangwuyouxiangongsi,APS Bedroom,Lydia Liu,24,2026-08-02,wave2_aug,0.0,318
461382, USNJHM01,LUXHOME (HK) TRADING LIMITED,APS Bedroom,Lydia Liu,24,2026-08-02,wave2_aug,0.0,312
12397,Ashley Furniture WI 54612,Ashley Furniture,Upholstery,Anne Marie Conde,24,2026-08-02,wave2_aug,0.0,310
458764,NEW BKFARMHOUSE INC CA 91761 (4),NEW BKFARMHOUSE INC,APS Pet,Regan Zou,24,2026-08-02,wave2_aug,0.0,302
368845,GLERUS LTD NJ 07036,GLERUS LTD,Casegoods,Zichu Wang,24,2026-08-02,wave2_aug,0.0,301
361472,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,Ningboyuxudianzishangwuyouxiangongsi,APS AEOF,Ricky Yu,24,2026-08-02,wave2_aug,0.0,299
87326,NeoChair TX 77507,NEO CHAIR INC,Casegoods,Karolina Coulter,24,2026-08-02,wave2_aug,0.0,298
327749,无忧达美西区CAJW02,Hong Kong Baojia International Limited,APS,Yinan Du,24,2026-08-02,wave2_aug,0.0027,297
174756,Zhejiang Paide Network Technology Co Ltd CA 92571,Zhejiang Paide Network Technology Co Ltd,APS,Ricky Yu,24,2026-08-02,wave2_aug,0.0,292
349177,"Zhejiang Linya Co., Ltd NJ 07036",LINYA OUTDOOR LIVING LLC,APS Home Improvement,Danica Guo,24,2026-08-02,wave2_aug,0.0,280
329946,Nourison PA 18067,Nourison,Rugs,Alex Melius,24,2026-08-02,wave2_aug,0.0,278
468576,shilijincheng dangerous CA 91762(2),Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,24,2026-08-02,wave2_aug,0.0,276
347934,Ningbo Jiangbei Fufu CA 91761 (3),Ningbo Jiangbei Fufu,APS Bedroom,Christal Ding,24,2026-08-02,wave2_aug,0.0,274
172965,BLUEBELL INTERNATIONAL INC. CA 91761,BLUEBELL INTERNATIONAL INC.,APS,Yolanda GUI,24,2026-08-02,wave2_aug,0.0,270
429873,"Zhengzhou Bevi Import  Export Trading Co., Ltd. PA 19030","HONGKONG OUSHENG NETWORK TECHNOLOGY CO.,LIMITED",APS Bedroom,Asia Supplier Service Desk,24,2026-08-02,wave2_aug,0.0,270
326372,Tmekeeper INC. CA 91761 (3),Tmekeeper INC.,APS Bedroom,Christal Ding,24,2026-08-02,wave2_aug,0.0,264
247707,simplehuman CA 90808,simplehuman,Storage & Org - Frequency,Bryn Bennett,24,2026-08-02,wave2_aug,0.0,254
51786,NeoChair CA 90723,NEO CHAIR INC,Casegoods,Karolina Coulter,24,2026-08-02,wave2_aug,0.0,249
370173,aifei(shanghai)kejiyouxiangongsi GA 30517,aifei(shanghai)kejiyouxiangongsi,APS K&D,Eve Deng,24,2026-08-02,wave2_aug,0.0,184
56438,Costway CA 92337B,Costway,APS Outdoor,David Liu,24,2026-08-02,wave2_aug,0.0,126
493064,USSAV02,LUXHOME (HK) TRADING LIMITED,APS Bedroom,Lydia Liu,24,2026-08-09,wave2_aug,0.0,265
239701,HangzhouSkytech NJ 08016,"Hangzhou Skytech Outdoor Co., LTD",APS,Danica Guo,24,2026-08-09,wave2_aug,0.0,85
463964,Grand Leisure Outdoor Product CA 92335,Grand Leisure Outdoor Product Co.,APS Outdoor,Melody Lu,24,2026-08-16,wave2_aug,0.0124,392
405768,"Haomaijia Technology (Shenzhen) Co., LTD NJ 07036",EBELLO HOME INC_1,APS Upholstery,Lacey Yan,24,2026-08-16,wave2_aug,0.0,46
