supplier_id,su_name,lt,cutoff,station_name,address,city,state,postal_code,sto,marketing_category,srm,last_6_weeks_volume,fri_sat_order_volume,fri_sat_weekend_shipped_volume,pct_fri_sat_shipped_on_sat_or_sun,ifr,weekend_shipping_candidate
372002,MEET SUNNY CORPORATION NJ 08554,24.0,,ROBBINSVILLE,839 Railroad Ave,Florence,NJ,08554,APS Home Improvement,Outdoor Structures,Danica Guo,222,51,39,0.7647,0.9775,True
298159,HNB_TX_US 77493,24.0,,HOUSTON LOCAL,28501 Hwy Blvd,Katy ,TX,77493,APS Youth,Decorative Accent - Wall Accents,Thomas Zhang,141,49,36,0.7347,0.9078,True
372386,"SHENZHEN WEIPU HOME TECHNOLOGY CO., LTD NJ 08016",24.0,,ROBBINSVILLE,1950 River Road,Burlington,NJ,08016,APS Bedroom,Storage & Org - Furniture Adj,Asia Supplier Service Desk,161,49,35,0.7143,0.9814,True
174585,TopBuy Inc WA 98387,24.0,00:00:00,OLYMPIA,5210 196th St E,Spanaway,WA,98387,APS Outdoor,Outdoor,David Liu,177,48,44,0.9167,0.9548,True
80230,"NINGBO JOYS IMP. EXP. CO.,LTD IL60446",24.0,05:00:00,SOUTH CHICAGO,50N.Paragon Drive，gymax,Romeoville,IL,60446,APS Outdoor,Outdoor,David Liu,165,46,35,0.7609,0.9273,True
173916,"NINGBO JOYS IMP. EXP. CO.,LTD WA 98387",24.0,01:00:00,OLYMPIA,Gymax Building 1,Spanaway,WA,98387,APS Outdoor,Grills,David Liu,206,46,41,0.8913,0.932,True
457160,"FUFU and GAGA Trade Co., Ltd. CA 92880",24.0,,CHINO LOCAL,"14909 Summit Drive,DOCK ",Eastvale,CA,92880,APS Bedroom,Furniture - Home Office,Christal Ding,148,46,33,0.7174,0.9257,True
269233,PP-BCF_CA_US,24.0,00:00:00,WEST RIALTO,11281 Citrus Ave,Fontana,CA,92337,APS,Entertainment Furniture,Asia Supplier Service Desk,173,45,37,0.8222,0.8844,True
277098,  USSC,24.0,,AUSTELL,CO 240 The Bluffs,Austell,GA,30168,APS,Furniture - Home Office,Asia Supplier Service Desk,165,45,33,0.7333,0.9939,True
466367,PP-BLL_NJ_US,24.0,,LINDEN,"Building E,500 Linden Logistics Way",Linden,NJ,07036,APS Bedroom,Furniture - Kitchen and Dining,Asia Supplier Service Desk,144,45,34,0.7556,0.9306,True
492392,TRINITY  INTERNATIONAL NJ 08817,24.0,,WOODBRIDGE LOCAL,250 Carter Dr1,Edison,NJ,08817,APS Bedroom,Outdoor Structures,Wendy Wang,146,44,35,0.7955,0.9726,True
347221,Rock Opnum Inc PA 19030,24.0,,PHILADELPHIA,500 Ben Fairless Dr,Fairless Hills,PA,19030,APS AEOF,Upholstery - Core,Ivy Mao,136,43,37,0.8605,0.9853,True
360801,Shenzhenshiweilukejiyouxiangongsi NJ 08817 (2),24.0,,WOODBRIDGE LOCAL,250 CARTER DR,EDISON,NJ,08817,APS K&D,Furniture - Bedroom,Stella Yin,124,42,30,0.7143,0.9597,True
367709,Hong Kong Comfortable Home Technology Limited NJ  08837 ,24.0,,WOODBRIDGE LOCAL,45 patrick ave Edison NJ,Edison,NJ,08837 ,APS Upholstery,Wayfair,Leonie Li,110,42,30,0.7143,0.9636,True
219576,宁波高玮进出口有限公司 CA 92374,24.0,00:00:00,WEST RIALTO,9180 Alabama St,Redlands,CA,92374,APS AEOF,Storage & Org - Furniture Adj,Asia Supplier Service Desk,169,41,31,0.7561,0.8935,True
339887,shanghaichenkungongyipinyouxiangongsi GA 31322,24.0,00:00:00,SAVANNAH,335 Morgan Lakes Industrial Blvd,Pooler,GA,31322,APS Youth,Furniture - Home Office,Thomas Zhang,97,41,31,0.7561,0.9691,True
410551,"Fuzhou Xiaohao Er Trading Co., Ltd. CA 92376",24.0,,WEST RIALTO,1420 N.Tamarind Ave,Rialto,CA,92376,APS Housewares & More,Storage & Org - Systems,Jynn Jiang,148,40,30,0.75,0.9324,True
292873,WL_COPE_HOU_TX_77423,24.0,,HOUSTON LOCAL,28150 US 90 ,Brookshire,TX,77423,APS,Furniture - Bedroom,Stella Yin,147,39,29,0.7436,0.8844,True
311808, 运去哪-HNB-77494,24.0,,HOUSTON LOCAL,28501 Hwy Blvd ,Katy ,TX,77494,APS,Storage & Org - Furniture Adj,Nora Li,124,38,31,0.8158,0.9839,True
343370,shenzhenshifeihuangxinxijishuyouxiangongsi NJ 07064,24.0,,SOUTH CARTERET,1001 W Middlesex Ave,Port Reading,NJ,07064,APS Decor,Seasonal Decor,Asia Supplier Service Desk,130,38,27,0.7105,0.8846,True
443988,BRIGHTCRAFT SOLUTIONS INC GA 31322,24.0,,SAVANNAH,301 CVDRFSS MEADOW DR,Pooler,GA,31322,APS Home Improvement,Lighting,Asia Supplier Service Desk,132,38,29,0.7632,0.8712,True
320428,Esbenshades Garden Center FL 32254,24.0,,JACKSONVILLE,5638 Commonwealth Ave,Jacksonville,FL,32254,Decor,Outdoor Decor,Trevor Cody,133,37,30,0.8108,0.9925,True
174582,RiverstarInc. NJ 08016,24.0,00:00:00,ROBBINSVILLE,1950 River Road,Burlington,NJ,08016,APS Outdoor,Outdoor,Asia Supplier Service Desk,104,35,30,0.8571,0.9615,True
245030,Hangzhou Daya Information Technology NJ 08505,24.0,09:00:00,PHILADELPHIA,C/O 500 Ben Fairless Dr,Fairless Hills,PA,19030,APS K&D,Playroom,Carol Li,120,34,25,0.7353,0.9083,True
340866,Yantaishi ningxinshangmao(Luoshanji G1) CA 91762,24.0,,CHINO LOCAL,4705 Walkerl Ave,Ontario,CA,91762,APS Mattresses,Furniture - Bedroom,Checky Yi,101,34,28,0.8235,0.9208,True
350085,"Zhejiang On Leap Furnishing Co.,Ltd. TX 77493",24.0,,HOUSTON LOCAL,28501 Hwy Blvd,Katy,TX,77493,APS Outdoor,Outdoor,Qiwen Fan,131,33,32,0.9697,0.9695,True
71279,"FlySoar Trade Co., Ltd CA 92880",24.0,00:00:00,CHINO LOCAL,14909 Summit Drive,Eastvale,CA,92880,APS,Furniture - Bedroom,Christal Ding,140,32,25,0.7813,0.9,True
240909,ZT TRADING INC. CA 91752,24.0,,WEST RIALTO,10395 Nobel Court,Jurupa Valley,CA,91752,APS Outdoor,Outdoor Structures,Asia Supplier Service Desk,128,32,30,0.9375,0.9063,True
462141,HangzhouQiuyueKejiyouxiangongsi IL 60446,24.0,,SOUTH CHICAGO,160 Southcreek Pky,Romeoville,IL,60446,APS Bedroom,Storage & Org - Systems,Asia Supplier Service Desk,107,32,26,0.8125,0.8505,True
292744,Tianjin heman kejiyouxiangongsi TX 77423,24.0,,HOUSTON LOCAL,28150 US 90 ,Brookshire ,TX,77423,APS Bedroom,Furniture - Bedroom,Asia Supplier Service Desk,96,31,23,0.7419,0.9271,True
343878,"Zhejiang On Leap Furnishing Co.,Ltd. NJ 07064",24.0,,SOUTH CARTERET,1001 W Middlesex Ave,Port Reading,NJ,07064,APS Outdoor,Outdoor,Qiwen Fan,131,31,28,0.9032,0.9618,True
414295,Shenzhen dilili trading co ltd NJ 07064,24.0,00:00:00,SOUTH CARTERET,1001 W Middlesex Ave ,Port Reading,NJ,07064,APS Bedroom,Furniture - Bedroom,Asia Supplier Service Desk,73,31,25,0.8065,0.9863,True
269870,CMP_GA,24.0,00:00:00,SAVANNAH,301 CYPRESS MEADOW DR,Pooler,GA,31322,APS,Furniture - Bedroom,Asia Supplier Service Desk,104,30,21,0.7,0.9519,True
287472,Ningbo Youzi Jinchukou Youxiangongsi CA 92376,24.0,,WEST RIALTO,1420 N Tamarind Ave,Rialto,CA,92376,APS,Accent Furniture,Blair-Yaqing Gong,102,29,27,0.931,0.9314,True
304908,SKC-YQN-TX-HNB,24.0,00:00:00,HOUSTON LOCAL,28501 Hwy Blvd,Katy,TX,77494,APS,Furniture - Bedroom,Nora Li,101,29,22,0.7586,0.9406,True
354041,运去哪-BLL-美东-07036,24.0,,LINDEN,500 Linden Logistics Way,Linden,NJ,07036,APS AEOF,Furniture - Bedroom,Nora Li,123,29,24,0.8276,0.878,True
88654,Yiimo CA 92337,24.0,00:00:00,WEST RIALTO,13052 Jurupa Ave,Fontana,CA,92337,APS Bedroom,Health & Fitness,Asia Supplier Service Desk,82,28,22,0.7857,0.9634,True
400920,"Hangzhou Okapat Technology Co., Ltd. TX 77494",24.0,,HOUSTON LOCAL,28119 KATY FWY,KATY,TX,77494,APS Upholstery,Upholstery - Core,Estrella Wang,114,28,20,0.7143,0.886,True
286894,bazhoushidetaijiajuyouxiangongsi CA 91748,24.0,,INDUSTRY,18961 East Arenth Ave,City of Industry,CA,91748,Wayfair,Furniture - Kitchen and Dining,Asia Supplier Service Desk,87,27,19,0.7037,0.908,True
446937,"Ningbo Xin Su Da Trading Co., Ltd. NJ 08016",24.0,,ROBBINSVILLE,1950 River Road,Burlington,NJ,08016,APS AEOF,Furniture - Home Office,Fiona Jiang,109,27,19,0.7037,0.9817,True
338945,Nanping Jianyang District Shanye Laity Tea Co. LTD GA 31322,24.0,,SAVANNAH,335 Morgan Lakes Industrial Blvd,Pooler,GA,31322,APS Home Improvement,Doors & Shutters,Aria Yao,86,26,19,0.7308,0.9767,True
299086,WPGA4,24.0,,SAVANNAH,101 Feldspar Drive ,Savannah,GA,31405,APS Bedroom,Furniture - Bedroom,Wendy Wang,115,25,19,0.76,1.0,True
471413, YQN-CPF_CA,24.0,,WEST RIALTO,13052 Jurupa Ave,Fontana ,CA,92337,APS Upholstery,Upholstery - Core,Blair-Yaqing Gong,200,25,19,0.76,0.855,True
478794,SHENZHEN RONGYU SHIYE CO LTD CA 91710,24.0,,CHINO LOCAL,C/O 13725 Pipeline Avenue,Chino,CA,91710,APS Decor,Decorative Accent - Wall Accents,Supplier Service Desk,119,25,19,0.76,0.9664,True
491649,Chengdu Cuihu Palace Wall Technology SAV,24.0,,SAVANNAH,320 MorganLakes Industrial Blvd ,Pooler,GA,31322,APS Upholstery,Storage & Org - Frequency,Asia Supplier Service Desk,74,24,20,0.8333,0.9324,True
236839,3Hao-Meixi-18cang,24.0,00:00:00,WEST RIALTO,10395 Nobel Court,Jurupa Valley,CA,91752,APS,Entertainment Furniture,Yolanda GUI,72,23,17,0.7391,0.8611,True
76024,Westfield Outdoor Inc NJ 08016,24.0,00:00:00,ROBBINSVILLE,1950 River Road,Burlington,NJ,08016,APS Outdoor,Wayfair,Melody Lu,110,22,20,0.9091,1.0,True
246131,WP_LAAL,24.0,00:00:00,INDUSTRY,18450 East Gale Avenue,City of Industry,CA,91748,APS,Furniture - Bedroom,Stella Yin,103,22,16,0.7273,0.9515,True
319601,Masai off LLC_1 TX 77494 ,24.0,,HOUSTON LOCAL,28501 Hwy Blvd ,Katy ,TX,77494,APS,Furniture - Home Office,Asia Supplier Service Desk,64,22,17,0.7727,0.9531,True
360850,HM DFG NJ 08817,24.0,,WOODBRIDGE LOCAL,250 CARTER DR,EDISON,NJ,08817,APS Bedroom,Furniture - Bedroom,Asia Supplier Service Desk,75,22,18,0.8182,0.9467,True
317334,"Zhejiang Linya Co., Ltd TX 77494",24.0,11:00:00,HOUSTON LOCAL,28501 Hwy Blvd,Katy,TX,77494,APS Home Improvement,Outdoor,Danica Guo,77,21,18,0.8571,0.961,True
363944,"Fuzhou Changle Shengchong E-Commerce Co., Ltd. CA 92880",24.0,,CHINO LOCAL,14909 Summit Drive,Eastvale,CA,92880,APS Pet,Recreation,Asia Supplier Service Desk,95,21,15,0.7143,0.9053,True
368778,"Anhui Yinmaotai Technology Co., Ltd NJ 08505(1)",24.0,,ROBBINSVILLE,"Florence Columbus Road, C/O 1183",Fieldsboro,NJ,08505,Wayfair,Furniture - Bedroom,Asia Supplier Service Desk,66,20,14,0.7,0.9697,True
485437,Rock Opnum Inc TX 77423 ,24.0,,HOUSTON LOCAL,C/O 30815 Kingsland Boulevard,Brookshire,TX,77423 ,APS AEOF,Upholstery - Core,Ivy Mao,61,20,14,0.7,0.9836,True
243648,Yantaishi ningxinshangmao (Cope LA) CA 92337,24.0,00:00:00,WEST RIALTO,13052 Jurupa Ave,Fontana,CA,92337,APS Mattresses,Appliances,Checky Yi,63,19,16,0.8421,0.873,True
271262,YantaiNanmudianzikeji NJ 07064,24.0,,SOUTH CARTERET,1001 W Middlesex Ave  Port Reading  NJ 07064,PORT READING,NJ,07064,APS Rugs,Accent Furniture,Rainbow Wu,63,19,18,0.9474,0.873,True
314811,Xiamenchaoshengmaoyiyouxiangongsi TX 77429,24.0,00:00:00,HOUSTON LOCAL,14402 FALLBROOK DR,Cypress,TX,77429,Wayfair,Mattresses,Asia Supplier Service Desk,74,19,16,0.8421,0.9865,True
321212,BLUEBELL INTERNATIONAL INC. TX 77449,24.0,,HOUSTON LOCAL,2244 North Mason Road,Katy,TX,77449,APS,Furniture - Kitchen and Dining,Yolanda GUI,65,19,14,0.7368,0.8923,True
365194,Central Power International Limited LLC NJ 08505,24.0,,ROBBINSVILLE,3280 US Highway 206,Bordentown,NJ,08505,APS K&D,Furniture - Bedroom,Hannah Guan,86,19,14,0.7368,0.9884,True
414303,Shenzhen dilili trading co ltd GA 31407,24.0,,SAVANNAH,302 International Trade Pkwy,Port Wentworth,GA,31407,APS Bedroom,Furniture - Bedroom,Asia Supplier Service Desk,93,19,14,0.7368,0.9892,True
458375,YDY-WEST-7,24.0,,WEST RIALTO,13611 Jurupa Ave,Fontana,CA,92337,APS Upholstery,Wayfair,Lacey Yan,56,19,14,0.7368,0.9107,True
419,Replogle Globes,24.0,,CHICAGO LOOP,125 Fencl ln,Hillside,IL,60612,Decor,Decorative Accent - Home Accents,Supplier Service Desk,40,18,14,0.7778,0.95,True
50037,Big Box Marketing,24.0,00:00:00,OCALA LOCAL,4791 NE COUNTY RD ,Melrose ,FL,32666,Decor,Outdoor Decor,Supplier Service Desk,50,18,16,0.8889,0.94,True
265125,(US)Guangzhou Yikedashu Trading Company Limited CA 91702,24.0,,ARCADIA,1033 N Todd Ave,Azusa,CA,91702,APS,Lighting,Cheryl Zhang,73,18,14,0.7778,0.8904,True
351120,NEW BKFARMHOUSE INC CA 92880,24.0,,CHINO LOCAL,14909 Summit Drive,Eastvale,CA,92880,APS Pet,Pet,Regan Zou,93,18,14,0.7778,0.9462,True
356513,"ZHEJIANG KEYUAN CHAIR INDUSTRY CO.,LTD. GA 31308",24.0,,SAVANNAH,1086 Oracal Parkway,Ellabell,GA,31308,APS K&D,Furniture - Kitchen and Dining,Eve Deng,100,18,13,0.7222,0.96,True
90444,TopBuy Inc IL 60446,24.0,00:00:00,SOUTH CHICAGO,50N.Paragon Drive,Romeoville,IL,60446,APS Outdoor,Furniture - Home Office,David Liu,59,17,16,0.9412,0.8644,True
