supplier_id,su_name,parent_suid,parent_su_name,order_count,distinct_parts,distinct_skus,avg_order_lt_hours,avg_sp_lt_hours,min_order_lt,max_order_lt,median_order_lt,avg_order_lt_days,median_order_lt_days
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",910,507,103,621.1,,96,2880,600,25.9,25.0
31945,South Sea Rattan NC27409,180,South Sea Rattan,99,67,48,499.2,,168,600,600,20.8,25.0
