parent_su_name,scenario,volume,badge_1d_pct,badge_2d_pct,badge_3d_pct,badge_5d_fast_pct,newly_badge_1d,newly_badge_2d,newly_badge_3d,newly_badge_5d
Safavieh,current,73294,0.005239173738641634,0.09457800092777045,0.424564084372527,0.8466859497366772,0,0,0,0
Safavieh,policy_2pm_no_cushion,73294,0.05085000136436827,0.2409201298878488,0.5571397385870607,0.8584468032853981,3343,10726,9717,862
Safavieh,policy_plus_weekend,73294,0.0633612574016972,0.26384151499440495,0.5948235871967691,0.8691161623052369,4260,12406,12479,1644
