supplier_type,supplier_id,su_name,sto,own_state,assigned_hub,total_vol,direct_vol,pct_direct,ifr_direct,ifr_local,ifr_lift,del_direct,del_local,del_lift,avg_gain_direct
constrained,111667,Winsome House GA 30013,Decor,GA,ATLANTA LOCAL,6339,878,0.13850765104906138,0.9339407744874711,0.9631449631449632,-0.02920418865749208,0.9441913439635532,0.9361179361179348,0.008073407845618386,0.8818447506106486
constrained,275205,Town Country Linen Corporation CA 92376,Tabletop,CA,WEST RIALTO,5103,826,0.16186556927297668,0.9830508474576264,0.9792023489111821,0.0038484985464443122,0.8825665859564161,0.8656716417910448,0.016894944165371295,0.9493108506256501
constrained,79383,ColourTree CA,Upholstery,CA,INDUSTRY,5282,809,0.1531616811813707,0.4449938195302842,0.7754385964912295,-0.33044477696094526,0.9060568603213844,0.9181286549707613,-0.01207179464937691,0.9472880101273591
constrained,288245,Xiamen MDM CA 91761,APS,CA,CHINO LOCAL,5954,802,0.1346993617735976,0.8591022443890273,0.915751647035335,-0.05664940264630769,0.8503740648379049,0.8356957476542213,0.01467831718368362,0.9489088103876661
constrained,280028, CHINO,APS Outdoor,CA,CHINO LOCAL,6837,800,0.11701038467163961,0.9312500000000006,0.968385729424234,-0.03713572942423338,0.8424999999999998,0.8968562345460971,-0.05435623454609728,0.9439486803145828
constrained,338215,"Bedshe International Co.,LTD CA 91761",APS,CA,CHINO LOCAL,11366,799,0.07029737814534577,0.889862327909888,0.9285792052259123,-0.038716877316024356,0.7859824780976223,0.8671747414262371,-0.08119226332861473,0.9251016036843511
constrained,302637,"GigaCloud Trading, Inc. GA 31302",Outdoor Furniture,GA,SAVANNAH,11354,793,0.06984322705654394,0.49180327868852464,0.6882352941176468,-0.1964320154291222,0.813366960907945,0.8820349761526227,-0.0686680152446777,0.7967987158271344
constrained,158009,Modway Inc. CA 92345,Outdoor Furniture,CA,WEST RIALTO,7449,773,0.1037723184320043,0.6934023285899095,0.5810435319543097,0.11235879663559978,0.7153945666235447,0.6696511268910151,0.04574343973252959,0.9212336570169795
constrained,126078,Ideal Ventures - GGI International CA,Storage & Org - Frequency,CA,WEST RIALTO,4728,743,0.15714890016920474,0.9865410497981153,0.9400897334389015,0.046451316359213846,0.8398384925975771,0.8709422011084723,-0.031103708510895167,0.9536171314245745
constrained,60106,Winado CA 91762,APS Outdoor,CA,CHINO LOCAL,9733,739,0.07592725778280078,0.7997293640054124,0.8985543061905341,-0.09882494218512172,0.8240866035182681,0.8651921413567281,-0.04110553783845994,0.9121517214301332
constrained,296291,AMCA,APS Housewares & More,CA,WEST RIALTO,6347,721,0.11359697494879471,0.7836338418862693,0.9238197424892706,-0.1401859006030013,0.7295423023578372,0.8577253218884123,-0.1281830195305751,0.929209455950542
constrained,27593,NFusion CA El Monte,Outdoor Furniture,CA,ARCADIA,7540,711,0.09429708222811671,0.9479606188466956,0.9363214837712528,0.011639135075442786,0.9240506329113924,0.8731066460587327,0.05094398685265977,0.9412236801430047
constrained,79733,MKAY GROUP CORP,Outdoor Structures,CA,INDUSTRY,5758,692,0.12018061827023271,0.98121387283237,0.9707095709570966,0.010504301875273403,0.934971098265896,0.9253300330033007,0.009641065262595228,0.9428220486315273
constrained,105765,Andes Furniture CA 92870,Upholstery,CA,ANAHEIM,4979,683,0.13717613978710586,1.0,0.908361691784152,0.09163830821584795,0.9399707174231338,0.9115216334467653,0.028449083976368472,0.949656466055256
constrained,245571,YITA LLC GA 30297,APS AEOF,GA,SOUTH ATLANTA,5825,676,0.11605150214592275,0.5088757396449698,0.8694760820045566,-0.3606003423595868,0.7026627218934917,0.8334851936218677,-0.13082247172837602,0.8431299446135908
constrained,267302,Karat Home Inc (14 Karat) CA 90249,APS Upholstery,CA,CARSON,10306,672,0.06520473510576363,0.9851190476190477,0.8682403433476398,0.1168787042714079,0.8705357142857149,0.8827253218884114,-0.012189607602696495,0.9495632020101864
constrained,182959,Brightech Inc. CA,Lighting,CA,WEST RIALTO,3599,667,0.18532925812725756,0.9340329835082456,0.9482029598308671,-0.014169976322621514,0.9325337331334338,0.9291754756871043,0.003358257446329449,0.9582099521293649
constrained,368322,Creative Home Ideas GA 31320,Soft Home,GA,SAVANNAH,6803,661,0.09716301631633104,0.27987897125567296,0.4475745957659612,-0.16769562451028824,0.859304084720121,0.8404734122353724,0.018830672484748567,0.8969508941648451
constrained,30002,Amrapur Overseas Inc. CA,Soft Home,CA,WEST RIALTO,4310,647,0.15011600928074245,0.9304482225656874,0.9719197707736366,-0.04147154820794918,0.836166924265843,0.8936962750716329,-0.0575293508057898,0.9542287230584577
constrained,348867,JAFFE MURPHY HOUSE INC CA 91746 (2),APS Housewares & More,CA,ARCADIA,5484,634,0.11560904449307075,0.9810725552050477,0.9561251086012157,0.02494744660383197,0.9542586750788651,0.8900955690703719,0.06416310600849318,0.9498879223954689
constrained,291275, 美南SAV自营仓,APS,GA,SAVANNAH,6309,632,0.10017435409732128,0.8702531645569622,0.8272727272727283,0.04298043728423395,0.7626582278481017,0.7086474501108666,0.05401077773723506,0.7669064867757204
constrained,34809,Safavieh GA31407 B,Rugs,GA,SAVANNAH,15937,631,0.03959339900859635,0.849445324881141,0.8928105472773468,-0.04336522239620577,0.8890649762282091,0.8684337018471463,0.020631274381062825,0.817363194590243
constrained,54805,Enova Corporation CA 91732,Decor,CA,ARCADIA,3846,624,0.1622464898595944,0.937499999999999,0.9321223709369035,0.005377629063095468,0.88301282051282,0.8237731038878274,0.05923971662499261,0.955892849531422
constrained,44532,GlideRite Hardware CA,Hardware,CA,CHINO LOCAL,4319,622,0.14401481824496412,0.9807073954983926,0.9331816889394376,0.04752570655895494,0.8167202572347265,0.8109183963605358,0.005801860874190767,0.9457717536561725
constrained,123170,Puredown CA 91761,APS Mattresses,CA,CHINO LOCAL,4523,622,0.1375193455671015,0.8649517684887459,0.8854109961894393,-0.020459227700693416,0.8151125401929263,0.83015786608601,-0.015045325893083716,0.9486634801680819
constrained,47458,vida XL CA 92374,Outdoor Furniture,CA,WEST RIALTO,4300,620,0.14418604651162792,0.9935483870967743,0.9720496894409948,0.021498697655779497,0.8903225806451601,0.8913043478260865,-0.0009817671809263517,0.9548406972607444
constrained,373889, SLM CA3,APS Outdoor,CA,CHINO LOCAL,6385,617,0.0966327329678935,0.8914100486223656,0.9397993311036783,-0.04838928248131269,0.829821717990275,0.8730955035302854,-0.04327378554001038,0.9032485482046666
constrained,318241,"AD ASTRA(Xiamen) E-Commerce Co.,LTD CA 92337",APS Youth,CA,WEST RIALTO,4377,616,0.14073566369659585,0.9967532467532472,0.8232211803640374,0.17353206638920982,0.86525974025974,0.7956425813568664,0.06961715890287357,0.9510752433474287
constrained,8176,Rod Desyne,Soft Home,CA,CHINO LOCAL,4277,613,0.14332476034603694,0.9787928221859713,0.9928774928774938,-0.014084670691522527,0.8727569331158239,0.9091168091168097,-0.03635987600098578,0.9455467012447585
constrained,58244,P and P Imports LLC CA92614,Recreation,CA,ANAHEIM,4917,610,0.12405938580435225,0.9918032786885238,0.9360893323829897,0.05571394630553406,0.8868852459016393,0.8719410786410062,0.014944167260633079,0.9515472260190373
constrained,236781,Home Dynamix GA 31320,Rugs,GA,SAVANNAH,5285,608,0.11504257332071902,0.9144736842105263,0.9623411978221403,-0.04786751361161401,0.8453947368421062,0.865018148820324,-0.01962341197821782,0.8846284490834581
constrained,408080,"Hangzhou Chuandiai Cultural Media Co., Ltd. CA 92337",APS Rugs,CA,WEST RIALTO,4623,603,0.13043478260869565,0.9502487562189048,0.9725354148597861,-0.022286658640881307,0.8855721393034826,0.8901416594391469,-0.004569520135664362,0.94202386290624
constrained,14765,Flash Furniture GA 30114,Casegoods,GA,MARIETTA LOCAL,8400,600,0.07142857142857142,0.661666666666667,0.4691477587161046,0.19251890795056237,0.7466666666666666,0.6239623685666865,0.12270429809998007,0.8839096301798135
constrained,151576,Gibson CA,Tabletop,CA,SANTA FE SPRINGS,3754,600,0.15982951518380395,0.9916666666666658,0.9602757715036114,0.03139089516305438,0.8833333333333331,0.8621142481943548,0.0212190851389783,0.9500519284189141
constrained,320582,SmartStandard CA 92337,APS Home Improvement,CA,WEST RIALTO,3611,595,0.16477430074771532,0.9815126050420179,0.9051625239005736,0.07635008114144426,0.8756302521008404,0.8810707456978969,-0.0054404935970564505,0.9052194048203263
