msbd_week,vol,ifr,delivery_rel,avg_o2d_stated,avg_o2d_actual,avg_direct_gain,avg_mi_actual_to_cust,suppliers
2026-04-26,3577.0,0.9200447302208554,0.8881744478613364,7.8560246016214705,7.009801176141137,0.013890073374512495,1959.3696088590877,1498.0
2026-05-03,26061.0,0.8989294347876137,0.8553393960323855,7.628448678013032,6.9753235934896844,0.015029556795520862,1968.35509494177,4120.0
2026-05-10,25812.0,0.9201146753448008,0.8246551991321865,7.5483067922042695,7.0702912161042155,0.06790234022744002,1851.5835061312705,3997.0
2026-05-17,27924.0,0.9139091820656067,0.9138733705772812,9.018802378053149,7.294460798391729,0.8969583624321804,198.45585540331007,4134.0
2026-05-24,36123.0,0.8399357749910029,0.8625806273011655,8.963317648512321,7.953660025528609,0.9563843101670605,86.81530196701901,4470.0
2026-05-31,26991.0,0.8744766774109889,0.804379237523619,7.788941185190676,7.293804943524556,0.9501006520460621,99.17415967918566,4152.0
2026-06-07,25119.0,0.9073211513197181,0.8011465424579004,7.710787659545423,7.148970142104423,0.6710325291677407,644.3954521543264,4014.0
2026-06-14,27176.0,0.9133426552840742,0.8383500147188696,7.660714037066433,6.972381830475138,0.02324387505543316,1949.6792865619352,4180.0
2026-06-21,23661.0,0.9123029457757491,0.802966907569418,7.758294239465788,7.170067839728641,0.01339802367850915,1973.4308217915407,3894.0
2026-06-28,21072.0,0.877040622627183,0.8670747911921033,8.38496583143508,7.323916383545044,0.007887042080392509,1983.7723299342097,3700.0
2026-07-05,30688.0,0.8882299270072993,0.8624217935349322,8.057415488347154,6.987691453340787,0.008994774394939105,1984.6429926824324,4486.0
2026-07-12,22713.0,0.9073658257385638,0.8520230704882666,7.6675444777171045,6.862238243629322,0.009781723084180936,1981.5346798163537,4128.0
2026-07-19,24203.0,0.8997231748130398,0.838821633681775,7.55914551817255,6.777936117027291,0.010372045026039056,1978.2687885416913,4233.0
2026-07-26,33160.0,0.8737937273823885,0.838962605548854,7.661139160641168,6.842384909229423,0.013118352422958945,1969.431889914327,4833.0
2026-08-02,24363.0,0.9080573000041046,0.6048926651069244,7.685736367222056,6.430455508211155,0.012081872491133733,1972.927408992943,4229.0
2026-08-09,7197.0,0.8602195359177435,0.02653883562595526,6.759458327516404,7.751184834123222,0.00958590274734511,1982.0208365173091,1979.0
