builder_tier,suppliers,vol_local,vol_direct,ifr_local,ifr_direct
0% (non-builder),82,19990.0,0.0,0.8394197098549274,
0–5%,183,59906.0,1730.0,0.8941007578539713,0.891907514450867
5–15%,1281,880012.0,108968.0,0.8973684449757503,0.8875082593054842
15–30%,1175,870625.0,199049.0,0.902086432160804,0.8780350566945827
30%+,77,24892.0,14700.0,0.8643339225453961,0.8491156462585034
