cohort,suppliers,vol_local,vol_direct,ifr_local,del_local,o2d_local,avg_direct_share,ifr_vs_nonbuilders_pp
HV builders (≥30 direct + ≥30 local),533,52073.0,71829.0,0.840109077641004,0.8610028229600752,6.879636981091928,0.5797242982357024,1.8749854340033068
HV light directors (1–29 direct + ≥30 local),63,2551.0,1382.0,0.8518228145825166,0.8529988239905919,6.609207416206979,0.3513857106534452,3.0463591281545743
HV non-builders (0 direct + ≥30 local),6,515.0,0.0,0.8213592233009709,0.8990291262135922,7.464956412996521,0.0,0.0
