supplier_id,su_name,sto,is_cushioned,vol,vol_det,vol_direct,vol_local,direct_share,ifr,delivery_rel,det_on_time,det_hits_minus_1,ifr_direct,ifr_local,del_direct,det_on_time_direct,det_m1_direct,cushion,ifr_vs_del_pp,ifr_vs_det_pp
79383,ColourTree CA,Upholstery,1,3437.0,3322.0,728.0,2514.0,0.21181262729124237,0.5938318300843775,0.9115507710212399,0.7575289396837073,0.5245513744344135,0.43131868131868134,0.6503579952267324,0.9079670329670333,0.8076923076923083,0.46840659340659335,1.0,-31.77189409368625,-16.36971095993298
295509,"Freestyle Outdoor Living Co., Ltd GA 31405(2)",APS Outdoor,1,2258.0,2243.0,281.0,1803.0,0.12444641275465013,0.6873339238263957,0.856510186005314,0.788494877388925,0.6587267616834179,0.6832740213523133,0.6982806433721582,0.8683274021352306,0.9252669039145908,0.7900355871886117,1.0,-16.917626217891836,-10.11609535625293
32159,Classic Home CA,Casegoods,1,1429.0,1397.0,249.0,1101.0,0.17424772568229532,0.7984604618614414,0.8628411476557025,0.871959310758684,0.7105871736307909,0.7550200803212853,0.8174386920980924,0.8955823293172689,0.8875502008032128,0.6867469879518069,1.0,-6.438068579426115,-7.349884889724267
19463,"Conair, Inc AZ 85307",Kitchen & Small Electrics,1,1264.0,1249.0,200.0,995.0,0.15822784810126583,0.7729430379746833,0.8749999999999998,0.972375890662278,0.8911289835888817,0.8949999999999997,0.7386934673366832,0.9199999999999998,0.9899999999999995,0.9850000000000001,3.0,-10.205696202531644,-19.94328526875947
93793,Farfarview CA 92337,APS,1,1163.0,1154.0,163.0,903.0,0.14015477214101463,0.7755803955288051,0.8538263112639722,0.8212628597740034,0.6019454696553564,0.6932515337423312,0.8050941306755264,0.852760736196319,0.9079754601226994,0.6073619631901837,1.0,-7.824591573516715,-4.568246424519828
460617,FUJIAN VIITION INTERNET DEVELOPMENT CO LTD CA 92571,APS Decor,1,1060.0,1040.0,112.0,898.0,0.10566037735849057,0.6311320754716985,0.8594339622641505,0.9076571448456889,0.700146291973616,0.7410714285714285,0.6135857461024503,0.7857142857142859,0.9196428571428569,0.6875000000000003,1.0,-22.8301886792452,-27.652506937399046
146557,A298 CA01,Mattress,1,874.0,850.0,205.0,315.0,0.2345537757437071,0.7334096109839817,0.8878718535469109,0.8665598773711439,0.5599607174031394,0.4878048780487801,0.7142857142857145,0.8682926829268293,0.8878048780487802,0.38536585365853654,1.0,-15.446224256292918,-13.31502663871622
316345,Sinda Furniture CA 91761,APS,1,854.0,845.0,128.0,685.0,0.14988290398126464,0.7318501170960185,0.872365339578454,0.7252675679177643,0.5072794022372911,0.7734375000000002,0.7284671532846714,0.8984374999999998,0.8906249999999998,0.6484375,1.0,-14.051522248243542,0.6582549178254293
94641,Shenzhenshi xiangdeyizhang keji youxiang CA 92337,APS,1,845.0,835.0,125.0,620.0,0.14792899408284024,0.7881656804733722,0.8745562130177517,0.8285879853196836,0.592775738844891,0.7039999999999997,0.798387096774193,0.8560000000000002,0.88,0.5599999999999998,1.0,-8.639053254437945,-4.042230484631137
341753,"Zhejiang On Leap Furnishing Co.,Ltd. GA 31322",APS Outdoor,1,761.0,754.0,77.0,534.0,0.1011826544021025,0.7003942181340341,0.8659658344283836,0.7214407057491135,0.40591998728379985,0.584415584415584,0.7471910112359551,0.831168831168831,0.753246753246753,0.3376623376623376,1.0,-16.557161629434948,-2.1046487615079323
77785,LTmate Global LLC CA 91761,APS Home Improvement,1,734.0,729.0,87.0,539.0,0.11852861035422343,0.5476839237057225,0.9346049046321524,0.8722396553084382,0.7253639952052644,0.4827586206896552,0.5213358070500933,0.9770114942528734,1.0,0.9655172413793107,2.0,-38.69209809264299,-32.45557316027157
369977,"Lancai (Shenzhen) Technology Co., Ltd NJ 07008",APS Home Improvement,1,732.0,729.0,89.0,630.0,0.12158469945355191,0.7554644808743165,0.894808743169399,0.8593507087334256,0.6202495264223655,0.7640449438202244,0.7539682539682534,0.898876404494382,0.9775280898876406,0.7078651685393257,1.0,-13.934426229508245,-10.388622785910906
