supplier_id,su_name,parent_suid,parent_su_name,sto,vol,ifr,delivery_rel,avg_direct_gain,avg_o2d_stated,avg_o2d_actual,avg_mi_actual_to_cust,avg_mi_assigned_to_cust,pct_constrained,top_assigned_hub,top_actual_hub,pct_of_corridor
314810,Xiamenchaoshengmaoyiyouxiangongsi CA 92571,314495,Xiamenchaoshengmaoyiyouxiangongsi,Wayfair,1,1.0,1.0,0.9142254511366299,11.0,7.0,183.0,2133.5,1.0,RIALTO LOCAL,Chicago,2.0784835384103757e-05
314812,Xiamenchaoshengmaoyiyouxiangongsi GA 31326,314495,Xiamenchaoshengmaoyiyouxiangongsi,Wayfair,1,1.0,1.0,0.592289264025851,5.0,5.0,731.8,1794.9,1.0,RIALTO LOCAL,West Savannah  Ncpc,2.0784835384103757e-05
314840,"Yiwu Longfei Trading Co.,Ltd CA 91789",93985,"Yiwu Longfei Trading Co.,Ltd",APS,1,1.0,1.0,0.9437643662800022,8.0,7.0,105.2,1870.7,1.0,INDUSTRY,St. Paul,2.0784835384103757e-05
314101,INVOSH LTD CA 90670,270433,INVOSH LTD,Casegoods,1,1.0,1.0,0.9341936586616528,8.0,7.0,154.0,2340.2,1.0,SANTA FE SPRINGS,Columbus,2.0784835384103757e-05
313031,"FOSHAN SWEET LEMON TRADING CO., LTD CA 92376",312751,"FOSHAN SWEET LEMON TRADING CO., LTD",Wayfair,1,1.0,1.0,0.9821131657177408,8.0,3.0,35.5,1984.7,1.0,WEST RIALTO,Romeoville Rsf,2.0784835384103757e-05
416068,A&L Technology Support LLC CA 91731,76378,A&L Technology Support LLC,Upholstery,1,1.0,1.0,0.979868593955322,8.0,7.0,38.3,1902.5,1.0,ARCADIA,Maple Grove,2.0784835384103757e-05
416159,shenzhenshisidayuekejiyouxiangongsi CA 91761,318636,shenzhenshisidayuekejiyouxiangongsi,APS Bedroom,1,1.0,1.0,0.9860836775004489,9.0,7.0,31.0,2227.6,1.0,CHINO LOCAL,Columbus,2.0784835384103757e-05
415269,zhangzhoukailelongmaoyiyouxiangongsi CA 91764,241110,zhangzhoukailelongmaoyiyouxiangongsi,APS Bedroom,1,1.0,1.0,0.9787288438922126,7.0,7.0,41.6,1955.7,1.0,CHINO LOCAL,Romeoville Rsf,2.0784835384103757e-05
415384,"Suzhou Chaojijia Internet Technology Co., Ltd. CA 91702",347593,"Suzhou Chaojijia Internet Technology Co., Ltd.",APS AEOF,1,0.0,0.0,0.9002389169100079,6.0,7.0,187.9,1883.5,1.0,ARCADIA,Chicago,2.0784835384103757e-05
415386,DongguanshiYuanmumuDianzikejiYouxiangongsi CA 92408,247010,DongguanshiYuanmumuDianzikejiYouxiangongsi,APS AEOF,1,1.0,1.0,0.9763522550960355,8.0,8.0,44.2,1869.1,1.0,WEST RIALTO,Maple Grove,2.0784835384103757e-05
