msbd_week,vol,ifr,delivery_rel,avg_o2d_stated,avg_o2d_actual,avg_direct_gain,avg_mi_actual_to_cust,suppliers,o2d_gap
2026-04-26,26.0,0.5384615384615384,0.6153846153846154,8.307692307692308,13.961538461538462,0.7429438314498623,517.4769230769232,24.0,5.653846153846153
2026-05-03,248.0,0.5766129032258065,0.6370967741935484,8.258064516129032,10.616935483870968,0.7968956234954325,411.7028225806451,174.0,2.358870967741936
2026-05-10,1489.0,0.7696440564137005,0.5755540631296172,7.607790463398254,8.583613163196777,0.937474368148723,126.99704499664205,760.0,0.9758226997985231
2026-05-17,17414.0,0.9128861835304927,0.9206959917307913,9.025729382035378,7.343364153218859,0.9704956339699469,59.29450442172964,3177.0,-1.6823652288165185
2026-05-24,22978.0,0.8415440856471408,0.8742710418661328,8.992826976663183,7.909549926003308,0.9660601464158148,68.49597005831666,3588.0,-1.0832770506598752
2026-05-31,16659.0,0.8845068731616543,0.8137343177861817,7.762473731612128,7.150275286005866,0.9664533741159503,67.79876943393961,3277.0,-0.6121984456062624
2026-06-07,11495.0,0.9297085689430187,0.8020878642888212,7.823022709475333,6.993618749274857,0.9590915228385315,82.85368421052632,2741.0,-0.8294039602004757
2026-06-14,482.0,0.9356846473029046,0.9294605809128631,14.174636174636175,9.060165975103734,0.9036012284984795,197.53858921161827,209.0,-5.114470199532441
2026-06-21,278.0,0.8812949640287769,0.920863309352518,12.676258992805755,7.766187050359712,0.847956044819904,311.6485611510791,105.0,-4.910071942446042
2026-06-28,122.0,0.7622950819672131,0.9180327868852459,9.680327868852459,5.819672131147541,0.7587188848269878,497.0762295081967,77.0,-3.860655737704918
2026-07-05,201.0,0.8059701492537313,0.8756218905472637,10.412935323383085,5.36180904522613,0.7087001548767955,589.7084577114427,137.0,-5.051126278156954
2026-07-12,134.0,0.835820895522388,0.9029850746268657,8.962686567164178,4.91044776119403,0.6817921237490981,647.3268656716418,97.0,-4.052238805970148
2026-07-19,204.0,0.8676470588235294,0.8578431372549019,8.326732673267326,4.602941176470588,0.6710051009127866,664.4916666666666,148.0,-3.7237914967967383
2026-07-26,350.0,0.8257142857142857,0.8971428571428571,6.848571428571429,4.258620689655173,0.6657313269175755,680.5814285714285,223.0,-2.589950738916256
2026-08-02,237.0,0.8776371308016878,0.8481012658227848,6.987234042553191,4.238938053097345,0.6539972008073123,708.0928270042194,156.0,-2.748295989455846
2026-08-09,37.0,1.0,0.21621621621621623,5.972972972972973,3.2222222222222223,0.6909879444179389,649.3783783783783,24.0,-2.7507507507507505
