supplier_id,su_name,sto,is_cushioned,vol,vol_det,vol_direct,vol_local,direct_share,ifr,delivery_rel,det_on_time,det_hits_minus_1,ifr_direct,ifr_local,del_direct,det_on_time_direct,det_m1_direct,cushion,ifr_vs_del_pp,ifr_vs_det_pp,big_gap
461009,Simmons Mattress CA 92831,Mattress,1,58.0,56.0,1.0,56.0,0.017241379310344827,0.6724137931034482,0.5689655172413793,0.672831632653061,0.638392857142857,1.0,0.6607142857142856,1.0,1.0,1.0,1.0,10.344827586206884,-0.041783954961283065,False
432851,JIANG SU MAI WEI JIN CHU KOU YOU XIAN GONG SI GA 30518,APS AEOF,1,58.0,58.0,6.0,44.0,0.10344827586206896,0.6724137931034483,0.9310344827586204,0.8275862068965517,0.5689655172413793,0.8333333333333334,0.6818181818181818,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,-25.862068965517217,-15.517241379310342,True
316095,Noviland International LLC PA 18466,APS Decor,1,58.0,56.0,0.0,53.0,0.0,0.4482758620689654,0.793103448275862,0.7250673854447439,0.3271563342318059,,0.49056603773584895,,,,1.0,-34.48275862068966,-27.67915233757785,True
247008,Guangzhoushi Yuanweiwei Maoyi Youxian NJ 08861,APS,1,58.0,57.0,9.0,28.0,0.15517241379310345,0.5344827586206896,0.7413793103448276,0.4473684210526316,0.1723057644110276,0.3333333333333333,0.6785714285714285,0.4444444444444444,0.11111111111111113,0.0,1.0,-20.6896551724138,8.711433756805803,True
368787,"Anhui Yinmaotai Technology Co., Ltd CA 91752",Wayfair,1,58.0,55.0,3.0,50.0,0.05172413793103448,0.7241379310344829,0.8275862068965515,0.86,0.6869090909090909,0.6666666666666666,0.7200000000000002,1.0,1.0,0.6666666666666666,1.0,-10.344827586206861,-13.586206896551712,True
235705,JOY-CA1,Casegoods,1,58.0,58.0,0.0,55.0,0.0,1.0,0.9482758620689654,0.8793103448275861,0.8103448275862067,,1.0,,,,1.0,5.172413793103459,12.068965517241391,False
89556,YOUDENOVA HOME INC NJ 08817,APS Outdoor,1,58.0,58.0,0.0,58.0,0.0,0.8275862068965517,0.8620689655172413,0.5344827586206896,0.2586206896551724,,0.8275862068965517,,,,1.0,-3.4482758620689613,29.31034482758621,False
450322,Zhongshan Shiyuemumu Dianzishangwuyouxiangongsi GA 31326,APS Decor,1,58.0,58.0,3.0,33.0,0.05172413793103448,0.8103448275862069,0.8275862068965516,0.9482758620689655,0.7758620689655171,0.6666666666666666,0.8484848484848484,0.6666666666666666,1.0,0.6666666666666666,1.0,-1.724137931034475,-13.793103448275868,False
299786,Q-CA-1,APS,1,58.0,58.0,0.0,45.0,0.0,0.5517241379310345,0.7586206896551723,0.7586206896551723,0.4999999999999999,,0.5111111111111111,,,,1.0,-20.68965517241378,-20.68965517241378,True
28883,American Heartland,Casegoods,1,58.0,56.0,14.0,42.0,0.2413793103448276,0.5344827586206897,0.8965517241379308,0.8120748299319727,0.6904761904761906,0.6428571428571429,0.5000000000000001,1.0,0.9285714285714286,0.7142857142857142,2.0,-36.206896551724114,-27.759207131128292,True
