msbd_week,vol,ifr,delivery_rel,avg_o2d_stated,avg_o2d_actual,avg_direct_gain,avg_mi_actual_to_cust,suppliers,o2d_gap
2026-04-26,23.0,0.43478260869565216,0.4782608695652174,9.130434782608695,17.043478260869566,0.9107800092627063,170.33333333333334,18.0,7.913043478260871
2026-05-03,191.0,0.4397905759162304,0.4293193717277487,8.528795811518325,15.717277486910994,0.9446884675098269,114.8138157894737,142.0,7.188481675392669
2026-05-10,1957.0,0.7807869187531936,0.5334695963208993,7.550843127235565,8.868098159509202,0.9671703397230678,67.34490274983233,877.0,1.3172550322736374
2026-05-17,24311.0,0.9125498745423882,0.9142363539138662,8.984697025792917,7.318647414537826,0.9709643131854228,58.40294558618256,3723.0,-1.666049611255091
2026-05-24,33054.0,0.8456767713438615,0.8664609426998245,8.966205457224735,7.914765506807867,0.9662316685459428,67.9520851658722,4236.0,-1.051439950416868
2026-05-31,24575.0,0.8842726347914547,0.812736520854527,7.747883425594269,7.12673608083204,0.9661705068251883,68.0895927985038,3936.0,-0.6211473447622291
2026-06-07,17322.0,0.9318208059115576,0.8126082438517492,7.80310641492003,6.965796666281711,0.9596931495069595,81.32828129008855,3402.0,-0.8373097486383196
2026-06-14,597.0,0.9681742043551089,0.9380234505862647,14.701342281879194,9.338358458961475,0.95435048466723,92.88055555555555,223.0,-5.36298382291772
2026-06-21,250.0,0.936,0.932,15.792,9.096,0.945590719925809,114.65582524271846,58.0,-6.696
2026-06-28,75.0,0.8266666666666667,0.96,11.04,6.1466666666666665,0.9139486654665884,171.43384615384616,35.0,-4.893333333333333
2026-07-05,102.0,0.9019607843137255,0.9803921568627451,15.450980392156863,5.637254901960785,0.9145152510851573,160.53636363636366,50.0,-9.813725490196077
2026-07-12,60.0,0.8833333333333333,0.9833333333333333,13.433333333333334,5.166666666666667,0.8709045845428369,239.4589743589743,33.0,-8.266666666666666
2026-07-19,77.0,0.8311688311688312,0.961038961038961,12.675324675324676,4.454545454545454,0.8728404246580532,242.53599999999997,53.0,-8.220779220779221
2026-07-26,101.0,0.8415841584158416,0.9207920792079208,7.237623762376238,4.108910891089109,0.8695122336260983,241.99375,64.0,-3.128712871287129
2026-08-02,49.0,0.7959183673469388,0.7755102040816326,7.270833333333333,3.9047619047619047,0.8525409774819066,278.3853658536585,33.0,-3.3660714285714284
2026-08-09,19.0,0.8421052631578947,0.21052631578947367,5.105263157894737,2.75,0.7728136759929767,368.1125,7.0,-2.355263157894737
