lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,n_parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,candidate_vol,candidate_share,direct_vol,direct_share,sparse_far_vol,sparse_far_share,jumbo_vol,jumbo_share,ghost_vol,ghost_share,misshipping_vol,misshipping_share,weeks_with_direct,pct_weeks_with_direct,direct_by_week,top_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_hubs,n_misshipping_hubs,misshipping_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_gain_on_candidate,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,candidate_bucket_sum,candidate_partition_ok,direct_cohort
msbd_2w,msbd_su,2,313259, AN-CA,100553,SHENZHEN NAMUNANI WANGLUO KEJI YOUXIAN GONGSI,"CA,NJ",2,APS,Asia Supplier Service Desk,CA,Eastvale,91752,3900 Hamner Ave,WEST RIALTO,CA,92316,889,3,141,0.15860517435320584,17,0.019122609673790775,1,0.0011248593925759281,8,0.008998875140607425,98,0.11023622047244094,17,0.019122609673790775,2,0.6666666666666666,2026-08-02: 9; 2026-08-09: 8,King Of Prussia (PA) 2%,1,122,Fairless Hills (PA) 14%,1,Woodbridge (NJ) 2%,22,0.024746906636670417,863,170,170,697,0.803921568627451,0.6781913485637565,1787.8998567335238,1459.0046153846165,538.647045191194,0.949381327334084,0.7142857142857144,0.879432624113475,0.9290780141843971,0.9411764705882352,1.0,0.0,1.0,0.875,0.75,0.8571428571428572,0.9489795918367344,1.0,0.8235294117647057,141,True,ghost_warehouses
msbd_2w,msbd_su,2,150553,XH DV-SWN GA 31326,66040,Shenzhen XinheTrade Limited Company,"CA,GA,NJ,PA,TX",5,APS,Stella Yin,GA,Rincon,31326,1000 Trade center Pkwy,SAVANNAH LOCAL,GA,31408,849,3,59,0.06949352179034157,0,0.0,1,0.001177856301531213,1,0.001177856301531213,57,0.06713780918727916,0,0.0,0,0.0,,,1,114,Davenport (FL) 13%,0,,17,0.020023557126030624,814,116,116,716,0.8605769230769231,0.36166156676625005,553.3175781250002,530.1393006993004,60.89127764127761,0.9057714958775032,0.733804475853945,0.5932203389830508,0.4406779661016949,,,1.0,1.0,1.0,1.0,0.5789473684210527,0.4210526315789474,,,59,True,ghost_warehouses
msbd_2w,msbd_su,2,61549,Four Hands TX,12097,Four Hands,TX,1,PG Casegoods,Jonathan Leanos,TX,Del Valle,78617,6106 Ross Rd,KYLE,TX,78640,825,3,118,0.14303030303030304,0,0.0,0,0.0,0,0.0,118,0.14303030303030304,0,0.0,0,0.0,,,1,703,South Dallas Rsf (TX) 85%,0,,81,0.09818181818181818,718,10,676,68,0.0913978494623656,0.09955310253633749,951.1262295081968,1052.8457186544347,212.85167130919237,0.9624242424242425,0.8496969696969693,1.0,0.9745762711864403,,,,,,,1.0,0.9745762711864403,,,118,True,ghost_warehouses
msbd_2w,msbd_su,2,255050,JOYIN US CORP. CA 91730,49117,JOYIN US CORP.,CA,1,APS Decor,Tyler Zhu,CA,Rancho Cucamonga,91730,10415 8th St,WEST RIALTO,CA,92316,818,3,500,0.6112469437652812,0,0.0,0,0.0,6,0.007334963325183374,494,0.6039119804400978,0,0.0,0,0.0,,,2,594,Marietta (GA) 42%; Metuchen (NJ) 31%,0,,11,0.013447432762836185,606,605,606,201,0.24907063197026022,0.3504074651010789,1766.9277213352698,958.9095477386928,1770.9959107806687,0.9889975550122245,0.8166259168704155,0.9939999999999999,0.8940000000000003,,,,,0.8333333333333334,0.8333333333333334,0.9959514170040482,0.8947368421052638,,,500,True,ghost_warehouses
msbd_2w,msbd_su,2,297069,10-MN001,35678,"HONGKONG LICHUAN TECHNOLOGY CO.,LIMITED","CA,GA,IL,NJ,TX",5,APS,Yolanda GUI,GA,Braselton,30517,900 HIGHWAY 124,BRASELTON,GA,30517,771,3,91,0.11802853437094682,0,0.0,1,0.0012970168612191958,1,0.0012970168612191958,89,0.11543450064850844,0,0.0,0,0.0,,,1,152,Olive Branch (MS) 20%,0,,14,0.018158236057068743,718,153,153,604,0.797886393659181,-0.016473797358792466,640.1680167597763,646.4287114845945,129.26382978723413,0.9909208819714657,0.797665369649805,0.9890109890109892,0.8351648351648353,,,1.0,1.0,1.0,0.0,0.9887640449438204,0.8426966292134834,,,91,True,ghost_warehouses
msbd_2w,msbd_su,2,12203,Bungalow Flooring LLC GA 30721,10607,Bungalow Flooring LLC,GA,1,Decor,Kadin Nestler,GA,Dalton,30721,340 Cross Plains Blvd,EAST CHATTANOOGA,TN,37363,644,3,145,0.2251552795031056,0,0.0,0,0.0,0,0.0,145,0.2251552795031056,0,0.0,0,0.0,,,1,222,Columbus (GA) 34%,0,,11,0.017080745341614908,222,222,222,411,0.6492890995260664,-0.176776339255633,1128.0654028436015,1123.3845659163983,78.80142857142853,0.9673913043478263,0.7934782608695659,0.9586206896551721,0.8344827586206898,,,,,,,0.9586206896551721,0.8344827586206898,,,145,True,ghost_warehouses
msbd_2w,msbd_su,2,312816,hebeixiongananglangongyinglianyouxiangong NJ 08505,280601,hebeixiongananglangongyinglianyouxiangongsi,"CA,NJ,PA",3,APS Mattresses,Checky Yi,NJ,Bordentown ,08505,3280 US Highway 206,ROBBINSVILLE,NJ,8691,611,3,186,0.3044189852700491,5,0.008183306055646482,1,0.0016366612111292963,20,0.03273322422258593,160,0.2618657937806874,0,0.0,1,0.3333333333333333,2026-08-02: 5,Etna Rsf (OH) 1%,1,165,Greensboro (NC) 27%,0,,2,0.0032733224222585926,583,531,243,366,0.6009852216748769,0.4300139817428029,999.4322003577813,767.7947154471542,190.3101806239736,0.9689034369885442,0.7823240589198034,0.9139784946236559,0.6129032258064522,1.0,1.0,1.0,1.0,1.0,0.8999999999999999,0.9,0.5625,,,186,True,ghost_warehouses
msbd_2w,msbd_su,2,238721,Sangzhi NJ 08060,213974,WHALEFALL INTERNATIONAL LIMITED,"CA,NJ,PA",3,APS Bedroom,Kebing Wang,NJ,Westampton,08060,35 E Park Dr,ROBBINSVILLE,NJ,8691,591,3,107,0.18104906937394247,0,0.0,0,0.0,0,0.0,106,0.1793570219966159,1,0.001692047377326565,0,0.0,,,1,113,Greensboro (NC) 19%,1,West Rialto (CA) 0%,8,0.01353637901861252,521,219,113,470,0.8061749571183533,0.4785058194315705,808.1165948275865,705.878947368421,118.88808290155447,0.905245346869712,0.7715736040609141,0.626168224299065,0.6542056074766354,,,,,,,0.622641509433962,0.6603773584905659,1.0,0.0,107,True,ghost_warehouses
msbd_2w,msbd_su,2,296496,Shenzhenshi xiangdeyizhang keji youxian GA 30517,67653,"HONG KONG LIUXIN TECHNOLOGY CO., LIMITED","CA,GA,IL,NJ,TX",5,APS,Yolanda GUI,GA,Braselton,30517,900 HIGHWAY 124  SUITE 200,WILLIAMSBURG NCPC,FL,32819,555,3,71,0.12792792792792793,0,0.0,2,0.0036036036036036037,1,0.0018018018018018018,68,0.12252252252252252,0,0.0,0,0.0,,,1,104,Olive Branch (MS) 19%,0,,15,0.02702702702702703,509,109,109,431,0.7981481481481482,0.005344516843444885,620.7875939849623,611.9345419847328,129.1426443202981,0.7693693693693693,0.5801801801801806,0.2394366197183099,0.6338028169014083,,,1.0,0.0,0.0,0.0,0.2205882352941177,0.6617647058823529,,,71,True,ghost_warehouses
msbd_2w,msbd_su,2,301361,XH WP_NJ8_PA 18064,66040,Shenzhen XinheTrade Limited Company,"CA,GA,NJ,PA,TX",5,APS,Stella Yin,PA,Nazareth,18064,3363 Gun Club Rd,LEHIGH VALLEY LOCAL,PA,18067,551,3,25,0.045372050816696916,0,0.0,0,0.0,0,0.0,25,0.045372050816696916,0,0.0,0,0.0,,,1,82,Greensboro (NC) 15%,0,,8,0.014519056261343012,540,103,81,462,0.850828729281768,0.17005100639025625,528.5379652605461,543.9989974937337,79.41314814814818,0.9691470054446468,0.8548094373865688,0.7200000000000001,0.7200000000000001,,,,,,,0.7200000000000001,0.7200000000000001,,,25,True,ghost_warehouses
