msbd_week,dest_region,supplier_id,su_name,sto,vol_direct,o2d_actual_direct,ifr_direct,delivery_rel_direct,det_on_time_direct,mi_to_cust_direct,top_actual_hub_direct,top_assigned_hub_direct,avg_gain_direct,vol_local,o2d_actual_local,ifr_local,delivery_rel_local,det_on_time_local,mi_to_cust_local,top_actual_hub_local,o2d_delta,faster
2026-06-07,Southeast,237104,Devion Furniture,APS,386,7.735751295336788,0.8808290155440406,0.854922279792746,0.5803108808290154,87.32668393782384,Marietta,CHINO LOCAL,0.9613770695064066,47,8.0,0.936170212765957,0.5744680851063829,0.5531914893617021,2265.9765957446803,Chino Hills Sp Annex,-0.2642487046632116,True
2026-06-07,Mid-Atlantic,237104,Devion Furniture,APS,248,7.65725806451613,0.9032258064516127,0.9717741935483869,0.6330645161290326,102.62903225806447,Hagerstown,CHINO LOCAL,0.9607789070917557,18,8.0,1.0,0.9444444444444443,1.0,2544.238888888889,Chino Hills Sp Annex,-0.3427419354838701,True
2026-05-24,Midwest,17066,  CA2,Outdoor Furniture,195,6.138461538461539,0.7333333333333333,0.8923076923076925,0.7384615384615384,60.31282051282052,Chicago,INDUSTRY,0.9707819152214215,24,6.875000000000001,0.6250000000000001,0.6666666666666667,0.5833333333333334,124.02941176470588,Kansas City,-0.736538461538462,True
2026-05-24,Midwest,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",APS Outdoor,180,6.861111111111111,0.9888888888888889,0.9777777777777776,0.5388888888888894,72.2727777777778,Toledo,RIALTO LOCAL,0.9655887516800722,15,8.6,0.7333333333333334,0.7333333333333334,0.06666666666666668,185.0285714285714,North Kansas City Ncpc,-1.738888888888889,True
2026-06-07,Southeast,238512,CP HomeDecor CA 91761(2),APS,132,6.371212121212123,0.871212121212121,0.9318181818181818,0.6818181818181818,73.97424242424249,North Charlotte Rsf,CHINO LOCAL,0.9676385328969253,33,6.9393939393939394,0.9393939393939393,0.9393939393939393,0.9393939393939393,2174.845454545455,Chino Hills Ncpc,-0.5681818181818166,True
2026-05-24,Midwest,293214,CIAO JING INC CA 92879 ,Upholstery,128,7.656250000000002,0.7109374999999996,0.8906249999999999,0.42187500000000017,65.15078124999998,Romeoville Ncpc,WEST RIALTO,0.9679911904560569,15,8.399999999999999,0.4666666666666666,0.7333333333333334,0.4666666666666666,119.6,North St.Louis,-0.7437499999999968,True
2026-06-07,Southeast,39837,Kingston CA,Plumbing,121,7.669421487603305,1.0,0.9338842975206608,0.8842975206611569,110.90495867768598,Marietta,CHINO LOCAL,0.9518690813918278,10,10.0,1.0,0.6,0.6,2092.7200000000003,Industry,-2.330578512396695,True
2026-05-17,Midwest,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",APS Outdoor,120,6.1499999999999995,1.0,0.9583333333333335,0.5666666666666668,75.14749999999995,Chicago,RIALTO LOCAL,0.9617791776803842,58,6.5,1.0,0.9482758620689654,0.7413793103448276,1436.3638297872335,Rialto,-0.35000000000000053,True
2026-06-07,Southeast,292636,Green Living Group INC CA 91762,Soft Home,120,6.241666666666665,0.9833333333333334,0.9166666666666666,0.8750000000000001,107.27083333333334,Olive Branch,CHINO LOCAL,0.9505837374498449,16,6.624999999999999,1.0,0.75,0.6875000000000001,2188.00625,Chino,-0.38333333333333375,True
2026-05-17,Midwest,297318,Eazeemats CA 91752 (4),APS Upholstery,118,7.296610169491523,0.9745762711864407,0.983050847457627,0.9237288135593219,56.73220338983052,Chicago,WEST RIALTO,0.9730737474006332,17,8.117647058823529,1.0,1.0,1.0,377.1615384615384,North Kansas City Ncpc,-0.8210368893320057,True
