segment,vol,vol_det,suppliers,ifr,delivery_rel,det_on_time,det_hits_minus_1,stored_det_del_rel,stored_det_one_more,pct_direct,path,late_ifr,del_miss,det_miss,det_m1_miss,pct_vol,pct_ifr_lates,pct_del_misses,pct_det_misses,pct_det_m1_misses
local,865985,846593,9728,0.7510615079937875,0.8364128708926829,0.8270348572940065,0.6420767429460602,0.33771732456544645,0.6252660557557064,0.0,local,215576.99999999997,141664.0,146431.07905889515,303015.32395906607,0.8647320033271789,0.8313485789209826,0.8319424950522959,0.873004615749246,0.8557983616249114
other,69305,68830,4044,0.6552918259865811,0.7488348603996825,0.8020931912657076,0.5738562757978555,0.420110050717237,0.6479394246435636,0.0,other,23889.999999999996,17407.000000000004,13621.925645181349,29331.472536833608,0.06920472235730427,0.09212911187381898,0.10222514549479979,0.08121229482201203,0.08284012113017511
direct,66159,66051,3341,0.7000710409770402,0.8305597122084675,0.8837367601490078,0.6710651915302361,0.32746833596409497,0.6079170435371407,1.0,direct,19842.999999999996,11210.0,7679.303255397885,21726.473034236373,0.06606327431551681,0.07652230920519841,0.06583235945290432,0.045783089428741854,0.06136151724491357
