lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,n_parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,candidate_vol,candidate_share,direct_vol,direct_share,sparse_far_vol,sparse_far_share,jumbo_vol,jumbo_share,ghost_vol,ghost_share,misshipping_vol,misshipping_share,weeks_with_direct,pct_weeks_with_direct,direct_by_week,top_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_hubs,n_misshipping_hubs,misshipping_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_gain_on_candidate,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,candidate_bucket_sum,candidate_partition_ok,direct_cohort
msbd_2w,msbd_su,2,244671,Zhejiang Paide Network Technology Co Ltd NJ 08505,103843,Zhejiang Paide Network Technology Co Ltd,"CA,GA,NJ",3,APS,Ricky Yu,NJ,Bordentown,08505,3280 US Highway 206,ROBBINSVILLE,NJ,8691,494,3,37,0.07489878542510121,13,0.02631578947368421,1,0.0020242914979757085,23,0.0465587044534413,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 4; 2026-08-09: 9,Greensboro (NC) 3%,0,0,,0,,26,0.05263157894736842,363,325,59,409,0.8739316239316239,0.4240811767921437,742.271717171717,681.9363905325446,79.3085653104925,0.8643724696356272,0.692307692307693,0.40540540540540543,0.7027027027027027,0.2307692307692308,0.7692307692307692,1.0,1.0,0.4782608695652174,0.6521739130434783,,,,,37,True,sometimes_builds_directs
msbd_2w,msbd_su,2,139182,Nathan James NV 89434,37754,Nathan James,NV,1,Casegoods,Megan White,NV,Sparks,89434,12475 Mustang Road,RENO,NV,89434,372,3,10,0.026881720430107527,10,0.026881720430107527,0,0.0,0,0.0,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 2; 2026-08-09: 8,Orlando (FL) 3%,0,0,,0,,29,0.07795698924731183,12,11,11,332,0.967930029154519,0.9425147658891503,1785.496992481203,1628.581640624999,90.48011869436203,0.8467741935483873,0.4650537634408601,0.0,0.0,0.0,0.0,,,,,,,,,10,True,sometimes_builds_directs
msbd_2w,msbd_su,2,203778,"Shanghai Daiyue Arts & Crafts Co., Ltd. NJ 08060",203264,"Shanghai Daiyue Arts & Crafts Co., Ltd.","CA,NJ",2,APS Youth,Asia Supplier Service Desk,NJ,Westampton,08060,35 E Park Dr,ROBBINSVILLE,NJ,8691,301,3,24,0.07973421926910298,13,0.04318936877076412,0,0.0,11,0.036544850498338874,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 5; 2026-08-09: 8,Greensboro (NC) 4%,0,0,,0,,43,0.14285714285714285,208,84,24,234,0.9069767441860465,0.4776500664850046,743.6860262008729,662.5252475247521,69.04080000000002,0.6943521594684385,0.561461794019934,0.04166666666666666,0.5,0.0,0.6153846153846153,,,0.0909090909090909,0.36363636363636365,,,,,24,True,sometimes_builds_directs
msbd_2w,msbd_su,2,269079,"Shenzhen Chunxin E-Commerce Co., Ltd. TX 77429",267074,HOME HARMONY HK LIMITED,"CA,GA,NJ,TX",4,Wayfair,Hannah Guan,TX,Houston,77429,14402 Fallbrook Drive,HOUSTON LOCAL,TX,77433,295,3,22,0.07457627118644068,13,0.04406779661016949,4,0.013559322033898305,5,0.01694915254237288,0,0.0,0,0.0,1,0.3333333333333333,2026-08-02: 13,Ocala (FL) 4%,0,0,,0,,11,0.03728813559322034,283,28,53,231,0.8133802816901409,0.41740335763840153,618.8756302521009,586.1582608695652,143.21484098939922,0.8372881355932202,0.7355932203389832,0.31818181818181823,0.8181818181818181,0.0,1.0,0.75,0.75,0.8,0.4,,,,,22,True,sometimes_builds_directs
msbd_2w,msbd_su,2,248864,NingboXinshengBaozhuangyinngsi NJ 08817,248852,Ningbo Xinsheng Baozhuangyinwu Youxiangongsi,"CA,GA,IL,NJ,TX",5,APS Bedroom,Asia Supplier Service Desk,NJ,Edison,08817,300 Cedar Lane,WOODBRIDGE LOCAL,NJ,8832,289,3,20,0.06920415224913495,12,0.04152249134948097,0,0.0,8,0.02768166089965398,0,0.0,0,0.0,2,0.6666666666666666,2026-08-09: 11; 2026-08-16: 1,Metuchen (NJ) 4%,0,0,,0,,4,0.01384083044982699,285,34,34,251,0.8807017543859649,0.40235832342799405,561.3906249999997,517.2159793814432,153.05017543859648,0.9134948096885814,0.7128027681660901,0.9,0.7499999999999999,1.0,0.9166666666666666,,,0.75,0.5000000000000001,,,,,20,True,sometimes_builds_directs
msbd_2w,msbd_su,2,183037,"Jili Creation Technology Co., Ltd CA 92335",64134,"Jili Creation Technology Co., Ltd","CA,NJ",2,APS,Carol Li,CA, Fontana ,92335,14387 Valley BLVD,WEST RIALTO,CA,92316,228,3,16,0.07017543859649122,15,0.06578947368421052,0,0.0,1,0.0043859649122807015,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 6; 2026-08-09: 9,South Dallas Rsf (TX) 7%,0,0,,0,,15,0.06578947368421052,208,21,21,192,0.9014084507042254,0.433389029753085,1300.3674641148323,1228.1544117647056,138.69230769230762,0.8201754385964913,0.5657894736842104,0.9374999999999999,0.9375,0.9333333333333332,1.0,,,1.0,0.0,,,,,16,True,sometimes_builds_directs
msbd_2w,msbd_su,2,290392,Yiwu Guali Electronic Commerce NJ 08016(2),153269,"Yiwu Guali Electronic Commerce Co., Ltd.","CA,GA,NJ,PA,TX",5,APS,Naomi JI,NJ,Burlington Township,08016,2605 Rancocas Rd,ROBBINSVILLE,NJ,8691,128,3,26,0.203125,10,0.078125,0,0.0,16,0.125,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 2; 2026-08-09: 8,Robbinsville (NJ) 8%,0,0,,0,,15,0.1171875,43,39,36,77,0.6814159292035398,-0.23419333382385693,723.1330508474576,697.4262135922332,516.0424778761061,0.6484375000000003,0.5468750000000002,0.576923076923077,0.4615384615384616,0.39999999999999997,0.8,,,0.6875,0.25000000000000006,,,,,26,True,sometimes_builds_directs
msbd_2w,msbd_su,2,107319,Soluwa LLC GA 30043,58042,Soluwa LLC,"CA,GA,NJ,PA",4,APS Outdoor,Amber Xiang,GA,Braselton,30517,11425 Lewis Braselton Blvd.,BRASELTON,GA,30517,117,3,22,0.18803418803418803,17,0.1452991452991453,0,0.0,5,0.042735042735042736,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 8; 2026-08-09: 9,Braselton (GA) 15%,0,0,,0,,1,0.008547008547008548,24,23,24,92,0.7931034482758621,0.5004488132377611,680.0638888888886,581.2822429906541,152.55431034482754,1.0,0.94017094017094,1.0,0.9545454545454544,1.0,1.0,,,1.0,0.8,,,,,22,True,sometimes_builds_directs
msbd_2w,msbd_su,2,290316,"Yiwu Guali Electronic Commerce Co., Ltd. GA 30518",153269,"Yiwu Guali Electronic Commerce Co., Ltd.","CA,GA,NJ,PA,TX",5,APS,Naomi JI,GA,Buford,30518,1720 Peachtree Industrial Blvd,METUCHEN,NJ,8817,81,3,25,0.30864197530864196,10,0.12345679012345678,5,0.06172839506172839,10,0.12345679012345678,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 4; 2026-08-09: 6,Braselton (GA) 12%,0,0,,0,,1,0.012345679012345678,55,49,41,39,0.4875,0.19934958163147196,728.7786666666669,625.6128571428574,586.2025316455695,0.9506172839506174,0.7901234567901237,1.0,0.8799999999999999,1.0,0.8999999999999999,1.0,1.0,1.0,0.8,,,,,25,True,sometimes_builds_directs
msbd_2w,msbd_su,2,489923,"Shenzhen Chengyi E-commerce Co., Ltd. CA 92374",489109,"Shenzhen Chengyi E-commerce Co., Ltd.","CA,GA",2,APS Outdoor,Asia Supplier Service Desk,CA,Redlands,92374,9425 Nevada Street,WEST RIALTO,CA,92316,22,2,13,0.5909090909090909,13,0.5909090909090909,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,2026-08-02: 13,Olive Branch (MS) 59%,0,0,,0,,0,0.0,22,19,19,3,0.13636363636363635,0.6594730505743189,1627.0444444444445,919.6388888888889,1530.5909090909092,0.13636363636363635,0.7272727272727272,0.0,0.846153846153846,0.0,0.846153846153846,,,,,,,,,13,True,sometimes_builds_directs
