dest_region,vol_direct,vol_nodirect,o2d_direct,o2d_nodirect,o2d_delta,ifr_direct,ifr_nodirect
Midwest,66812,225809,7.4499340843720026,7.021968976626034,0.42796510774596896,0.8768933724480641,0.8931530629868596
West Coast,65201,576858,4.623793718114185,3.511440030728282,1.112353687385903,0.8820263492891215,0.9003030208474185
Southeast,51184,161941,7.307687793427236,6.986504615793335,0.3211831776339018,0.8790442325726779,0.8950790720077065
Mountain,39731,255142,4.641252895558472,4.1132810426559665,0.5279718529025059,0.884850620422339,0.900792499862822
South Central,36265,157978,5.285572386391863,5.105640477938721,0.1799319084531419,0.8836067833999731,0.8959158870222426
Northeast,34888,129936,7.682392102846654,7.35655222597076,0.3258398768758939,0.8718757165787648,0.8947327915281353
Florida,34477,94226,7.4277379466488505,7.117361484823151,0.3103764618256992,0.8784406995968345,0.8961645405726667
Mid-Atlantic,32380,78206,7.550322919563676,7.168151232695385,0.3821716868682916,0.8801111797405797,0.8949569086770851
Unknown,980,394568,5.3466257668711625,10.057600104549252,-4.710974337678089,0.8775510204081637,0.8876999655319222
