msbd_week,path,vol,ifr,delivery_rel,avg_o2d_stated,avg_o2d_actual,o2d_gap,avg_direct_gain,avg_mi_actual_to_cust,suppliers
2026-04-26,midwest_direct,26.0,0.5384615384615384,0.6153846153846154,8.307692307692308,13.961538461538462,5.653846153846153,0.7429438314498623,517.4769230769231,24.0
2026-04-26,socal_nondirect,2830.0,0.933922261484099,0.9081272084805654,7.748763250883393,6.761046306115235,-0.9877169447681577,-0.0004250273950208132,1983.7074376748144,1200.0
2026-05-03,midwest_direct,248.0,0.5766129032258065,0.6370967741935484,8.258064516129032,10.616935483870968,2.358870967741936,0.7968956234954324,411.7028225806451,174.0
2026-05-03,socal_nondirect,20875.0,0.9083592814371257,0.8698443113772455,7.575342813181611,6.861688871848941,-0.7136539413326703,-0.0008926772230568907,1993.3698706188818,3307.0
2026-05-10,midwest_direct,1489.0,0.7696440564137005,0.5755540631296172,7.607790463398254,8.583613163196777,0.9758226997985231,0.937474368148723,126.99704499664205,760.0
2026-05-10,socal_nondirect,19368.0,0.934634448574969,0.8529016935150764,7.536754453911696,6.953068074634967,-0.5836863792767293,-0.001026701553491503,1991.8413507440312,3159.0
2026-05-17,midwest_direct,17414.0,0.9128861835304927,0.9206959917307913,9.025729382035378,7.343364153218859,-1.6823652288165185,0.9704956339699469,59.29450442172964,3177.0
2026-05-17,socal_nondirect,1429.0,0.9762071378586424,0.947515745276417,9.745276417074878,7.3887323943661976,-2.3565440227086807,-0.00033063926441546335,1970.3452581692497,671.0
2026-05-24,midwest_direct,22978.0,0.8415440856471408,0.8742710418661328,8.992826976663183,7.909549926003308,-1.0832770506598752,0.9660601464158148,68.49597005831664,3588.0
2026-05-24,socal_nondirect,209.0,0.7081339712918661,0.6411483253588517,13.038277511961722,16.87317073170732,3.834893219745597,0.0002065215511160911,1970.570915841584,92.0
2026-05-31,midwest_direct,16659.0,0.8845068731616543,0.8137343177861817,7.762473731612128,7.150275286005866,-0.6121984456062624,0.9664533741159503,67.79876943393961,3277.0
2026-05-31,socal_nondirect,262.0,0.5114503816793893,0.44274809160305345,12.938931297709924,18.768339768339768,5.8294084706298435,-0.0006114946810919256,1973.868897637795,105.0
2026-06-07,midwest_direct,11495.0,0.9297085689430187,0.8020878642888212,7.823022709475333,6.993618749274859,-0.8294039602004739,0.9590915228385315,82.85368421052631,2741.0
2026-06-07,socal_nondirect,4698.0,0.8597275436355896,0.8069391230310771,7.495560420847776,7.615253515125692,0.11969309427791597,-0.0005583249538958765,1988.9918447304574,1388.0
2026-06-14,midwest_direct,482.0,0.9356846473029046,0.9294605809128631,14.174636174636175,9.060165975103734,-5.114470199532441,0.9036012284984795,197.53858921161824,209.0
2026-06-14,socal_nondirect,21924.0,0.9170771756978654,0.8469257434774676,7.514174302934966,6.923474585290943,-0.5906997176440223,-0.0010286468031540914,1994.6046694280315,3367.0
2026-06-21,midwest_direct,278.0,0.8812949640287769,0.920863309352518,12.676258992805755,7.766187050359712,-4.910071942446042,0.847956044819904,311.6485611510791,105.0
2026-06-21,socal_nondirect,18996.0,0.9170878079595705,0.8142766898294378,7.682564750473784,7.150805687203791,-0.5317590632699929,-0.00118138138728801,1996.8751141267705,3175.0
2026-06-28,midwest_direct,122.0,0.7622950819672131,0.9180327868852459,9.680327868852459,5.819672131147541,-3.860655737704918,0.7587188848269878,497.0762295081967,77.0
2026-06-28,socal_nondirect,17258.0,0.8745509329006838,0.8737976590566694,8.37883879939738,7.366204789125681,-1.0126340102716993,-0.0014972951437916507,1996.2180086704357,3048.0
2026-07-05,midwest_direct,201.0,0.8059701492537313,0.8756218905472637,10.412935323383085,5.36180904522613,-5.051126278156954,0.7087001548767956,589.7084577114427,137.0
2026-07-05,socal_nondirect,24820.0,0.8934730056406124,0.8784850926672039,8.062730532693061,7.006690242669688,-1.0560402900233736,-0.0014883705651703918,1999.9432076656572,3665.0
2026-07-12,midwest_direct,134.0,0.835820895522388,0.9029850746268657,8.962686567164178,4.91044776119403,-4.052238805970148,0.6817921237490984,647.3268656716417,97.0
2026-07-12,socal_nondirect,18541.0,0.9151609945526131,0.8669435305539076,7.669180557803313,6.904877274747727,-0.764303283055586,-0.0013472367635541482,1999.0995279303884,3407.0
2026-07-19,midwest_direct,204.0,0.8676470588235294,0.8578431372549019,8.326732673267326,4.602941176470588,-3.7237914967967383,0.6710051009127868,664.4916666666666,148.0
2026-07-19,socal_nondirect,19879.0,0.911615272398008,0.8553750188641279,7.564464459427729,6.823333837086293,-0.7411306223414362,-0.001305755771367317,1995.5167202827763,3467.0
2026-07-26,midwest_direct,350.0,0.8257142857142857,0.8971428571428571,6.848571428571429,4.258620689655173,-2.589950738916256,0.6657313269175755,680.5814285714285,223.0
2026-07-26,socal_nondirect,26633.0,0.8843164495175159,0.8492471745578793,7.673045319370754,6.924819009173314,-0.74822631019744,-0.0013871840161449192,1993.3814298639247,3841.0
2026-08-02,midwest_direct,237.0,0.8776371308016878,0.8481012658227848,6.987234042553191,4.238938053097345,-2.748295989455846,0.6539972008073123,708.0928270042194,156.0
2026-08-02,socal_nondirect,19494.0,0.9190520160049246,0.6101364522417154,7.6794091214823865,6.529424806591827,-1.1499843148905597,-0.001426109453402733,1992.8806857696484,3338.0
2026-08-09,midwest_direct,37.0,1.0,0.21621621621621623,5.972972972972973,3.2222222222222223,-2.7507507507507505,0.6909879444179389,649.3783783783783,24.0
2026-08-09,socal_nondirect,4866.0,0.9971228935470613,0.027332511302918208,6.713140037014189,8.050675675675675,1.3375356386614863,-0.0005243678153579415,1992.9467123342788,1399.0
