vol_bucket,actual_induction_hub_name,actual_induction_hub_state,vol,avg_dist_assignedhub_actualhub,avg_dist_assignedhub_customer,avg_dist_actualhub_customer
ghost,Davenport,FL,4870,405.45983572895295,738.615874547648,833.7521885521882
ghost,Williamsburg Ncpc,FL,4074,366.04739813451135,984.5133105802055,1122.1346607669607
ghost,Olive Branch,MS,3434,470.85879440885293,423.1405147058822,740.6925706313209
ghost,Richmond Hill Ncpc,GA,2662,610.2178061607805,625.8746268656723,933.4353296703296
ghost,West Savannah  Ncpc,GA,2514,536.473945902944,646.3733598409545,964.9037320574164
ghost,Greensboro,NC,2104,512.659790874524,305.012278761062,651.2311312217199
ghost,South Atlanta Ncpc,GA,1592,492.2388819095482,412.26096256684497,677.8148971193419
ghost,South Dallas Rsf,TX,1426,530.8049088359046,683.9774271844657,1055.1534903280065
ghost,Fairless Hills,PA,1172,1580.4497440273024,800.8648801128345,1281.938475836432
ghost,Ocala,FL,1171,395.6257045260463,982.9635726795107,1209.8094488188979
ghost,Rialto,CA,980,1962.9947959183678,591.3255731922397,1744.3108312342567
ghost,King Of Prussia,PA,952,1378.9680672268892,718.3854961832061,1266.5973614775714
ghost,South Rialto - Ncpc,CA,913,2102.0693318729463,573.480032467532,1935.8317567567572
ghost,Binghamton,NY,798,309.3730576441104,1509.6902527075802,1010.9428571428571
ghost,Chino Hills Ncpc,CA,798,2103.9874686716776,594.5040564373899,1991.7242811501606
misshipping,Fairless Hills,PA,14651,259.0300880693548,715.424920575594,594.9281485955921
misshipping,Lehigh Valley,PA,6551,212.99132496940035,950.8687692835119,916.0970392431665
misshipping,Woodbridge,NJ,4001,1337.6985721442877,836.9577499129236,1259.3791929824529
misshipping,Richmond Hill Ncpc,GA,3967,777.5474017743988,834.8857014925367,820.2992903424857
misshipping,West Savannah  Ncpc,GA,3542,705.1787191839045,775.5402463382147,758.4830285530967
misshipping,Chino,CA,3456,2484.538454706927,797.2155928326347,2097.690406282001
misshipping,King Of Prussia,PA,3365,135.97167164179115,683.6603765690367,569.43783068783
misshipping,South Rialto - Ncpc,CA,2967,2337.797930098406,856.6590968302213,1951.5290470245538
misshipping,East Brunswick,NJ,2749,1781.103763244429,908.1570862676057,1403.6579036348262
misshipping,Rialto,CA,2408,2179.637153652393,1068.122951807229,1774.056191874692
misshipping,Columbus,OH,2218,378.5810920577616,918.4723555555556,837.9212438423649
misshipping,Rancho Cucamonga Ncpc,CA,1984,2348.900995285487,908.8321246819343,1877.217857142858
misshipping,Metuchen,NJ,1946,553.7864502833594,834.1583612040143,722.9489560835132
misshipping,Chino Hills Ncpc,CA,1697,2255.989118864581,800.0933800623047,1944.8059755219585
misshipping,Robbinsville,NJ,1586,1393.173106060605,1016.738729666925,1189.142867756315
other_closer,West Savannah  Ncpc,GA,33623,50.73728995033166,765.7347391588836,735.2121315766003
other_closer,South Atlanta Ncpc,GA,29504,85.44463801518435,646.9126271186437,601.8228138557495
other_closer,Rancho Cucamonga Ncpc,CA,27009,27.276197881952182,1212.0329359055036,1197.0610796401174
other_closer,Richmond Hill Ncpc,GA,20859,82.47551656359369,596.6891685845807,539.7889783786377
other_closer,East Brunswick,NJ,20143,62.517931787717735,647.8368551710453,612.2205282232037
other_closer,Fairless Hills,PA,16291,115.15870472682626,694.3812227610335,628.6492910195817
other_closer,Savannah,GA,15840,30.262910353535347,944.8461417024502,925.4128598484848
other_closer,Metuchen,NJ,13509,128.1937449108003,832.9574242760872,742.6132948404764
other_closer,Woodbridge,NJ,13403,58.056264457876246,773.6464816058502,735.2550921435505
other_closer,South Dallas Rsf,TX,11720,101.62628839590448,971.2116114149005,902.2052730375423
other_closer,Chattanooga,TN,10924,126.76015582034829,1044.9573116015038,960.4854082753584
other_closer,King Of Prussia,PA,9326,107.25550069764965,833.7991957966971,760.0015440703404
other_closer,Chino Hills Ncpc,CA,7133,62.22609366236678,1322.1212661426182,1275.6681760829956
other_closer,Linden,NJ,5887,90.32724647528457,1081.6732030586254,1025.9200271785276
other_closer,Diamond Bar Rsf,CA,4981,299.8359566352135,769.6109123794209,534.5565749849434
