supplier_id,su_name,parent_suid,parent_su_name,sto,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,gain_july4,top_actual_hub_july4,vol_baseline,ifr_baseline,delivery_rel_baseline,o2d_stated_baseline,o2d_actual_baseline,gain_baseline,top_actual_hub_baseline,o2d_gap_july4,o2d_gap_baseline,ifr_delta,del_delta,o2d_actual_delta,o2d_stated_delta
431601,Stellweilan Tessberg LLC IL 60542,271648,Stellweilan Tessberg LLC,Storage & Org,1,1.0,1.0,7.0,3.0,0.701839110875893,Carol Stream,2.0,1.0,1.0,7.0,3.0,0.9599856942054641,Chicago,-4.0,-4.0,0.0,0.0,0.0,0.0
444710,suzhoukunshanshiyizemaoyiyouxiangongsi CA 92337,370502,suzhoukunshanshiyizemaoyiyouxiangongsi,APS Upholstery,1,1.0,1.0,9.0,7.0,0.5069894878103333,King Of Prussia,1.0,1.0,1.0,9.0,8.0,0.963119167264896,Toledo,-2.0,-1.0,0.0,0.0,-1.0,0.0
414794,"Kunming Wuhua District Lvchenman Trading Co., Ltd GA 31408",365856,"Kunming Wuhua District Lvchenman Trading Co., Ltd",APS Housewares & More,1,0.0,1.0,24.0,13.0,0.5458466675942674,Richmond Hill Ncpc,,,,,,,,-11.0,,,,,
447147,Tradeber E-marketing Inc CA 95776,239639,Tradeber E-marketing Inc,Upholstery,1,0.0,1.0,10.0,6.0,0.679547922218932,East Chattanooga,,,,,,,,-4.0,,,,,
454392,Shenzhenkaibaishikejiyouxiangongsi CA 92337,413446,Shenzhenkaibaishikejiyouxiangongsi,APS Outdoor,1,1.0,1.0,8.0,3.0,0.7221217866748975,East Chattanooga,,,,,,,,-5.0,,,,,
463513,Luxe Weavers NJ 08638,20583,Luxe Weavers,Rugs,1,1.0,1.0,6.0,4.0,0.7657312733660646,Robbinsville,,,,,,,,-2.0,,,,,
463936,Home Ease CA 91748,353901,Home Ease,APS Upholstery,1,1.0,1.0,10.0,5.0,0.9868368368368369,Mccook,3.0,1.0,1.0,8.0,3.3333333333333335,0.8158951212619531,Romeoville Rsf,-5.0,-4.666666666666666,0.0,0.0,1.6666666666666665,2.0
471004,Ning bo Mu fan xin xi ke ji you xian gong si CA 92337,299810,Ning bo Mu fan xin xi ke ji you xian gong si,APS Housewares & More,1,1.0,1.0,10.0,3.0,0.857451505330891,South Chicago,10.0,0.7,0.8,9.4,8.6,0.9415441276083121,Chicago,-7.0,-0.8000000000000007,0.30000000000000004,0.19999999999999996,-5.6,0.5999999999999996
471412,NJXX02,273078,"Yiwu Binsai Import and Export Co., Ltd.",APS Outdoor,1,1.0,1.0,9.0,3.0,0.6177013213662428,Fairless Hills,,,,,,,,-6.0,,,,,
479757,"Foshan Metalway Hardware Co.,Ltd CA 91730",288082,"Foshan Metalway Hardware Co.,Ltd",APS Mattresses,1,1.0,1.0,7.0,4.0,0.8523301269381122,Romeoville Rsf,6.0,1.0,1.0,9.833333333333334,5.666666666666667,0.9643098248062745,East Columbus,-3.0,-4.166666666666667,0.0,0.0,-1.666666666666667,-2.833333333333334
497107,Greenland Home Fashions CA 91710,2743,Greenland Home Fashions,Soft Home,1,0.0,1.0,10.0,10.0,0.9059512107943883,Plainfield,40.0,1.0,0.8,7.25,6.725,0.9586902939699093,Toledo,0.0,-0.5250000000000004,-1.0,0.19999999999999996,3.2750000000000004,2.75
