segment,vol,vol_det,suppliers,ifr,delivery_rel,det_on_time,det_hits_minus_1,stored_det_del_rel,stored_det_one_more,pct_direct,path,late_ifr,pct_vol,pct_ifr_lates
direct,570643,569800,21279,0.8852136975306804,0.8501024283133237,0.807973300605984,0.4185900261190283,0.5800505845230846,0.7899634723074839,1.0,direct,65501.99999999997,0.07432723034573234,0.07889164833947179
local,6635961,6415002,41528,0.8947243662221643,0.861351204444993,0.7483571147616449,0.3651362437583421,0.6065669560093727,0.7972401310767256,0.0,local,698605.0000000001,0.8643453118890381,0.8414109491037942
other,470838,467604,22647,0.8594612159596294,0.7681984036972377,0.7380324965494264,0.4154540659662649,0.5785540592983587,0.764660665513191,0.0,other,66171.0,0.06132745776522962,0.07969740255673399
