supplier_id,su_name,parent_suid,parent_su_name,sto,vol_peak,ifr_peak,delivery_rel_peak,o2d_stated_peak,o2d_actual_peak,o2d_gap_peak,gain_peak,mi_to_cust_peak,top_actual_hub_peak,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,o2d_gap_july4,gain_july4,mi_to_cust_july4,top_actual_hub_july4,vol_july5,ifr_july5,delivery_rel_july5,o2d_stated_july5,o2d_actual_july5,o2d_gap_july5,gain_july5,mi_to_cust_july5,top_actual_hub_july5,ifr_delta_july4_vs_peak,del_delta_july4_vs_peak,o2d_actual_delta_july4_vs_peak,built_july4,built_july5
352513,HM DFG CA 91761,240005,Tianjin heman kejiyouxiangongsi,APS Bedroom,5.0,1.0,1.0,9.8,7.4,-2.4000000000000004,0.9821632558537345,37.4,Romeoville Ncpc,,,,,,,,,,,,,,,,,,,,,,False,False
352530,Martinique Decor Inc CA 91752,197877,Martinique Decor Inc,APS Bedroom,5.0,1.0,0.8,9.2,9.4,0.20000000000000107,0.960059941385164,83.44000000000001,Cedar Rapids Local,,,,,,,,,,,,,,,,,,,,,,False,False
349464,"Yiwu Binsai Import and Export Co., Ltd. CA 91708",273078,"Yiwu Binsai Import and Export Co., Ltd.",APS Outdoor,5.0,0.8,1.0,8.6,8.0,-0.5999999999999996,0.9648654809939998,69.8,Champaign,,,,,,,,,,,,,,,,,,,,,,False,False
12341,"TopNet, Inc.",12341,"TopNet, Inc.",Kitchen & Small Electrics,5.0,1.0,0.8,8.2,8.4,0.20000000000000107,0.977134896909409,46.82000000000001,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
291424,Soges CA 92335,56051,Soges,APS K&D,5.0,0.8,0.6,7.8,8.2,0.39999999999999947,0.9895554494469048,20.1,St. Paul Local,,,,,,,,,,,,,,,,,,,,,,False,False
494150,Global Girls LLC CA 91746,243683,Global Girls LLC,Decor,5.0,1.0,1.0,8.0,6.8,-1.2000000000000002,0.9702363850373803,58.68000000000001,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
482401,"Foshan Tangniang Trading Co., Ltd CA 91708",368963,"Foshan Tangniang Trading Co., Ltd",APS Housewares & More,5.0,1.0,1.0,11.4,7.0,-4.4,0.9384254575144189,108.38,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
58633,Green Store Inc. DBA Master Garden Products,58633,Green Store Inc. DBA Master Garden Products,Outdoor Structures,5.0,1.0,1.0,10.6,7.8,-2.8,0.9875522142942119,25.52,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
59051,Exotic Pebbles  Glass,59051,Exotic Pebbles  Glass,Decor,5.0,1.0,1.0,8.8,7.6,-1.200000000000001,0.9774898575021398,44.9,Romeoville Ncpc,,,,,,,,,,,,,,,,,,,,,,False,False
368633,Sapience Home Decor CA 91761(2),57284,Sapience Home Decor,APS Decor,5.0,0.8,0.6,9.0,8.2,-0.8000000000000007,0.9828674692854766,33.1,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
