dest_region,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local
South Central,36254,157939,5.283757025093329,5.071581727432806,0.21217529766052312,0.8838472996083191,0.8969792134938173,0.8304187124179401,0.7546457809660692,0.8249020797705081,0.7685625462995207
Southeast,51142,161905,7.3059737099618784,6.925120761112008,0.38085294884987064,0.8790035587188612,0.8960007411753806,0.8504555942278362,0.7892467805194403,0.8023933362011654,0.752601834409067
Florida,34488,94187,7.424796754133503,7.035123713089884,0.38967304104361933,0.8784794711203897,0.8970027710830581,0.8587044769195082,0.7996857315765445,0.8088900487125957,0.762493762408825
Northeast,34890,129904,7.677188386993447,7.268240896225717,0.40894749076772996,0.8718543995414159,0.8953611898016998,0.8719690455717972,0.8079658824978445,0.8128116938950988,0.7722625939155069
Midwest,66861,225777,7.446763381856685,6.968005636317964,0.4787577455387204,0.8766395955788876,0.8940326073957932,0.8558801094808633,0.8033767832861628,0.8233948041459147,0.7827945273433521
Mid-Atlantic,32365,78201,7.54773963663878,7.050334121745353,0.4974055148934271,0.8801792059323343,0.8959220470326467,0.8608373242700448,0.7974706205802995,0.8034296307739841,0.7629442078745796
Mountain,39704,255158,4.642143396290734,4.085162443962573,0.5569809523281615,0.8847471287527705,0.9014336215207832,0.832183155349587,0.827577422616575,0.8097420914769293,0.8036902625040171
West Coast,65227,576773,4.620296973339931,3.4934682800183294,1.1268286933216016,0.8818587394790502,0.9009558353112923,0.8392383522161068,0.8682081165380487,0.828613917549481,0.8239463359068472
