msbd_week,vol__direct,vol__local,ifr__direct,ifr__local,delivery_rel__direct,delivery_rel__local,avg_o2d_stated__direct,avg_o2d_stated__local,avg_o2d_actual__direct,avg_o2d_actual__local,o2d_gap__direct,o2d_gap__local,pct_o2d_le5__direct,pct_o2d_le5__local,avg_mi_actual_to_cust__direct,avg_mi_actual_to_cust__local,suppliers__direct,suppliers__local,o2d_actual_delta_direct_minus_local,ifr_delta_direct_minus_local
2026-04-26,142.0,22601.0,0.7253521126760564,0.9366842175124994,0.7323943661971831,0.8911110127870449,6.394366197183099,6.940251371924234,10.401408450704226,6.223067244731988,4.007042253521127,-0.7171841271922457,0.676056338028169,0.4707313835670988,308.206338028169,1409.4608841834697,100.0,3988.0,4.178341205972238,-0.21133210483644305
2026-05-03,1138.0,166419.0,0.6230228471001757,0.9042296853123742,0.6687170474516696,0.854662027773271,6.74934036939314,6.967263847561413,9.655536028119508,6.311500892166772,2.906195658726368,-0.6557629553946409,0.5579964850615114,0.4694596169908484,293.888927943761,1399.540250066856,608.0,7922.0,3.344035135952736,-0.2812068382121985
2026-05-10,5536.0,160337.0,0.7407875722543352,0.9258374548606997,0.5744219653179191,0.8473153420607845,7.180676066522054,7.150334434276568,8.432056378749548,6.493010650907643,1.2513803122274947,-0.6573237833689243,0.13619942196531792,0.4436156345696876,122.91941835260116,1369.3949113592564,1705.0,7792.0,1.939045727841905,-0.18504988260636446
2026-05-17,79484.0,83701.0,0.902068340798148,0.9198695356088935,0.8927708721252076,0.866321788270152,7.687388112643077,7.846697539490799,6.469212540631225,6.859493460539908,-1.2181755720118526,-0.9872040789508914,0.3529641185647426,0.5456326686658463,73.64814176438026,425.0654086611037,5595.0,6732.0,-0.3902809199086832,-0.01780119481074549
2026-05-24,113846.0,85134.0,0.8419092458233052,0.8473700284257758,0.8542329111255555,0.8592571710479949,7.654129982632358,7.990456835181437,6.805499465805262,7.0117550722621145,-0.8486305168270958,-0.9787017629193224,0.322338949106688,0.5065191345408415,81.91664617114347,122.07118024698501,6432.0,6574.0,-0.20625560645685237,-0.005460782602470626
2026-05-31,81920.0,62933.0,0.88272705078125,0.8666518360796402,0.80609130859375,0.8664134873595729,6.6395268265043965,7.52472525369583,6.158827981931388,6.591405007463196,-0.48069884457300827,-0.9333202462326335,0.39825439453125,0.5105429583843135,83.29805053710939,153.68854205595403,6097.0,6152.0,-0.432577025531808,0.016075214701609775
2026-06-07,70108.0,71618.0,0.9296799224054316,0.8908654248931833,0.8628259257146117,0.8702281549331173,6.636034866468843,7.336259521500501,5.913751658416195,6.408137864853337,-0.722283208052648,-0.9281216566471633,0.4414046899070006,0.5062274847105477,95.36530781080619,519.110735794938,5848.0,6257.0,-0.4943862064371425,0.0388144975122483
2026-06-14,3452.0,170264.0,0.9469872537659328,0.914462246863694,0.9188876013904983,0.8774197716487337,9.404927536231884,6.824558303094051,6.7344534569331795,5.909417214244351,-2.670474079298705,-0.9151410888497002,0.4371378910776362,0.4954306253817601,150.09588644264196,1381.6157364746612,1072.0,7850.0,0.8250362426888289,0.03252500690223881
2026-06-21,1260.0,144861.0,0.8373015873015873,0.9080497856565949,0.8825396825396825,0.8494418787665418,10.802380952380952,6.895938947321151,6.699206349206349,6.036467410821719,-4.103174603174603,-0.8594715364994325,0.5325396825396825,0.4576456050973002,261.3924603174603,1407.9181132049014,407.0,7723.0,0.6627389383846305,-0.07074819835500756
2026-06-28,659.0,134219.0,0.7647951441578149,0.8655629977871986,0.8846737481031867,0.8780053494661709,9.547799696509863,7.41061311259035,5.811550151975684,6.259617830084135,-3.7362495445341786,-1.1509952825062149,0.5614567526555387,0.4202460158397842,374.4335356600911,1399.8574694870579,305.0,7343.0,-0.44806767810845116,-0.10076785362938367
2026-07-05,885.0,202191.0,0.7887005649717514,0.8870473957792384,0.8824858757062147,0.8468972407278267,9.224858757062147,7.047370192801475,5.3480725623582765,6.198066010231064,-3.876786194703871,-0.8493041825704113,0.6757062146892655,0.4450742120074583,376.4727683615819,1396.5127722598243,431.0,8726.0,-0.8499934478727873,-0.09834683080748696
2026-07-12,604.0,149124.0,0.847682119205298,0.9086599071913307,0.9072847682119205,0.8636705024006867,8.35430463576159,6.741602815006333,4.673841059602649,5.9413939559303435,-3.6804635761589406,-0.8002088590759895,0.7615894039735099,0.4725262197902417,383.0764900662251,1389.3169056602653,319.0,8264.0,-1.267552896327694,-0.060977787986032705
2026-07-19,645.0,156977.0,0.7968992248062016,0.9081648903979563,0.8930232558139535,0.8588200819228294,7.725155279503106,6.702747127773133,4.428348909657321,5.850887646029055,-3.2968063698457852,-0.8518594817440777,0.8,0.4853322461252285,437.9513178294573,1409.935786429907,337.0,8258.0,-1.4225387363717346,-0.11126566559175477
2026-07-26,1078.0,213970.0,0.8014842300556586,0.8795391877365986,0.9090909090909091,0.8519605552180212,6.8472998137802605,6.7034317458242,4.381395348837209,5.866256687029498,-2.4659044649430513,-0.8371750587947018,0.8293135435992579,0.47872598962471374,409.056586270872,1402.6054278258284,515.0,8936.0,-1.4848613381922888,-0.07805495768093995
2026-08-02,797.0,159471.0,0.8042659974905897,0.9045406374826771,0.8895859473023839,0.7521869179976297,6.343001261034048,6.612842475201046,4.0753246753246755,5.415193876110475,-2.2676765857093724,-1.197648599090571,0.8255959849435383,0.49047789253218455,421.33350062735263,1393.4773042954719,441.0,8399.0,-1.3398692007857997,-0.10027463999208741
2026-08-09,364.0,90844.0,0.9395604395604396,0.8524833780987187,0.29395604395604397,0.1519307824402272,5.980662983425415,6.674934730023054,3.1944444444444446,3.3576681926995953,-2.78621853898097,-3.3172665373234587,0.2967032967032967,0.14317951653383823,363.9041208791208,1376.5480452129204,208.0,6753.0,-0.16322374825515062,0.0870770614617209
