origin_region,dest_state,vol,suppliers,pct_of_directs
South Central,MD,935,364,0.0016077972146417879
Northeast,AR,919,487,0.0015802841072254578
South Central,OK,876,318,0.0015063426310440709
Florida,TX,875,149,0.0015046230618305503
Southeast,AL,872,334,0.0014994643541899884
Southeast,IA,860,375,0.0014788295236277409
Northeast,IA,811,474,0.00139457063216523
West Coast,KS,807,492,0.0013876923553111475
South Central,IN,794,295,0.0013653379555353792
West Coast,WV,790,550,0.0013584596786812967
South Central,SC,744,271,0.0012793594948593478
Mid-Atlantic,TX,718,207,0.0012346506953078114
Southeast,KS,701,249,0.0012054180186779609
Mountain,FL,696,86,0.0011968201726103576
Midwest,MN,682,202,0.001172746203621069
Southeast,ID,677,267,0.0011641483575534656
Midwest,CO,670,168,0.0011521113730588214
South Central,OR,652,225,0.00112115912721545
Midwest,OR,640,191,0.0011005242966532025
Northeast,OK,625,336,0.001074730758450393
South Central,WI,607,224,0.0010437785126070217
Mountain,NY,593,95,0.0010197045436177328
South Central,MI,574,244,0.0009870327285608409
Southeast,SC,551,102,0.0009474826366498664
South Central,NV,541,235,0.0009302869445146602
South Central,TX,538,204,0.0009251282368740983
South Central,AL,519,239,0.0008924564218172064
Florida,IL,518,112,0.0008907368526036857
Mid-Atlantic,GA,513,167,0.0008821390065360825
Midwest,LA,512,171,0.000880419437322562
Midwest,NV,506,176,0.0008701020220414382
Mountain,TX,502,80,0.0008632237451873557
Northeast,KS,499,314,0.0008580650375467938
West Coast,NE,498,363,0.0008563454683332731
West Coast,,492,360,0.0008460280530521493
Southeast,GA,491,87,0.0008443084838386288
Mid-Atlantic,IL,480,128,0.0008253932224899018
Southeast,WV,470,268,0.0008081975303546956
Northeast,ID,447,242,0.0007686474384437211
South Central,MS,438,213,0.0007531713155220354
South Central,UT,414,167,0.0007119016543975403
Florida,NC,408,110,0.0007015842391164166
Florida,GA,405,105,0.0006964255314758546
South Central,MN,397,170,0.0006826689777676896
South Central,KS,393,198,0.0006757907009136071
Midwest,OH,385,124,0.0006620341472054421
Midwest,DE,378,145,0.0006499971627107977
Florida,PA,378,111,0.0006499971627107977
South Central,AR,377,176,0.0006482775934972771
Florida,VA,370,108,0.0006362406090026327
Midwest,MO,366,154,0.0006293623321485502
Midwest,AR,359,148,0.0006173253476539057
Southeast,MT,356,173,0.0006121666400133439
Midwest,AL,356,148,0.0006121666400133439
Midwest,MS,354,140,0.0006087275015863026
Southeast,NE,346,170,0.0005949709478781375
South Central,KY,339,177,0.0005829339633834932
Midwest,UT,338,114,0.0005812143941699725
Mountain,WA,337,59,0.000579494824956452
Northeast,NM,336,213,0.0005777752557429313
Northeast,MT,330,208,0.0005674578404618075
Mountain,IL,319,77,0.0005485425791130806
Mountain,NC,309,71,0.0005313468869778743
Northeast,MD,300,55,0.0005158707640561886
South Central,IA,299,159,0.0005141511948426681
Northeast,PA,299,152,0.0005141511948426681
Northeast,NE,293,211,0.0005038337795615442
Mid-Atlantic,AZ,289,140,0.0004969555027074617
West Coast,WY,286,218,0.0004917967950668999
Southeast,NM,281,176,0.0004831989489992967
Florida,OH,279,87,0.00047975981057225543
Midwest,KS,276,127,0.00047460110293169356
Midwest,IL,266,78,0.00045740541079648724
Midwest,DC,261,135,0.0004488075647288841
Mountain,PA,261,64,0.0004488075647288841
Midwest,OK,257,128,0.0004419292878748016
Florida,MD,255,93,0.00043849014944776036
Northeast,WV,249,182,0.00042817273416663655
Mid-Atlantic,WA,245,124,0.00042129445731255404
Mountain,GA,240,62,0.0004126966112449509
Mountain,VA,235,61,0.0004040987651773478
Florida,SC,233,81,0.00040065962675030653
Midwest,MI,232,61,0.0003989400575367859
Northeast,,225,174,0.0003869030730421415
South Central,NE,221,137,0.00038002479618805897
Florida,WA,221,59,0.00038002479618805897
West Coast,SD,218,173,0.0003748660885474971
Midwest,WI,217,72,0.00037314651933397647
Florida,AZ,216,74,0.00037142695012045584
Mountain,OR,215,53,0.0003697073809069352
Mountain,MD,209,66,0.0003593899656258114
Southeast,,206,120,0.00035423125798524953
Midwest,ID,206,88,0.00035423125798524953
West Coast,ND,205,167,0.0003525116887717289
South Central,DE,195,113,0.00033531599663652264
Northeast,NY,192,63,0.0003301572889959607
Mountain,OH,187,59,0.0003215594429283576
South Central,NM,187,125,0.0003215594429283576
Mid-Atlantic,TN,186,78,0.00031983987371483696
Florida,TN,186,75,0.00031983987371483696
Mid-Atlantic,SC,180,89,0.0003095224584337132
Northeast,SD,174,119,0.0002992050431525894
Midwest,KY,172,78,0.00029576590472554814
Mountain,CO,171,47,0.0002940463355120275
South Central,DC,170,107,0.0002923267662985069
South Central,ID,166,86,0.0002854484894444244
Southeast,ND,164,110,0.00028200935101738313
Mid-Atlantic,MI,157,62,0.0002699723665227387
Mountain,AZ,155,35,0.00026653322809569744
Florida,CO,151,51,0.00025965495124161494
Mid-Atlantic,NY,151,20,0.00025965495124161494
Southeast,SD,150,111,0.0002579353820280943
Northeast,ND,149,121,0.0002562158128145737
Mid-Atlantic,IN,148,53,0.00025449624360105306
Florida,OR,144,53,0.00024761796674697056
Midwest,NE,144,83,0.00024761796674697056
Florida,WI,142,63,0.0002441788283199293
Mid-Atlantic,OH,140,60,0.00024073968989288803
Mid-Atlantic,OR,139,87,0.0002390201206793674
Mid-Atlantic,CO,135,70,0.0002321418438252849
Florida,AL,129,50,0.00022182442854416112
Florida,NV,126,52,0.00021666572090359924
Mid-Atlantic,WI,125,48,0.00021494615169007861
Midwest,MT,120,62,0.00020634830562247546
Mid-Atlantic,NC,118,60,0.0002029091671954342
Midwest,,117,58,0.00020118959798191358
Mid-Atlantic,AL,115,54,0.0001977504595548723
Florida,IN,115,55,0.0001977504595548723
Southeast,WY,114,65,0.00019603089034135168
Midwest,WV,113,51,0.00019431132112783105
Mountain,SC,111,47,0.0001908721827007898
Florida,MI,108,43,0.00018571347506022792
Florida,MO,107,45,0.0001839939058467073
Mountain,MI,106,35,0.00018227433663318664
Mid-Atlantic,LA,103,54,0.00017711562899262476
Midwest,IN,102,36,0.00017539605977910414
Midwest,NM,102,68,0.00017539605977910414
Mid-Atlantic,NV,100,61,0.00017195692135206289
South Central,MT,99,57,0.00017023735213854226
Florida,MN,93,36,0.00015991993685741848
Mountain,IN,93,45,0.00015991993685741848
Mountain,WI,92,35,0.00015820036764389785
Florida,UT,90,33,0.0001547612292168566
Midwest,SD,89,54,0.00015304166000333597
Northeast,WY,83,65,0.0001427242447222122
Mountain,UT,81,32,0.00013928510629517094
South Central,,80,47,0.00013756553708165031
Florida,KY,80,39,0.00013756553708165031
Mid-Atlantic,UT,78,55,0.00013412639865460904
Mountain,TN,76,40,0.00013068726022756778
South Central,WV,74,57,0.00012724812180052653
Mountain,NV,67,30,0.00011521113730588214
Florida,LA,66,32,0.0001134915680923615
West Coast,AK,65,60,0.00011177199887884087
Florida,DE,65,34,0.00011177199887884087
Midwest,ND,64,45,0.00011005242966532025
Mid-Atlantic,KY,61,33,0.00010489372202475835
Mountain,MN,60,29,0.00010317415281123773
Northeast,DE,60,18,0.00010317415281123773
Mid-Atlantic,MO,60,41,0.00010317415281123773
Florida,DC,59,33,0.0001014545835977171
South Central,LA,58,33,9.973501438419648e-05
Florida,AR,58,30,9.973501438419648e-05
Mountain,MO,57,26,9.801544517067584e-05
Mountain,KY,54,28,9.285673753011396e-05
Mid-Atlantic,ID,53,45,9.113716831659332e-05
