msbd_week,vol__midwest_direct,vol__socal_nondirect,ifr__midwest_direct,ifr__socal_nondirect,delivery_rel__midwest_direct,delivery_rel__socal_nondirect,avg_o2d_stated__midwest_direct,avg_o2d_stated__socal_nondirect,avg_o2d_actual__midwest_direct,avg_o2d_actual__socal_nondirect,o2d_gap__midwest_direct,o2d_gap__socal_nondirect,avg_mi_actual_to_cust__midwest_direct,avg_mi_actual_to_cust__socal_nondirect,suppliers__midwest_direct,suppliers__socal_nondirect,direct_share,ifr_delta_direct_minus_socal,del_delta_direct_minus_socal,o2d_actual_delta_direct_minus_socal,o2d_stated_delta_direct_minus_socal
2026-04-26,26.0,2830.0,0.5384615384615384,0.933922261484099,0.6153846153846154,0.9081272084805654,8.307692307692308,7.748763250883393,13.961538461538462,6.761046306115235,5.653846153846153,-0.9877169447681577,517.4769230769231,1983.7074376748144,24.0,1200.0,0.009103641456582634,-0.3954607230225605,-0.29274259309594997,7.200492155423227,0.5589290568089158
2026-05-03,248.0,20875.0,0.5766129032258065,0.9083592814371257,0.6370967741935484,0.8698443113772455,8.258064516129032,7.575342813181611,10.616935483870968,6.861688871848941,2.358870967741936,-0.7136539413326703,411.7028225806451,1993.3698706188818,174.0,3307.0,0.011740756521327464,-0.33174637821131925,-0.23274753718369712,3.7552466120220274,0.6827217029474211
2026-05-10,1489.0,19368.0,0.7696440564137005,0.934634448574969,0.5755540631296172,0.8529016935150764,7.607790463398254,7.536754453911696,8.583613163196777,6.953068074634967,0.9758226997985231,-0.5836863792767293,126.99704499664205,1991.8413507440312,760.0,3159.0,0.07139089993767081,-0.16499039216126854,-0.2773476303854592,1.63054508856181,0.07103600948655764
2026-05-17,17414.0,1429.0,0.9128861835304927,0.9762071378586424,0.9206959917307913,0.947515745276417,9.025729382035378,9.745276417074878,7.343364153218859,7.3887323943661976,-1.6823652288165185,-2.3565440227086807,59.29450442172964,1970.3452581692497,3177.0,671.0,0.92416281908401,-0.06332095432814977,-0.026819753545625713,-0.045368241147338395,-0.7195470350395006
2026-05-24,22978.0,209.0,0.8415440856471408,0.7081339712918661,0.8742710418661328,0.6411483253588517,8.992826976663183,13.038277511961722,7.909549926003308,16.87317073170732,-1.0832770506598752,3.834893219745597,68.49597005831664,1970.570915841584,3588.0,92.0,0.9909863285461681,0.13341011435527472,0.2331227165072811,-8.96362080570401,-4.045450535298539
2026-05-31,16659.0,262.0,0.8845068731616543,0.5114503816793893,0.8137343177861817,0.44274809160305345,7.762473731612128,12.938931297709924,7.150275286005866,18.768339768339768,-0.6121984456062624,5.8294084706298435,67.79876943393961,1973.868897637795,3277.0,105.0,0.984516281543644,0.37305649148226505,0.3709862261831282,-11.618064482333903,-5.176457566097796
2026-06-07,11495.0,4698.0,0.9297085689430187,0.8597275436355896,0.8020878642888212,0.8069391230310771,7.823022709475333,7.495560420847776,6.993618749274859,7.615253515125692,-0.8294039602004739,0.11969309427791597,82.85368421052631,1988.9918447304574,2741.0,1388.0,0.7098746371889088,0.06998102530742911,-0.004851258742255893,-0.6216347658508337,0.3274622886275562
2026-06-14,482.0,21924.0,0.9356846473029046,0.9170771756978654,0.9294605809128631,0.8469257434774676,14.174636174636175,7.514174302934966,9.060165975103734,6.923474585290943,-5.114470199532441,-0.5906997176440223,197.53858921161824,1994.6046694280315,209.0,3367.0,0.021512094974560386,0.018607471605039172,0.08253483743539547,2.136691389812791,6.66046187170121
2026-06-21,278.0,18996.0,0.8812949640287769,0.9170878079595705,0.920863309352518,0.8142766898294378,12.676258992805755,7.682564750473784,7.766187050359712,7.150805687203791,-4.910071942446042,-0.5317590632699929,311.6485611510791,1996.8751141267705,105.0,3175.0,0.014423575801598008,-0.035792843930793516,0.10658661952308024,0.6153813631559215,4.993694242331971
2026-06-28,122.0,17258.0,0.7622950819672131,0.8745509329006838,0.9180327868852459,0.8737976590566694,9.680327868852459,8.37883879939738,5.819672131147541,7.366204789125681,-3.860655737704918,-1.0126340102716993,497.0762295081967,1996.2180086704357,77.0,3048.0,0.0070195627157652474,-0.11225585093347068,0.044235127828576526,-1.5465326579781404,1.3014890694550783
