msbd_week,path,vol,ifr,delivery_rel,avg_o2d_stated,avg_o2d_actual,o2d_gap,pct_meet_beat_stated,pct_o2d_le5,avg_mi_actual_to_cust,suppliers
2026-04-26,direct,142.0,0.7253521126760564,0.7323943661971831,6.394366197183099,10.401408450704226,4.007042253521127,0.7323943661971831,0.676056338028169,308.206338028169,100.0
2026-04-26,local,22601.0,0.9366842175124994,0.8911110127870449,6.940251371924234,6.223067244731988,-0.7171841271922457,0.8910225211273838,0.4707313835670988,1409.4608841834697,3988.0
2026-05-03,direct,1138.0,0.6230228471001757,0.6687170474516696,6.74934036939314,9.655536028119508,2.906195658726368,0.6687170474516696,0.5579964850615114,293.888927943761,608.0
2026-05-03,local,166419.0,0.9042296853123742,0.854662027773271,6.967263847561413,6.311500892166772,-0.6557629553946409,0.854662027773271,0.4694596169908484,1399.540250066856,7922.0
2026-05-10,direct,5536.0,0.7407875722543352,0.5744219653179191,7.180676066522054,8.432056378749548,1.2513803122274947,0.5744219653179191,0.13619942196531792,122.91941835260116,1705.0
2026-05-10,local,160337.0,0.9258374548606997,0.8473153420607845,7.150334434276568,6.493010650907643,-0.6573237833689243,0.8473153420607845,0.4436156345696876,1369.3949113592564,7792.0
2026-05-17,direct,79484.0,0.902068340798148,0.8927708721252076,7.687388112643077,6.469212540631225,-1.2181755720118526,0.8927708721252076,0.3529641185647426,73.64814176438026,5595.0
2026-05-17,local,83701.0,0.9198695356088935,0.866321788270152,7.846697539490799,6.859493460539908,-0.9872040789508914,0.866321788270152,0.5456326686658463,425.0654086611037,6732.0
2026-05-24,direct,113846.0,0.8419092458233052,0.8542329111255555,7.654129982632358,6.805499465805262,-0.8486305168270958,0.8542329111255555,0.322338949106688,81.91664617114347,6432.0
2026-05-24,local,85134.0,0.8473700284257758,0.8592571710479949,7.990456835181437,7.0117550722621145,-0.9787017629193224,0.8592454248596331,0.5065191345408415,122.07118024698501,6574.0
2026-05-31,direct,81920.0,0.88272705078125,0.80609130859375,6.6395268265043965,6.158827981931388,-0.48069884457300827,0.80606689453125,0.39825439453125,83.29805053710939,6097.0
2026-05-31,local,62933.0,0.8666518360796402,0.8664134873595729,7.52472525369583,6.591405007463196,-0.9333202462326335,0.8663975974449017,0.5105429583843135,153.68854205595403,6152.0
2026-06-07,direct,70108.0,0.9296799224054316,0.8628259257146117,6.636034866468843,5.913751658416195,-0.722283208052648,0.8628259257146117,0.4414046899070006,95.36530781080619,5848.0
2026-06-07,local,71618.0,0.8908654248931833,0.8702281549331173,7.336259521500501,6.408137864853337,-0.9281216566471633,0.8702281549331173,0.5062274847105477,519.110735794938,6257.0
2026-06-14,direct,3452.0,0.9469872537659328,0.9188876013904983,9.404927536231884,6.7344534569331795,-2.670474079298705,0.9188876013904983,0.4371378910776362,150.09588644264196,1072.0
2026-06-14,local,170264.0,0.914462246863694,0.8774197716487337,6.824558303094051,5.909417214244351,-0.9151410888497002,0.8774197716487337,0.4954306253817601,1381.6157364746612,7850.0
2026-06-21,direct,1260.0,0.8373015873015873,0.8825396825396825,10.802380952380952,6.699206349206349,-4.103174603174603,0.8825396825396825,0.5325396825396825,261.3924603174603,407.0
