supplier_id,su_name,parent_suid,parent_su_name,sto,vol_direct_peak,ifr_direct_peak,del_direct_peak,o2d_stated_direct_peak,o2d_actual_direct_peak,o2d_gap_direct_peak,mi_direct_peak,hub_direct_peak,vol_socal_peak,ifr_socal_peak,del_socal_peak,o2d_stated_socal_peak,o2d_actual_socal_peak,o2d_gap_socal_peak,mi_socal_peak,hub_socal_peak,has_both_peak,ifr_delta,del_delta,o2d_actual_delta
237104,Devion Furniture,58079,Devion Furniture_1,APS,754.0,0.4469496021220159,0.8209549071618037,10.071618037135279,9.23607427055703,-0.8355437665782492,76.14721485411141,Romeoville Rsf,,,,,,,,,False,,,
316872,"Heze Starfire Trading Co., Ltd CA 91761(5)",83413,"Heze Starfire Trading Co., Ltd",APS,280.0,0.6678571428571428,0.9035714285714286,11.014285714285714,9.442857142857143,-1.5714285714285712,58.95642857142857,Romeoville Rsf,,,,,,,,,False,,,
28971,NFusion CA 91761 Warehouse CA11,3215,"GigaCloud Trading, Inc.",Outdoor Furniture,270.0,0.7888888888888889,0.9259259259259259,8.207407407407407,7.385185185185185,-0.822222222222222,67.64481481481481,Toledo,,,,,,,,,False,,,
238512,CP HomeDecor CA 91761(2),66884,CP HomeDecor,APS,212.0,0.6650943396226415,0.8679245283018868,9.004716981132075,8.339622641509434,-0.665094339622641,82.50990566037737,Romeoville Rsf,,,,,,,,,False,,,
280028, CHINO,88820,"Ningbo Meigao Outdoor Products Co., Ltd.",APS Outdoor,199.0,0.9949748743718593,0.8944723618090452,7.71356783919598,6.944723618090452,-0.7688442211055273,74.05628140703517,Chicago,,,,,,,,,False,,,
17066,  CA2,3215,"GigaCloud Trading, Inc.",Outdoor Furniture,198.0,0.7272727272727273,0.8888888888888888,7.833333333333333,6.1313131313131315,-1.7020202020202015,58.7570707070707,Chicago,,,,,,,,,False,,,
322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",313810,"Hangzhou Mengfeisi Home Furnishings Co., Ltd",APS Outdoor,182.0,0.9835164835164835,0.9725274725274725,8.67032967032967,6.873626373626373,-1.7967032967032965,71.30054945054945,Toledo,,,,,,,,,False,,,
119437,Aosom LLC CA 92374,5725,Aosom LLC,APS Outdoor,165.0,0.9939393939393939,0.8484848484848485,7.587878787878788,6.848484848484849,-0.7393939393939393,75.11575757575758,Chicago,,,,,,,,,False,,,
39837,Kingston CA,2940,Kingston,Plumbing,151.0,0.8807947019867549,0.8940397350993378,9.56953642384106,8.682119205298013,-0.887417218543046,66.65827814569536,Chicago,,,,,,,,,False,,,
272805,Karat Home Inc (14 Karat) CA 92880,21718,Karat Home Inc (14 Karat),APS Upholstery,149.0,0.5771812080536913,0.8456375838926175,9.961409395973154,8.63758389261745,-1.323825503355705,63.05906040268457,Chicago,1.0,0.0,0.0,9.0,30.0,21.0,1890.8,Chino,True,0.5771812080536913,0.8456375838926175,-21.36241610738255
236498,Oberon Dist,49956,Oberon Distribution,Lighting,143.0,0.8041958041958042,0.9300699300699301,9.678321678321678,8.552447552447552,-1.1258741258741267,65.72447552447552,Toledo,,,,,,,,,False,,,
293214,CIAO JING INC CA 92879 ,88927,CIAO JING INC,Upholstery,129.0,0.7131782945736435,0.8914728682170543,8.30232558139535,7.6434108527131785,-0.6589147286821708,67.28294573643413,Romeoville Ncpc,,,,,,,,,False,,,
292636,Green Living Group INC CA 91762,78686,Green Living Group INC,Soft Home,122.0,0.860655737704918,0.8442622950819673,8.51639344262295,7.762295081967213,-0.7540983606557372,68.99918032786886,Toledo,,,,,,,,,False,,,
20530,Million Dollar Baby CA 90660,426,Million Dollar Baby Co,Youth Furniture & Decor,121.0,0.9669421487603306,0.9090909090909091,8.049586776859504,7.595041322314049,-0.45454545454545503,63.41157024793388,Chicago,,,,,,,,,False,,,
297318,Eazeemats CA 91752 (4),45285,Eazeemats,APS Upholstery,120.0,0.95,0.8583333333333333,8.15,7.85,-0.3000000000000007,64.2375,Chicago,1.0,1.0,1.0,39.0,21.0,-18.0,2004.4,South Rialto - Ncpc,True,-0.050000000000000044,-0.14166666666666672,-13.15
39283,Design Imports WA 98390,8018,Design Imports,Tabletop,105.0,0.9428571428571428,0.7238095238095238,8.447619047619048,8.161904761904761,-0.2857142857142865,83.44380952380953,Chicago,,,,,,,,,False,,,
272846,Pony Bros-2,50278,"US_INSONG TRADING CO., LIMITED",APS Youth,104.0,0.375,0.9134615384615384,8.971153846153847,8.278846153846153,-0.6923076923076934,66.01057692307691,Chicago,,,,,,,,,False,,,
8833,Lifetime Brands Inc.92376,1175,Lifetime Brands Inc.,Tabletop,104.0,0.7019230769230769,0.75,8.115384615384615,7.855769230769231,-0.25961538461538414,54.777884615384615,Chicago,,,,,,,,,False,,,
70741,Westin Outdoor CA,39357,Westin Outdoor,Outdoor Furniture,101.0,0.2871287128712871,0.26732673267326734,7.178217821782178,8.128712871287128,0.9504950495049496,59.872277227722776,Chicago,,,,,,,,,False,,,
59119,Safavieh CA 92518,381,Safavieh,Rugs,99.0,0.98989898989899,0.8383838383838383,7.555555555555555,6.91919191919192,-0.6363636363636358,82.6131313131313,Romeoville Rsf,2.0,1.0,0.0,7.0,8.0,1.0,2204.8,Rialto,True,-0.010101010101010055,0.8383838383838383,-1.0808080808080804
