supplier_id,su_name,sto,is_cushioned,vol,vol_det,vol_direct,vol_local,direct_share,ifr,delivery_rel,det_on_time,det_hits_minus_1,ifr_direct,ifr_local,del_direct,det_on_time_direct,det_m1_direct,cushion,ifr_vs_del_pp,ifr_vs_det_pp
122081,Jonathan Y SC 29927,Lighting,1,8007.0,7871.0,876.0,6439.0,0.10940427126264518,0.6526789059572873,0.8132883726739109,0.7522882329591264,0.5111880198048562,0.42808219178082185,0.7008852306258735,0.6746575342465754,0.6940639269406395,0.3584474885844744,1.0,-16.060946671662357,-9.96093270018391
253370,Edecor Center Inc._1 NJ 08110,Wayfair,1,6164.0,6079.0,724.0,3088.0,0.11745619727449708,0.7931537962362096,0.8442569759896175,0.8888146134823123,0.7329475577040788,0.7265193370165748,0.8782383419689114,0.8162983425414365,0.9516574585635358,0.7872928176795584,1.0,-5.1103179753407835,-9.566081724610264
44688,Jonathan Y NJ 08822,Lighting,1,5924.0,5857.0,654.0,4927.0,0.11039837947332883,0.656144496961512,0.8178595543551659,0.7485275277766964,0.48673351889770117,0.5886850152905199,0.6707935863608682,0.7584097859327221,0.8608562691131497,0.5275229357798168,1.0,-16.171505739365386,-9.23830308151844
302333,NW Investment Inc TX 75041,APS Youth,1,5117.0,5075.0,676.0,2728.0,0.13210865741645494,0.6300566738323241,0.8061364080515927,0.8747207277720787,0.5345746359924267,0.609467455621302,0.4937683284457482,0.8106508875739642,0.8565088757396448,0.5739644970414196,1.0,-17.607973421926857,-24.466405393975453
213570,Feiss SC 29651,Lighting,1,4907.0,4854.0,737.0,3936.0,0.15019360097819442,0.7104136947218257,0.7841858569390658,0.8391112414975062,0.6109866030556284,0.40298507462686584,0.7741361788617883,0.7164179104477612,0.8141112618724554,0.38127544097693333,1.0,-7.377216221724014,-12.869754677568046
245571,YITA LLC GA 30297,APS AEOF,1,3732.0,3712.0,677.0,2348.0,0.18140407288317256,0.7639335476956063,0.8062700964630211,0.8098862670630179,0.5899150847278101,0.5110782865583463,0.8390119250425903,0.7045790251107824,0.8788774002954208,0.4460856720827178,1.0,-4.233654876741477,-4.595271936741163
296207,Covers And All GA,Outdoor Furniture,1,3542.0,3484.0,413.0,3035.0,0.116600790513834,0.4497459062676454,0.6383399209486165,0.7814703548599475,0.7114958106539807,0.7845036319612592,0.39373970345963755,0.8571428571428564,0.898305084745763,0.8401937046004844,1.0,-18.859401468097108,-33.17244485923022
79383,ColourTree CA,Upholstery,1,3437.0,3322.0,728.0,2514.0,0.21181262729124237,0.5938318300843775,0.9115507710212399,0.7575289396837073,0.5245513744344135,0.43131868131868134,0.6503579952267324,0.9079670329670333,0.8076923076923083,0.46840659340659335,1.0,-31.77189409368625,-16.36971095993298
245572,YITA LLC CA 92374,APS AEOF,1,3184.0,3162.0,324.0,2693.0,0.10175879396984924,0.7399497487437185,0.8391959798994982,0.7781383458837345,0.5405864009415554,0.6574074074074074,0.7601188265874489,0.7345679012345677,0.929012345679012,0.6265432098765434,1.0,-9.924623115577969,-3.818859714001599
475218,"Ningbo Maowei E-commerce Co., Ltd. GA 30297",APS Outdoor,1,3004.0,2998.0,367.0,1898.0,0.12217043941411451,0.780292942743009,0.6970705725699069,0.8352038309762735,0.6367872518889327,0.7847411444141691,0.8508956796628024,0.6839237057220711,0.901907356948229,0.7084468664850144,1.0,8.322237017310208,-5.491088823326451
