supplier_id,su_name,parent_suid,parent_su_name,sto,own_state,total_vol,misshipping_vol,ghost_vol,other_closer_vol,other_farther_vol,local_wrong_hub_vol,aligned_vol,pct_misshipping,pct_ghost,pct_other_closer,pct_other_farther
19770,Safavieh NJ 08809,381,Safavieh,Rugs,NJ,8443,3468,26,10,0,4705,234,0.41075447115954045,0.003079474120573256,0.0011844131232974062,0.0
350373,York Wallcoverings PA 17408,5821,York Wallcoverings,Decor,PA,4952,2217,0,0,0,839,1896,0.4476978998384491,0.0,0.0,0.0
26803,Safavieh NJ 08822,381,Safavieh,Rugs,NJ,3779,1835,7,135,0,1624,178,0.4855781952897592,0.0018523418893887271,0.03572373643821117,0.0
302333,NW Investment Inc TX 75041,64824,NW Investment Inc,APS Youth,TX,3447,1429,2,461,0,810,745,0.41456338845372787,0.0005802146794313896,0.1337394836089353,0.0
292469,Baishi NJ 08810 Bedshe,25843,"Bedshe International Co.,LTD",APS,NJ,3118,1379,11,365,0,850,513,0.44227068633739575,0.003527902501603592,0.11706221937139191,0.0
302637,"GigaCloud Trading, Inc. GA 31302",3215,"GigaCloud Trading, Inc.",Outdoor Furniture,GA,3354,65,1312,1333,0,556,88,0.01937984496124031,0.3911747167561121,0.3974358974358974,0.0
411388,NingBo KaiMeiChen DianZiShangWu YouXianGongSi NJ 08016,83386,"Ningbo FanKai E-commerce Co., Ltd._1",APS Home Improvement,NJ,1592,1369,8,9,0,12,194,0.8599246231155779,0.005025125628140704,0.005653266331658292,0.0
10114,Safavieh PA 18042a,381,Safavieh,Rugs,PA,2148,1082,11,2,0,1004,49,0.5037243947858473,0.005121042830540037,0.000931098696461825,0.0
227271,ShenzhenXinheTradeLim NJ08057,66040,Shenzhen XinheTrade Limited Company,APS,NJ,3109,932,1,2,0,3,2171,0.2997748472177549,0.000321646831778707,0.000643293663557414,0.0
322097,"Hangzhou Mengfeisi Home Furnishings Co.,NJ 08016",313810,"Hangzhou Mengfeisi Home Furnishings Co., Ltd",APS Outdoor,NJ,1000,909,14,7,0,19,51,0.909,0.014,0.007,0.0
61549,Four Hands TX,12097,Four Hands,PG Casegoods,TX,1272,0,894,172,0,58,148,0.0,0.7028301886792453,0.13522012578616352,0.0
34657,Unique Loom SC29707,20901,Unique Loom,Rugs,SC,11423,822,2,3,0,7,10589,0.0719600805392629,0.00017508535411012868,0.00026262803116519303,0.0
