lookback_window,timebase,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,sto,srm_contact,own_state,supplier_behavior,total_vol,candidate_vol,misshipping_signal_vol,misshipping_share,undeclared_candidate_vol,directish_vol,directish_share,ghost_hubs,ghost_states,n_ghost_hubs,n_ghost_states,ifr,delivery_rel,misshipping_opid_vol,ghost_opid_vol,jumbo_opid_vol,direct_opid_vol,other_far_opid_vol,non_candidate_vol,ifr_misshipping,ifr_ghost,ifr_direct,ifr_other_far,ifr_candidate,delivery_rel_misshipping,delivery_rel_ghost,delivery_rel_direct,delivery_rel_candidate
pdd_10w,promised_delivery_end_range_date_at_order,24884,Riztex USA GA,7920,Riztex USA,GA,Rugs,Brianna Barrett,GA,builds_directs,3754,338,0,0.0,336,289,0.07698454981353223,,,0,0,0.9941395844432591,0.9120937666489066,0,0,49,132,157,3416,,,1.0,0.9936305732484075,0.9970414201183437,,,0.9318181818181815,0.9201183431952669
pdd_10w,promised_delivery_end_range_date_at_order,82470,Ledel Lighting INC CA92841,75706,Ledel Lighting INC,CA,Lighting,Kya Mehlman,CA,builds_directs,3308,332,0,0.0,313,287,0.08675937122128174,,,0,0,0.9897218863361553,0.915659008464327,0,0,45,112,175,2976,,,1.0,0.9885714285714283,0.9939759036144578,,,0.9017857142857142,0.8915662650602404
pdd_10w,promised_delivery_end_range_date_at_order,277441,Home Weavers Inc. NJ 08854,19440,Home Weavers Inc.,NJ,Soft Home,Benjamin Hannigan,NJ,builds_directs,3234,332,0,0.0,331,277,0.08565244279529993,,,0,0,0.9010513296227569,0.8506493506493502,0,0,55,79,198,2902,,,0.9746835443037976,0.9898989898989897,0.9728915662650602,,,0.9113924050632912,0.8825301204819274
pdd_10w,promised_delivery_end_range_date_at_order,197381,Goodlife Wholesale LLC AZ 85009,84997,Goodlife Wholesale LLC,AZ,Casegoods,Zichu Wang,AZ,builds_directs,2288,327,0,0.0,327,272,0.11888111888111888,,,0,0,0.9895104895104897,0.947552447552447,0,0,55,100,172,1961,,,1.0,0.9941860465116278,0.9969418960244651,,,0.9699999999999999,0.9694189602446489
pdd_10w,promised_delivery_end_range_date_at_order,182959,Brightech Inc. CA,63240,Brightech Inc.,CA,Lighting,Kya Mehlman,CA,builds_directs,3477,325,0,0.0,311,275,0.07909117054932413,,,0,0,0.9597354040839821,0.9350014380212831,0,0,50,89,186,3152,,,0.9438202247191012,0.9623655913978495,0.953846153846154,,,0.8988764044943818,0.9230769230769229
pdd_10w,promised_delivery_end_range_date_at_order,15299,Mohawk Home GA 30701 Marine,6030,Mohawk Home,"GA,IL",Rugs,Alex Melius,GA,builds_directs,4020,324,29,0.007213930348258706,295,217,0.05398009950248756,,,0,0,0.981840796019902,0.8945273631840798,29,0,78,52,165,3696,1.0,,0.9615384615384613,1.0,0.9876543209876544,0.8620689655172412,,0.7692307692307693,0.8240740740740744
pdd_10w,promised_delivery_end_range_date_at_order,246100,Noori Rug NJ 08902,32166,Noori Rug,NJ,Rugs,Alex Melius,NJ,builds_directs,3618,324,0,0.0,322,276,0.07628524046434494,,,0,0,0.9980652294085123,0.8717523493642912,0,0,48,78,198,3294,,,1.0,1.0,1.0,,,0.9487179487179487,0.861111111111111
pdd_10w,promised_delivery_end_range_date_at_order,443890,Huliz Ic Mekan Dekorasyon ve Tasarim As NJ 07004-3221,249840,Huliz Ic Mekan Dekorasyon ve Tasarim As,NJ,WGS-Turkey,Ata Yilmaz,NJ,builds_directs,3326,324,0,0.0,324,280,0.0841852074564041,,,0,0,0.9669272399278398,0.9377630787733027,0,0,44,90,190,3002,,,0.9444444444444445,0.9631578947368425,0.9598765432098763,,,0.9333333333333331,0.9104938271604932
pdd_10w,promised_delivery_end_range_date_at_order,27436,Steve Silver Company TX,2577,Steve Silver Company,TX,Casegoods,Connor Henderson,TX,builds_directs,2184,317,0,0.0,308,257,0.11767399267399267,,,0,0,0.8891941391941404,0.8209706959706953,0,0,60,108,149,1867,,,0.7129629629629627,0.6577181208053692,0.6656151419558357,,,0.7685185185185188,0.697160883280757
pdd_10w,promised_delivery_end_range_date_at_order,26798,EcoFlex Furniture NC,13878,EcoFlex Furniture,NC,Youth Furniture & Decor,Riki Watanabe,NC,builds_directs,3310,312,0,0.0,289,253,0.07643504531722055,,,0,0,0.945317220543807,0.9090634441087608,0,0,59,91,162,2998,,,1.0,1.0,0.9967948717948717,,,0.9560439560439563,0.9230769230769232
