example,path,supplier_id,su_name,tracking_number,purchase_order_number,ops,msbd_week,dest_region,destination_state,destination_zipcode,assigned_hub,actual_hub,o2d_stated,o2d_actual,ifr,delivery_rel,det_on_time,direct_gain,mi_actual_to_cust,mi_assigned_to_cust,delivery_date,det_delivery_date
Surge: Hangzhou Mengfeisi → Midwest (2026-05-24),local,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",872135808424,657268739,11422232107,2026-05-24,Midwest,MO,63876,RIALTO LOCAL,Olive Branch,10,5,1,1,1,,116.6,,2026-05-27,2026-06-01
Surge: Hangzhou Mengfeisi → Midwest (2026-05-24),local,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",872264207902,657842695,12215793949,2026-05-24,Midwest,IA,52534,RIALTO LOCAL,Cedar Rapids,8,6,1,1,0,,,,2026-06-03,2026-06-02
Surge: Hangzhou Mengfeisi → Midwest (2026-05-24),local,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",872570712107,658291252,12221712489,2026-05-24,Midwest,NE,68521,RIALTO LOCAL,North Kansas City Ncpc,7,7,1,1,0,0.8591781953334711,204.6,1452.9,2026-06-08,2026-06-03
Surge: Hangzhou Mengfeisi → Midwest (2026-05-24),local,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",872570708137,657862176,12159542743,2026-05-24,Midwest,IA,51465,RIALTO LOCAL,Fort Dodge,8,15,0,0,0,,,,2026-06-08,2026-06-02
Surge: California Umbrella → Northeast (2026-05-24),direct,25980,California Umbrella CA,871947571530,656383858,12271288485,2026-05-24,Northeast,PA,18064,RIALTO LOCAL,Breinigsville,10,4,1,1,1,0.990626171728534,25.0,2667.0,2026-05-22,2026-05-28
Surge: California Umbrella → Northeast (2026-05-24),direct,25980,California Umbrella CA,871950047664,656193052,12269111175,2026-05-24,Northeast,NY,11362,RIALTO LOCAL,Metuchen,10,5,1,1,1,0.9821615949632738,49.3,2763.7,2026-05-22,2026-05-27
Surge: California Umbrella → Northeast (2026-05-24),direct,25980,California Umbrella CA,872055214363,656475811,12272316415,2026-05-24,Northeast,PA,15071,RIALTO LOCAL,West Columbus,9,9,1,1,1,0.9156040268456377,201.2,2384.0,2026-05-27,2026-05-27
Surge: California Umbrella → Northeast (2026-05-24),direct,25980,California Umbrella CA,871954506711,654945902,12249439112,2026-05-24,Northeast,NY,10012,RIALTO LOCAL,New York,10,15,1,0,0,0.9984769364664927,4.2,2757.6,2026-05-26,2026-05-21
Surge: California Umbrella → Northeast (2026-05-24),local,25980,California Umbrella CA,871593558391,654399791,12242201455,2026-05-24,Northeast,PA,18966,RIALTO LOCAL,Rialto,14,6,1,1,1,0.0,2681.5,2681.5,2026-05-14,2026-05-20
Surge: California Umbrella → Northeast (2026-05-24),local,25980,California Umbrella CA,871279813602,652133181,12151753819,2026-05-24,Northeast,PA,18013,RIALTO LOCAL,Rialto,17,8,1,1,1,0.0,2684.0,2684.0,2026-05-06,2026-06-02
Surge: California Umbrella → Northeast (2026-05-24),local,25980,California Umbrella CA,871286828813,652078358,12202446581,2026-05-24,Northeast,NY,14618,RIALTO LOCAL,Rialto,18,11,1,1,1,0.0,2571.7,2571.7,2026-05-08,2026-06-03
Surge: California Umbrella → Northeast (2026-05-24),local,25980,California Umbrella CA,871406168621,651986702,12201247931,2026-05-24,Northeast,NY,10594,RIALTO LOCAL,Rialto,16,14,1,1,1,0.0,2771.3,2771.3,2026-05-11,2026-06-02
Surge: MKAY GROUP → Midwest (2026-05-31),direct,79733,MKAY GROUP CORP,381663444150,658954018,12286349671,2026-05-31,Midwest,OH,43543,INDUSTRY,Toledo,8,6,1,1,1,0.9733894853757867,57.5,2160.8,2026-06-03,2026-06-05
Surge: MKAY GROUP → Midwest (2026-05-31),direct,79733,MKAY GROUP CORP,381704243895,659124238,12231192779,2026-05-31,Midwest,IL,60514,INDUSTRY,Chicago,11,7,1,1,1,0.9944216238145951,11.0,1971.9,2026-06-05,2026-06-08
Surge: MKAY GROUP → Midwest (2026-05-31),direct,79733,MKAY GROUP CORP,381742932074,659653696,12194852039,2026-05-31,Midwest,WI,53589,INDUSTRY,Chicago,9,8,1,1,1,0.9320758503060098,135.4,1993.4,2026-06-09,2026-06-10
Surge: MKAY GROUP → Midwest (2026-05-31),direct,79733,MKAY GROUP CORP,381696694222,659133835,12231136639,2026-05-31,Midwest,MN,55987,INDUSTRY,La Crosse,11,10,1,1,1,0.9847016293812543,29.2,1908.7,2026-06-08,2026-06-08
Surge: MKAY GROUP → Midwest (2026-05-31),local,79733,MKAY GROUP CORP,381664090751,658884603,12013195343,2026-05-31,Midwest,IA,50023,INDUSTRY,Kansas City,8,7,1,1,1,0.8813711952932701,197.6,1665.7,2026-06-04,2026-06-05
Surge: MKAY GROUP → Midwest (2026-05-31),local,79733,MKAY GROUP CORP,381742934490,659735873,12180369183,2026-05-31,Midwest,MO,65470,INDUSTRY,Rolla,9,7,1,1,1,,,,2026-06-09,2026-06-10
Surge: MKAY GROUP → Midwest (2026-05-31),local,79733,MKAY GROUP CORP,381745391010,659450547,12177170033,2026-05-31,Midwest,IL,60517,INDUSTRY,Arcadia,8,21,0,0,0,-0.003284985091221509,1985.2,1978.7,2026-06-21,2026-06-09
Surge: MKAY GROUP → Midwest (2026-05-31),local,79733,MKAY GROUP CORP,381797438535,660164821,12185937813,2026-05-31,Midwest,NE,68130,INDUSTRY,Industry,8,55,0,0,0,0.0,1517.5,1517.5,2026-07-28,2026-06-11
Surge: Grand Leisure → Midwest (2026-05-31),direct,463964,Grand Leisure Outdoor Product CA 92335,526519131063,659538096,12236837229,2026-05-31,Midwest,IL,60015,WEST RIALTO,Romeoville Ncpc,8,5,1,1,1,0.9766855066612838,46.2,1981.6,2026-06-05,2026-06-08
Surge: Grand Leisure → Midwest (2026-05-31),direct,463964,Grand Leisure Outdoor Product CA 92335,526513510881,658097130,12161838223,2026-05-31,Midwest,WI,53703,WEST RIALTO,Mccook,9,7,1,1,1,0.9279805604384241,139.3,1934.2,2026-06-01,2026-06-09
Surge: Grand Leisure → Midwest (2026-05-31),direct,463964,Grand Leisure Outdoor Product CA 92335,526515960342,658808516,12226921889,2026-05-31,Midwest,MN,56401,WEST RIALTO,New Brighton Ncpc,7,8,1,0,0,0.9342730276745147,127.3,1936.8,2026-06-04,2026-06-03
Surge: Grand Leisure → Midwest (2026-05-31),direct,463964,Grand Leisure Outdoor Product CA 92335,526511235288,657907027,12218197319,2026-05-31,Midwest,IL,60565,WEST RIALTO,Chicago,9,9,1,1,1,0.9883709068652453,22.8,1960.6,2026-06-02,2026-06-09
Surge: Grand Leisure → Midwest (2026-05-31),local,463964,Grand Leisure Outdoor Product CA 92335,526521224421,660043382,12184436133,2026-05-31,Midwest,NE,68133,WEST RIALTO,North Kansas City Ncpc,7,6,1,1,1,,,1499.4,2026-06-09,2026-06-10
Surge: Grand Leisure → Midwest (2026-05-31),local,463964,Grand Leisure Outdoor Product CA 92335,526524726666,660323400,12246142239,2026-05-31,Midwest,IL,60180,WEST RIALTO,Romeoville Rsf,8,7,1,1,0,,64.0,,2026-06-12,2026-06-11
Surge: Grand Leisure → Midwest (2026-05-31),local,463964,Grand Leisure Outdoor Product CA 92335,526516797796,658749327,12298944615,2026-05-31,Midwest,OH,43525,WEST RIALTO,Toledo,8,9,1,0,1,,11.3,,2026-06-05,2026-06-11
Surge: Grand Leisure → Midwest (2026-05-31),local,463964,Grand Leisure Outdoor Product CA 92335,531274415357,657890289,12218073469,2026-05-31,Midwest,MN,55811,WEST RIALTO,South Rialto - Ncpc,9,44,0,0,0,0.0,2034.1,2034.1,2026-07-07,2026-06-09
OF: California Umbrella → Northeast (May–Aug),direct,25980,California Umbrella CA,872789837210,661023022,12197597483,2026-06-14,Northeast,NY,10014,RIALTO LOCAL,Metuchen,8,4,1,1,1,0.986441415313225,37.4,2758.4,2026-06-12,2026-06-16
OF: California Umbrella → Northeast (May–Aug),direct,25980,California Umbrella CA,872912803044,661238353,12322560581,2026-06-14,Northeast,NY,11795,RIALTO LOCAL,Metuchen,8,8,1,1,1,0.9714398196199133,79.8,2794.1,2026-06-17,2026-06-17
OF: California Umbrella → Northeast (May–Aug),direct,25980,California Umbrella CA,872043800418,656173208,12265386412,2026-05-31,Northeast,NY,11563,RIALTO LOCAL,Woodbridge,12,11,1,1,1,0.981119838581826,52.4,2775.4,2026-05-28,2026-05-29
OF: California Umbrella → Northeast (May–Aug),direct,25980,California Umbrella CA,872940363517,656168531,12198191089,2026-06-14,Northeast,NY,10804,RIALTO LOCAL,Metuchen,22,31,1,0,0,0.979601432239864,56.4,2764.9,2026-06-17,2026-06-08
OF: California Umbrella → Northeast (May–Aug),local,25980,California Umbrella CA,870447038939,648008318,12164901595,2026-05-03,Northeast,PA,15232,RIALTO LOCAL,Rialto,13,3,1,1,1,0.0,2395.8,2395.8,2026-04-11,2026-04-28
OF: California Umbrella → Northeast (May–Aug),local,25980,California Umbrella CA,873170374176,662285003,12339363701,2026-06-28,Northeast,NY,10543,RIALTO LOCAL,Rialto,15,8,1,1,1,0.0,2766.4,2766.4,2026-06-22,2026-07-03
OF: California Umbrella → Northeast (May–Aug),local,25980,California Umbrella CA,871764764704,653638132,12236006515,2026-05-31,Northeast,PA,17837,RIALTO LOCAL,Rialto,17,15,1,1,1,0.0,2582.2,2582.2,2026-05-19,2026-05-22
OF: California Umbrella → Northeast (May–Aug),local,25980,California Umbrella CA,874803883860,660780703,12327073242,2026-07-05,Northeast,NY,11792,RIALTO LOCAL,Rialto,18,52,0,0,0,0.0,2821.2,2821.2,2026-07-29,2026-06-25
OF: California Umbrella → Midwest (May–Aug),direct,25980,California Umbrella CA,872145411328,657268014,12152986693,2026-05-31,Midwest,MN,55391,RIALTO LOCAL,Maple Grove,11,5,1,1,1,0.9893633910144468,20.1,1889.7,2026-05-27,2026-06-02
OF: California Umbrella → Midwest (May–Aug),direct,25980,California Umbrella CA,872362895205,658615753,11430699787,2026-06-07,Midwest,MI,48304,RIALTO LOCAL,Toledo,21,9,1,1,1,0.9577364534211229,95.0,2247.8,2026-06-04,2026-06-16
OF: California Umbrella → Midwest (May–Aug),direct,25980,California Umbrella CA,872674770233,658800940,12168451943,2026-06-07,Midwest,IL,60614,RIALTO LOCAL,Chicago,12,13,1,0,1,0.9919505897838302,15.9,1975.3,2026-06-09,2026-06-17
OF: California Umbrella → Midwest (May–Aug),direct,25980,California Umbrella CA,872960997190,656708087,12204187459,2026-06-14,Midwest,IN,46062,RIALTO LOCAL,Chicago,21,29,1,0,0,0.9139617499635019,176.8,2054.9,2026-06-17,2026-06-09
OF: California Umbrella → Midwest (May–Aug),local,25980,California Umbrella CA,873208682434,662716734,12280833209,2026-07-12,Midwest,ND,58201,RIALTO LOCAL,,20,2,1,1,1,,,1872.8,2026-06-18,2026-07-06
OF: California Umbrella → Midwest (May–Aug),local,25980,California Umbrella CA,871274993611,652300604,12095153613,2026-05-24,Midwest,MN,55315,RIALTO LOCAL,Rialto,15,8,1,1,1,0.0,1849.1,1849.1,2026-05-05,2026-06-02
OF: California Umbrella → Midwest (May–Aug),local,25980,California Umbrella CA,871142296738,650505249,12133128209,2026-05-03,Midwest,WI,53955,RIALTO LOCAL,Rialto,9,12,1,0,1,0.0,1962.0,1962.0,2026-05-04,2026-05-05
OF: California Umbrella → Midwest (May–Aug),local,25980,California Umbrella CA,874600012151,660252121,12187177923,2026-06-28,Midwest,MI,48108,RIALTO LOCAL,Rialto,19,50,0,0,0,0.0,2201.4,2201.4,2026-07-27,2026-06-24
OF: Modway → South Central (May–Aug),direct,158009,Modway Inc. CA 92345,872028585577,656802556,12147790313,2026-05-17,South Central,OK,73012,WEST RIALTO,West Dallas Ncpc,4,3,1,1,1,0.827281876596733,223.1,1291.7,2026-05-23,2026-05-24
OF: Modway → South Central (May–Aug),direct,158009,Modway Inc. CA 92345,872681902627,660384787,12248112929,2026-05-31,South Central,TX,78373,WEST RIALTO,Houston,5,4,1,1,1,0.8204780930453036,265.1,1476.7,2026-06-08,2026-06-08
OF: Modway → South Central (May–Aug),direct,158009,Modway Inc. CA 92345,872895389337,661382687,12262415319,2026-06-07,South Central,TX,77055,WEST RIALTO,Houston,6,5,1,1,1,0.9868642640619737,19.5,1484.5,2026-06-16,2026-06-16
OF: Modway → South Central (May–Aug),direct,158009,Modway Inc. CA 92345,872371912180,659005122,12171017483,2026-05-24,South Central,AR,72116,WEST RIALTO,Memphis,4,9,0,0,0,0.9157868741124899,136.4,1619.7,2026-06-06,2026-06-01
OF: Modway → South Central (May–Aug),local,158009,Modway Inc. CA 92345,871525196766,654154112,12174046789,2026-05-03,South Central,TX,78723,WEST RIALTO,South Rialto - Ncpc,4,3,1,1,1,0.0,1331.0,1331.0,2026-05-10,2026-05-11
OF: Modway → South Central (May–Aug),local,158009,Modway Inc. CA 92345,875265429941,671914596,80179996550,2026-08-02,South Central,OK,74745,WEST RIALTO,South Rialto - Ncpc,5,5,1,1,1,0.0,1524.4,1524.4,2026-08-08,2026-08-08
OF: Modway → South Central (May–Aug),local,158009,Modway Inc. CA 92345,874546095341,668447868,12356076519,2026-07-19,South Central,TX,78660,WEST RIALTO,South Rialto - Ncpc,6,6,1,1,1,0.0,1342.5,1342.5,2026-07-23,2026-07-23
OF: Modway → South Central (May–Aug),local,158009,Modway Inc. CA 92345,873859107752,665572674,12258494663,2026-06-28,South Central,TX,77459,WEST RIALTO,South Rialto - Ncpc,5,13,0,0,0,0.0,1494.2,1494.2,2026-07-14,2026-07-06
OF: CA2 → Southeast (May–Aug),direct,17066,  CA2,872683485909,660376859,12308684681,2026-05-31,Southeast,NC,28202,INDUSTRY,Spartanburg,7,2,1,1,1,0.968807647157471,74.4,2385.2,2026-06-06,2026-06-11
OF: CA2 → Southeast (May–Aug),direct,17066,  CA2,872630461140,660164912,12241873939,2026-05-31,Southeast,NC,27519,INDUSTRY,Greensboro,7,4,0,1,1,0.9638194555007165,90.9,2512.4,2026-06-07,2026-06-10
OF: CA2 → Southeast (May–Aug),direct,17066,  CA2,871887021051,655882850,12264981925,2026-05-17,Southeast,NC,28025,INDUSTRY,North Charlotte Rsf,10,7,1,1,1,0.9934300802528171,15.8,2404.9,2026-05-23,2026-05-26
OF: CA2 → Southeast (May–Aug),direct,17066,  CA2,873059942813,662136302,12273087249,2026-06-14,Southeast,TN,38002,INDUSTRY,East Chattanooga,4,12,0,0,0,0.8155172413793104,331.7,1798.0,2026-06-26,2026-06-18
OF: CA2 → Southeast (May–Aug),local,17066,  CA2,871735667510,655173697,12185959309,2026-05-10,Southeast,AL,36109,INDUSTRY,,7,2,1,1,1,,,2063.8,2026-05-14,2026-05-19
OF: CA2 → Southeast (May–Aug),local,17066,  CA2,873356778520,663543867,12233301303,2026-06-21,Southeast,SC,29407,INDUSTRY,Arcadia,5,5,1,1,1,-0.0013331178799384856,2478.7,2475.4,2026-06-26,2026-06-26
OF: CA2 → Southeast (May–Aug),local,17066,  CA2,871290900735,652753860,12102522403,2026-04-26,Southeast,TN,37082,INDUSTRY,Arcadia,7,7,1,1,1,-0.0028079848879358758,1964.2,1958.7,2026-05-07,2026-05-07
OF: CA2 → Southeast (May–Aug),local,17066,  CA2,873491027330,662973625,12364960955,2026-06-14,Southeast,SC,29910,INDUSTRY,Arcadia,7,12,0,0,0,-0.0026025529805428936,2427.0,2420.7,2026-06-30,2026-06-25
