candidate_bucket,supplier_id,su_name,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,actual_induction_hub_name,actual_induction_hub_state,destination_state,destination_zipcode,distance_assignedhub_customer,distance_actualhub_customer,distance_assignedhub_actualhub,direct_gain,inducted_on_time_or_early,delivery_rel,purchase_order_number,tracking_number,ops,promised_delivery_end_range_date_at_order
ghost_warehouse,59119,Safavieh CA 92518,CA,Riverside,92518,20800 Krameria Aveune,RIALTO LOCAL,CA,Fairfield Annex,CA,FL,33432,2636.8,3083.1,448.7,-0.1692581917475727,1,1,672095825,875325596528,12500794152,2026-08-10
ghost_warehouse,59119,Safavieh CA 92518,CA,Riverside,92518,20800 Krameria Aveune,RIALTO LOCAL,CA,Fairfield Annex,CA,NY,12148,2772.3,,448.7,,1,1,671783266,875265097186,80178636940,2026-08-10
ghost_warehouse,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Williamsburg Ncpc,FL,NY,12501,1385.3,,234.0,,1,1,663267785,873432988430,12354148451,2026-08-07
ghost_warehouse,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Williamsburg Ncpc,FL,CA,94965,3107.4,2895.7,234.0,0.06812769517924962,1,1,670886229,875019592264,11465759456,2026-08-06
ghost_warehouse,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Williamsburg Ncpc,FL,WA,98166,3327.9,3116.2,234.0,0.06361369031521388,1,1,670786024,874987432533,80168385970,2026-08-06
ghost_warehouse,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Williamsburg Ncpc,FL,WA,98110,3391.4,3179.7,234.0,0.06242259833697006,1,1,670802183,874993923630,80168557920,2026-08-06
ghost_warehouse,155962,Compamia FL 33147,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,Williamsburg Ncpc,FL,CA,93292,2903.3,,234.0,,1,1,670805952,874995973010,80168598210,2026-08-06
ghost_warehouse,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Fairfield Annex,CA,TX,77502,1509.8,1956.7,448.7,-0.2959994701284939,1,1,672427337,531308234624,12435738549,2026-08-10
ghost_warehouse,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Fairfield Annex,CA,VA,23236,2573.7,2819.6,448.7,-0.09554338112445122,1,1,671918056,531305750614,80180029100,2026-08-10
ghost_warehouse,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Fairfield Annex,CA,AL,36523,1948.6,,448.7,,1,0,671982710,531305922090,80180689850,2026-08-10
ghost_warehouse,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Fairfield Annex,CA,NC,28409,2551.9,2896.8,448.7,-0.13515419883224267,1,1,671988635,531306055017,80180748690,2026-08-10
ghost_warehouse,211658,WPLA4,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,Fairfield Annex,CA,NY,11980,2810.6,2920.4,448.7,-0.03906639151782544,1,1,672004724,531306144550,80180914050,2026-08-10
ghost_warehouse,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,Diamond Bar Rsf,CA,CA,92620,2727.3,31.2,2704.9,0.988560114398856,1,1,672382873,531308011271,11160503956,2026-08-10
ghost_warehouse,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,Diamond Bar Rsf,CA,AZ,85016,2406.8,347.7,2704.9,0.8555343194282866,1,1,672381775,531308011054,11476578736,2026-08-10
ghost_warehouse,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,South Dallas Rsf,TX,MN,55362,1224.0,986.2,1478.5,0.19428104575163396,1,1,672370389,531307907553,12369663293,2026-08-10
ghost_warehouse,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,South Dallas Rsf,TX,MN,55125,1172.9,953.2,1478.5,0.18731349646176146,0,0,672466823,531308349994,12371408913,2026-08-10
ghost_warehouse,253370,Edecor Center Inc._1 NJ 08110,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,South Dallas Rsf,TX,WI,54601,1059.8,975.4,1478.5,0.079637667484431,0,0,672492864,531308387193,12436834999,2026-08-10
ghost_warehouse,293214,CIAO JING INC CA 92879 ,CA,Corona,92879 ,2565 Sampson Ave ,WEST RIALTO,CA,Fairfield Annex,CA,IL,60615,1985.9,2095.7,448.7,-0.05528979304093848,1,1,671567910,531304238966,12350127113,2026-08-10
ghost_warehouse,293214,CIAO JING INC CA 92879 ,CA,Corona,92879 ,2565 Sampson Ave ,MISSOULA,MT,Fairfield Annex,CA,KS,66046,1401.3,1777.9,937.4,-0.2687504460144153,0,1,670634050,531300677307,80166818970,2026-08-10
ghost_warehouse,293214,CIAO JING INC CA 92879 ,CA,Corona,92879 ,2565 Sampson Ave ,MISSOULA,MT,Fairfield Annex,CA,KS,66046,1401.3,1777.9,937.4,-0.2687504460144153,0,1,670634050,531300677318,80166818990,2026-08-10
ghost_warehouse,293214,CIAO JING INC CA 92879 ,CA,Corona,92879 ,2565 Sampson Ave ,MISSOULA,MT,Fairfield Annex,CA,KS,66046,1401.3,1777.9,937.4,-0.2687504460144153,0,1,670634050,531300677318,80166819010,2026-08-10
ghost_warehouse,293214,CIAO JING INC CA 92879 ,CA,Corona,92879 ,2565 Sampson Ave ,MISSOULA,MT,Fairfield Annex,CA,KS,66046,1401.3,1777.9,937.4,-0.2687504460144153,0,1,670634050,531300677281,80166819020,2026-08-10
ghost_warehouse,302637,"GigaCloud Trading, Inc. GA 31302",GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH,GA,Williamsburg Ncpc,FL,CA,90094,2442.2,,291.4,,1,1,671673964,875217152549,80177515440,2026-08-10
ghost_warehouse,302637,"GigaCloud Trading, Inc. GA 31302",GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH,GA,Williamsburg Ncpc,FL,TX,79762,1382.1,,291.4,,1,1,672201145,875345069143,80182932990,2026-08-10
ghost_warehouse,302637,"GigaCloud Trading, Inc. GA 31302",GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH,GA,Williamsburg Ncpc,FL,TX,79602,1220.1,,291.4,,1,1,672213774,875397594410,80183153150,2026-08-10
ghost_warehouse,302637,"GigaCloud Trading, Inc. GA 31302",GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH,GA,Williamsburg Ncpc,FL,WI,54212,1231.4,,291.4,,1,0,672225383,875397588150,80183272810,2026-08-10
ghost_warehouse,302637,"GigaCloud Trading, Inc. GA 31302",GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH,GA,Williamsburg Ncpc,FL,IN,46723,832.1,,291.4,,1,1,672261716,875397606429,80183670180,2026-08-10
jumbo,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,SAVANNAH,GA,South Atlanta Ncpc,GA,TX,76088,1085.4,864.9,231.9,0.20315091210613606,1,1,672592362,875486069320,80186097450,2026-08-10
jumbo,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,SAVANNAH,GA,South Atlanta Ncpc,GA,LA,70812,733.1,530.3,231.9,0.2766334742872733,1,0,672413769,875430642382,80184492440,2026-08-08
jumbo,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,SAVANNAH,GA,South Atlanta Ncpc,GA,VA,20155,569.8,600.2,231.9,-0.053352053352053515,1,1,672413925,875430697816,80185039390,2026-08-08
jumbo,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,SAVANNAH,GA,South Atlanta Ncpc,GA,FL,33990,446.3,565.4,231.9,-0.26686085592650677,1,0,672592247,875486134924,80185279240,2026-08-08
jumbo,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,SAVANNAH,GA,Chattanooga,TN,CA,92691,2416.3,2136.2,361.0,0.11592103629516216,1,0,671502960,875202595491,80175219780,2026-08-07
jumbo,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FRESNO,CA,Fort Mill,SC,TX,79424,1235.8,1384.2,2543.5,-0.1200841560122998,1,0,672476496,383045503253,80185949090,2026-08-10
jumbo,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FRESNO,CA,Fort Mill,SC,TX,77471,1737.9,,2543.5,,1,0,671339969,382941799372,80174093020,2026-08-04
jumbo,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FORT MILL,SC,Lenexa,KS,SD,57049,1255.4,,994.1,,1,1,659713231,381728980955,12180194793,2026-07-27
jumbo,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FORT MILL,SC,Portland,OR,WA,98908,2694.6,,2751.2,,1,1,661054391,381882043463,11387518806,2026-06-16
jumbo,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FORT MILL,SC,Salt Lake City,UT,MT,59937,2508.0,,2049.7,,1,1,661326034,381935829149,11403269336,2026-06-16
jumbo,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,SAVANNAH,GA,Chicago,IL,AL,35406,447.1,716.4,959.7,-0.6023261015432788,0,0,671397513,875237980586,80174691550,2026-08-05
jumbo,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,HAGERSTOWN,MD,Savannah,GA,NC,28104,425.8,257.1,636.7,0.396195396899953,1,1,671573716,875221313366,80175916060,2026-08-05
jumbo,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,HAGERSTOWN,MD,Savannah,GA,OR,97225,2740.3,2847.3,636.7,-0.03904681969127467,1,1,670758978,874980898474,80168116710,2026-08-04
jumbo,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,HAGERSTOWN,MD,Savannah,GA,WA,98629,2754.6,2859.9,636.7,-0.03822696580265744,1,1,670382333,874905156749,80164238910,2026-08-03
jumbo,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,HAGERSTOWN,MD,Savannah,GA,TX,75098,1302.1,1028.5,636.7,0.21012211043698636,1,0,671239171,875156737182,80172628010,2026-08-02
