grain,segment,vol,suppliers,ifr,delivery_rel,avg_gain
direct_vs_local,constrained_supplier | direct,269716,10424,0.8683763662519085,0.8453892242210342,0.91482672896016
direct_vs_local,constrained_supplier | non_candidate,2184202,18290,0.888572119245382,0.8526216897521396,-0.27420098329514203
direct_vs_local,nonconstrained_supplier | direct,311825,10943,0.8906566182955187,0.8556177343061008,0.8937521847906917
direct_vs_local,nonconstrained_supplier | non_candidate,4483126,23259,0.8973140616614398,0.8650930176845338,-0.19609470810249785
order_level_direct,assigned_constrained,266971,11176,0.8681991676998627,0.8468672627364019,0.9160800724197431
order_level_direct,not_assigned_constrained,314570,12435,0.8906125822551416,0.8542740884381871,0.8928723909991562
supplier_level_direct,constrained_supplier,269716,10424,0.8683763662519093,0.8453892242210308,0.9148267289601579
supplier_level_direct,nonconstrained_supplier,311825,10943,0.8906566182955199,0.8556177343060992,0.8937521847906932
