dest_state,vol,suppliers,pct_of_corridor
IL,13617,3076,0.2830271034253409
OH,8981,2657,0.18666860658463585
MI,6601,2165,0.13720069837046892
IN,4658,1809,0.0968157632191553
WI,4414,1621,0.09174426338543398
MN,3741,1530,0.07775606917193216
MO,3199,1383,0.06649068839374792
IA,1173,680,0.02438061190555371
KS,807,492,0.016773362154971733
NE,498,363,0.010350848021283672
SD,218,173,0.004531094113734619
ND,205,167,0.00426089125374127
